sys_updated_on,assigned_to,caller_id,opened_at,closed_by,number,state,sys_updated_by,closed_at,short_description,assignment_group,priority,category
2023-04-23 10:51:09.239076968,Howard Johnson,David Loo,2023-04-21 15:53:00,Charlie Whitherspoon,INC0000000129,Resolved,system,2023-04-23 10:51:09.239076968,Cannot connect to company VPN,Network,2 - High,Network
2023-05-01 20:41:38.114461942,Luke Wilson,Don Goodliffe,2023-04-26 17:07:00,Charlie Whitherspoon,INC0000000130,Closed,system,2023-05-01 20:41:38.114461942,Cannot connect to the VPN,Network,2 - High,Network
2023-05-03 15:30:54.273288912,Beth Anglin,Don Goodliffe,2023-04-27 00:27:00,Fred Luddy,INC0000000131,Resolved,employee,2023-05-03 15:30:54.273288912,Unable to access company network,Network,2 - High,Network
2023-04-30 23:45:15.925601505,Howard Johnson,ITIL User,2023-04-27 05:36:00,Fred Luddy,INC0000000132,Closed,admin,2023-04-30 23:45:15.925601505,Email service not working,Service Desk,2 - High,Software
2023-05-01 23:35:15.385806165,Fred Luddy,ITIL User,2023-04-27 08:38:00,Charlie Whitherspoon,INC0000000133,Resolved,admin,2023-05-01 23:35:15.385806165,Unable to access email,Service Desk,2 - High,Software
2023-05-09 01:38:40.148679110,Charlie Whitherspoon,David Loo,2023-04-27 11:15:00,Howard Johnson,INC0000000134,Resolved,employee,2023-05-09 01:38:40.148679110,Need assistance with database connection,Database,2 - High,Software
2023-05-04 08:51:31.278199502,Fred Luddy,ITIL User,2023-04-27 20:32:00,Beth Anglin,INC0000000135,Closed,system,2023-05-04 08:51:31.278199502,Unable to connect to VPN,Network,1 - Critical,Network
2023-05-05 15:46:29.623028641,Luke Wilson,David Loo,2023-04-28 03:06:00,Howard Johnson,INC0000000136,Resolved,system,2023-05-05 15:46:29.623028641,Internet connection unstable,Network,2 - High,Network
2023-05-10 04:25:25.752550758,Luke Wilson,Don Goodliffe,2023-04-28 13:37:00,Beth Anglin,INC0000000137,Closed,system,2023-05-10 04:25:25.752550758,Cannot access email account,Service Desk,2 - High,Inquiry / Help
2023-05-09 20:18:58.396008476,Luke Wilson,Don Goodliffe,2023-04-28 13:47:00,Howard Johnson,INC0000000138,Resolved,employee,2023-05-09 20:18:58.396008476,Internet connection issue,Network,3 - Moderate,Network
2023-05-02 20:36:36.419766989,Fred Luddy,ITIL User,2023-04-29 07:51:00,Beth Anglin,INC0000000139,Closed,employee,2023-05-02 20:36:36.419766989,Can't access to shared database,Database,2 - High,Database
2023-05-11 15:07:24.178690130,Fred Luddy,David Loo,2023-04-29 13:26:00,Howard Johnson,INC0000000140,Closed,system,2023-05-11 15:07:24.178690130,Cannot connect to office VPN,Network,2 - High,Network
2023-05-08 08:25:26.342225217,Fred Luddy,David Loo,2023-05-03 02:59:00,Howard Johnson,INC0000000141,Closed,employee,2023-05-08 08:25:26.342225217,Unable to access corporate network on office laptop,Network,2 - High,Network
2023-05-07 18:07:05.875914654,Luke Wilson,ITIL User,2023-05-03 06:11:00,Howard Johnson,INC0000000142,Closed,system,2023-05-07 18:07:05.875914654,Email client not working properly,Software,3 - Moderate,Software
2023-05-04 09:25:00.000000000,Fred Luddy,ITIL User,2023-05-03 09:25:00,Charlie Whitherspoon,INC0000000143,Resolved,employee,2023-05-04 09:25:00.000000000,Database connection issue,Database,2 - High,Database
2023-05-13 16:56:45.283042433,Fred Luddy,Bud Richman,2023-05-04 15:26:00,Fred Luddy,INC0000000144,Closed,system,2023-05-13 16:56:45.283042433,Unable to connect to VPN,Network,2 - High,Network
2023-05-14 22:46:03.826122911,Fred Luddy,Don Goodliffe,2023-05-05 07:28:00,Charlie Whitherspoon,INC0000000145,Closed,admin,2023-05-14 22:46:03.826122911,Unable to access company VPN,Network,2 - High,Network
2023-05-07 22:11:00.000000000,Fred Luddy,David Loo,2023-05-06 22:11:00,Fred Luddy,INC0000000146,Resolved,employee,2023-05-07 22:11:00.000000000,Unable to access network drive,Network,2 - High,Network
2023-05-12 21:40:10.383283829,Beth Anglin,David Loo,2023-05-07 00:26:00,Luke Wilson,INC0000000147,Resolved,system,2023-05-12 21:40:10.383283829,Unable to access database,Database,2 - High,Database
2023-05-13 02:04:54.977915544,Luke Wilson,Don Goodliffe,2023-05-07 00:45:00,Fred Luddy,INC0000000148,Resolved,employee,2023-05-13 02:04:54.977915544,Cannot connect to VPN,Network,2 - High,Network
2023-05-24 21:38:14.718522512,Luke Wilson,Bud Richman,2023-05-07 12:56:00,Howard Johnson,INC0000000149,Resolved,employee,2023-05-24 21:38:14.718522512,Cannot access the database,Database,2 - High,Database
2023-05-15 06:24:51.993333407,Charlie Whitherspoon,Don Goodliffe,2023-05-07 15:25:00,Beth Anglin,INC0000000150,Closed,admin,2023-05-15 06:24:51.993333407,Cannot connect to the internet,Network,2 - High,Network
2023-05-11 07:52:52.197128255,Fred Luddy,Bud Richman,2023-05-09 15:16:00,Charlie Whitherspoon,INC0000000151,Resolved,admin,2023-05-11 07:52:52.197128255,Unable to access company database,Database,2 - High,Database
2023-05-19 21:19:32.488893280,Fred Luddy,David Loo,2023-05-10 18:31:00,Beth Anglin,INC0000000152,Resolved,system,2023-05-19 21:19:32.488893280,Internet connection fails intermittently,Network,2 - High,Network
2023-05-13 14:45:14.881580051,Howard Johnson,David Loo,2023-05-11 02:38:00,Howard Johnson,INC0000000153,Closed,admin,2023-05-13 14:45:14.881580051,Unable to access the database,Database,2 - High,Database
2023-05-18 14:09:01.085402401,Charlie Whitherspoon,David Loo,2023-05-11 11:02:00,Fred Luddy,INC0000000154,Resolved,employee,2023-05-18 14:09:01.085402401,Unable to connect to the VPN,Network,2 - High,Network
2023-05-19 22:57:12.100796138,Howard Johnson,David Loo,2023-05-11 13:23:00,Luke Wilson,INC0000000155,Closed,system,2023-05-19 22:57:12.100796138,Email client is not syncing,Network,3 - Moderate,Software
2023-05-16 03:10:23.147403099,Beth Anglin,Bud Richman,2023-05-14 03:39:00,Fred Luddy,INC0000000156,Closed,admin,2023-05-16 03:10:23.147403099,Cannot access company database,Database,2 - High,Database
2023-05-21 10:05:06.102154549,Luke Wilson,Bud Richman,2023-05-15 22:08:00,Fred Luddy,INC0000000157,Resolved,system,2023-05-21 10:05:06.102154549,Unable to access Business Intelligence Dashboard,Network,2 - High,Inquiry / Help
2023-05-25 07:08:06.155101439,Luke Wilson,ITIL User,2023-05-16 02:31:00,Fred Luddy,INC0000000158,Resolved,employee,2023-05-25 07:08:06.155101439,Unable to connect to VPN,Network,1 - Critical,Network
2023-05-21 17:31:20.007792433,Fred Luddy,Bud Richman,2023-05-17 01:32:00,Luke Wilson,INC0000000159,Resolved,system,2023-05-21 17:31:20.007792433,Unable to connect to VPN,Network,2 - High,Network
2023-05-19 11:05:00.000000000,Luke Wilson,Don Goodliffe,2023-05-18 11:05:00,Luke Wilson,INC0000000160,Resolved,admin,2023-05-19 11:05:00.000000000,Unable to access company database,Database,2 - High,Database
2023-05-21 09:43:08.169290245,Beth Anglin,Don Goodliffe,2023-05-19 03:18:00,Charlie Whitherspoon,INC0000000161,Closed,admin,2023-05-21 09:43:08.169290245,Email service is not functioning properly,Network,2 - High,Network
2023-05-26 22:30:33.716162465,Beth Anglin,Bud Richman,2023-05-19 05:27:00,Charlie Whitherspoon,INC0000000162,Closed,system,2023-05-26 22:30:33.716162465,Unable to connect to the VPN,Network,2 - High,Network
2023-05-22 09:43:16.412346639,Fred Luddy,David Loo,2023-05-21 01:12:00,Luke Wilson,INC0000000163,Resolved,system,2023-05-22 09:43:16.412346639,Unable to connect to VPN,Network,2 - High,Network
2023-05-30 10:26:48.961229938,Fred Luddy,Bud Richman,2023-05-21 14:23:00,Howard Johnson,INC0000000164,Closed,system,2023-05-30 10:26:48.961229938,Email client not syncing,Service Desk,2 - High,Software
2023-06-05 12:00:45.433742879,Fred Luddy,Bud Richman,2023-05-25 20:03:00,Luke Wilson,INC0000000165,Resolved,employee,2023-06-05 12:00:45.433742879,Email service not working properly,Network,2 - High,Software
2023-06-10 05:40:46.673102048,Fred Luddy,Don Goodliffe,2023-05-27 15:16:00,Charlie Whitherspoon,INC0000000166,Closed,employee,2023-06-10 05:40:46.673102048,Email server down,Network,1 - Critical,Network
2023-06-05 13:11:49.813520845,Luke Wilson,David Loo,2023-05-28 17:25:00,Luke Wilson,INC0000000167,Closed,employee,2023-06-05 13:11:49.813520845,Internet connectivity issue,Network,2 - High,Network
2023-06-05 06:08:55.720461613,Fred Luddy,Bud Richman,2023-05-28 18:51:00,Howard Johnson,INC0000000168,Resolved,employee,2023-06-05 06:08:55.720461613,Database server is down,Database,1 - Critical,Database
2023-06-15 00:52:07.263900364,Luke Wilson,David Loo,2023-05-28 20:22:00,Howard Johnson,INC0000000169,Closed,admin,2023-06-15 00:52:07.263900364,Cannot connect to VPN,Network,2 - High,Network
2023-06-07 16:20:37.820296133,Charlie Whitherspoon,David Loo,2023-05-30 00:09:00,Luke Wilson,INC0000000170,Closed,admin,2023-06-07 16:20:37.820296133,Unable to connect to VPN,Network,2 - High,Network
2023-06-06 11:14:15.502694736,Fred Luddy,David Loo,2023-05-30 12:45:00,Howard Johnson,INC0000000171,Resolved,employee,2023-06-06 11:14:15.502694736,Database connectivity issue in production environment,Database,1 - Critical,Database
2023-06-01 12:33:00.000000000,Luke Wilson,David Loo,2023-05-31 12:33:00,Beth Anglin,INC0000000172,Closed,employee,2023-06-01 12:33:00.000000000,Email server issues,Network,2 - High,Software
2023-06-08 23:49:07.327020026,Fred Luddy,ITIL User,2023-06-02 11:12:00,Luke Wilson,INC0000000173,Closed,admin,2023-06-08 23:49:07.327020026,Email client not working properly,Software,3 - Moderate,Software
2023-06-12 15:49:11.820449807,Charlie Whitherspoon,ITIL User,2023-06-02 15:23:00,Fred Luddy,INC0000000174,Resolved,employee,2023-06-12 15:49:11.820449807,Email server not responding,Network,2 - High,Network
2023-06-08 10:52:35.947662540,Charlie Whitherspoon,Bud Richman,2023-06-03 08:04:00,Fred Luddy,INC0000000175,Resolved,admin,2023-06-08 10:52:35.947662540,Login issue on application,Service Desk,2 - High,Software
2023-06-10 03:50:18.440650636,Fred Luddy,David Loo,2023-06-03 09:05:00,Fred Luddy,INC0000000176,Closed,system,2023-06-10 03:50:18.440650636,Unable to access email,Service Desk,1 - Critical,Software
2023-06-09 19:58:48.338432228,Charlie Whitherspoon,David Loo,2023-06-03 11:53:00,Howard Johnson,INC0000000177,Resolved,admin,2023-06-09 19:58:48.338432228,Cannot connect to WiFi,Network,2 - High,Network
2023-06-12 16:49:17.304299293,Luke Wilson,ITIL User,2023-06-05 00:00:00,Howard Johnson,INC0000000178,Resolved,system,2023-06-12 16:49:17.304299293,Network connection issue,Network,2 - High,Network
2023-06-09 09:15:37.988132607,Beth Anglin,Don Goodliffe,2023-06-05 05:50:00,Fred Luddy,INC0000000179,Resolved,admin,2023-06-09 09:15:37.988132607,Internet connection issue in the main office,Network,2 - High,Network
2023-06-08 05:48:30.862453064,Beth Anglin,David Loo,2023-06-05 20:26:00,Howard Johnson,INC0000000180,Closed,system,2023-06-08 05:48:30.862453064,Severe network issue on 2nd floor,Network,1 - Critical,Network
2023-06-18 16:21:30.637801185,Luke Wilson,David Loo,2023-06-09 15:44:00,Luke Wilson,INC0000000181,Resolved,system,2023-06-18 16:21:30.637801185,Unable to log in to email,Service Desk,2 - High,Inquiry / Help
2023-06-23 15:25:02.907025436,Charlie Whitherspoon,David Loo,2023-06-10 21:10:00,Beth Anglin,INC0000000182,Resolved,admin,2023-06-23 15:25:02.907025436,Database connectivity issue,Database,2 - High,Database
2023-07-02 19:27:10.633996885,Fred Luddy,David Loo,2023-06-10 21:34:00,Luke Wilson,INC0000000183,Resolved,admin,2023-07-02 19:27:10.633996885,Email client troubleshooting required,Service Desk,2 - High,Software
2023-06-23 12:48:06.962256755,Fred Luddy,Bud Richman,2023-06-12 13:10:00,Charlie Whitherspoon,INC0000000184,Closed,employee,2023-06-23 12:48:06.962256755,Can't access email,Service Desk,2 - High,Software
2023-06-16 06:31:29.884537004,Beth Anglin,Bud Richman,2023-06-13 06:58:00,Howard Johnson,INC0000000185,Resolved,admin,2023-06-16 06:31:29.884537004,Unable to access company VPN,Network,1 - Critical,Network
2023-06-27 05:45:00.679134807,Luke Wilson,ITIL User,2023-06-13 15:43:00,Beth Anglin,INC0000000186,Closed,employee,2023-06-27 05:45:00.679134807,Unable to connect to VPN,Network,2 - High,Network
2023-06-22 16:13:28.755597813,Charlie Whitherspoon,David Loo,2023-06-15 20:34:00,Luke Wilson,INC0000000187,Resolved,system,2023-06-22 16:13:28.755597813,Email server is down,Network,1 - Critical,Network
2023-07-03 11:23:43.084351654,Howard Johnson,Bud Richman,2023-06-16 12:50:00,Luke Wilson,INC0000000188,Resolved,system,2023-07-03 11:23:43.084351654,Database server not responding,Database,2 - High,Database
2023-06-23 09:38:05.629656077,Fred Luddy,David Loo,2023-06-17 13:54:00,Luke Wilson,INC0000000189,Resolved,system,2023-06-23 09:38:05.629656077,Unable to access database,Database,2 - High,Database
2023-07-04 21:46:20.685792335,Charlie Whitherspoon,Don Goodliffe,2023-06-18 01:36:00,Fred Luddy,INC0000000190,Closed,admin,2023-07-04 21:46:20.685792335,Network connectivity issue in 2nd Floor,Network,2 - High,Network
2023-06-23 11:57:32.578983940,Luke Wilson,David Loo,2023-06-18 20:41:00,Fred Luddy,INC0000000191,Resolved,admin,2023-06-23 11:57:32.578983940,Database connectivity issue,Database,2 - High,Database
2023-06-25 05:21:16.924490160,Fred Luddy,Don Goodliffe,2023-06-19 11:10:00,Fred Luddy,INC0000000192,Resolved,employee,2023-06-25 05:21:16.924490160,SQL Server Database Issue,Database,2 - High,Database
2023-07-01 18:41:35.856290874,Fred Luddy,Bud Richman,2023-06-20 22:02:00,Fred Luddy,INC0000000193,Closed,admin,2023-07-01 18:41:35.856290874,Email server is not responding,Network,1 - Critical,Network
2023-06-27 18:25:09.992676665,Luke Wilson,ITIL User,2023-06-21 21:37:00,Luke Wilson,INC0000000194,Closed,admin,2023-06-27 18:25:09.992676665,Unable to access email account,Service Desk,2 - High,Software
2023-07-03 12:51:49.316035433,Charlie Whitherspoon,David Loo,2023-06-22 11:54:00,Luke Wilson,INC0000000195,Closed,system,2023-07-03 12:51:49.316035433,Cannot access shared drive,Network,2 - High,Network
2023-07-10 12:20:02.827094251,Charlie Whitherspoon,Bud Richman,2023-06-22 17:49:00,Fred Luddy,INC0000000196,Resolved,admin,2023-07-10 12:20:02.827094251,Login issue with database,Database,3 - Moderate,Software
2023-06-24 12:15:00.000000000,Fred Luddy,Don Goodliffe,2023-06-23 12:15:00,Charlie Whitherspoon,INC0000000197,Closed,admin,2023-06-24 12:15:00.000000000,Database connection error recurrent,Database,2 - High,Database
2023-06-27 12:49:41.476528011,Charlie Whitherspoon,David Loo,2023-06-25 16:44:00,Charlie Whitherspoon,INC0000000198,Resolved,admin,2023-06-27 12:49:41.476528011,Email Server Unresponsive,Network,1 - Critical,Network
2023-06-26 17:03:00.000000000,Fred Luddy,David Loo,2023-06-25 17:03:00,Fred Luddy,INC0000000199,Resolved,system,2023-06-26 17:03:00.000000000,Email server down,Network,1 - Critical,Network
2023-06-27 03:29:00.000000000,Howard Johnson,Bud Richman,2023-06-26 03:29:00,Charlie Whitherspoon,INC0000000200,Closed,admin,2023-06-27 03:29:00.000000000,Internet connection issue,Network,2 - High,Network
2023-06-29 17:37:28.672717739,Fred Luddy,David Loo,2023-06-26 06:18:00,Beth Anglin,INC0000000201,Resolved,employee,2023-06-29 17:37:28.672717739,Unable to access database,Database,2 - High,Database
2023-07-14 19:06:58.688670980,Beth Anglin,ITIL User,2023-06-26 08:45:00,Howard Johnson,INC0000000202,Resolved,admin,2023-07-14 19:06:58.688670980,Email system not working,Network,2 - High,Software
2023-07-06 11:45:58.552450434,Beth Anglin,David Loo,2023-06-26 20:25:00,Luke Wilson,INC0000000203,Resolved,admin,2023-07-06 11:45:58.552450434,Email system malfunctioning,Network,2 - High,Software
2023-06-29 05:52:00.000000000,Charlie Whitherspoon,David Loo,2023-06-28 05:52:00,Luke Wilson,INC0000000204,Resolved,employee,2023-06-29 05:52:00.000000000,Cannot access database from remote location,Database,2 - High,Database
2023-07-01 10:41:00.000000000,Howard Johnson,David Loo,2023-06-30 10:41:00,Luke Wilson,INC0000000205,Resolved,system,2023-07-01 10:41:00.000000000,Email server not responding,Network,1 - Critical,Network
2023-07-07 16:21:43.095630708,Luke Wilson,David Loo,2023-07-02 18:44:00,Fred Luddy,INC0000000206,Resolved,admin,2023-07-07 16:21:43.095630708,Email client not syncing,Service Desk,3 - Moderate,Software
2023-07-09 11:23:52.689488526,Luke Wilson,ITIL User,2023-07-02 21:15:00,Beth Anglin,INC0000000207,Closed,employee,2023-07-09 11:23:52.689488526,Database server connectivity issue,Database,2 - High,Network
2023-07-17 04:42:03.156112630,Fred Luddy,David Loo,2023-07-03 14:34:00,Howard Johnson,INC0000000208,Closed,employee,2023-07-17 04:42:03.156112630,Cannot connect to office wifi,Network,3 - Moderate,Network
2023-07-08 23:50:27.290084850,Howard Johnson,David Loo,2023-07-06 17:47:00,Beth Anglin,INC0000000209,Resolved,employee,2023-07-08 23:50:27.290084850,Unable to access VPN,Network,2 - High,Hardware
2023-07-19 04:07:46.195239393,Fred Luddy,Don Goodliffe,2023-07-07 20:22:00,Howard Johnson,INC0000000210,Closed,system,2023-07-19 04:07:46.195239393,Email access issue,Service Desk,3 - Moderate,Software
2023-07-18 01:36:51.987158816,Fred Luddy,David Loo,2023-07-08 03:02:00,Luke Wilson,INC0000000211,Closed,admin,2023-07-18 01:36:51.987158816,Email server outage,Network,1 - Critical,Network
2023-07-17 20:05:42.265437846,Fred Luddy,Bud Richman,2023-07-08 06:16:00,Fred Luddy,INC0000000212,Resolved,system,2023-07-17 20:05:42.265437846,Database server connection issue,Database,2 - High,Database
2023-07-17 19:41:10.458294493,Luke Wilson,David Loo,2023-07-11 17:44:00,Luke Wilson,INC0000000213,Closed,admin,2023-07-17 19:41:10.458294493,Unable to connect to VPN,Network,2 - High,Network
2023-07-15 00:33:53.404882940,Luke Wilson,David Loo,2023-07-11 21:03:00,Fred Luddy,INC0000000214,Resolved,system,2023-07-15 00:33:53.404882940,Printer not working correctly,Hardware,3 - Moderate,Hardware
2023-08-03 07:30:26.096792587,Charlie Whitherspoon,David Loo,2023-07-12 05:43:00,Charlie Whitherspoon,INC0000000215,Resolved,admin,2023-08-03 07:30:26.096792587,Internet connection is unstable,Network,2 - High,Network
2023-07-21 20:14:35.010304942,Luke Wilson,Bud Richman,2023-07-12 19:47:00,Luke Wilson,INC0000000216,Resolved,system,2023-07-21 20:14:35.010304942,Cannot access email server,Network,2 - High,Inquiry / Help
2023-07-17 17:54:20.773857703,Luke Wilson,David Loo,2023-07-15 22:20:00,Charlie Whitherspoon,INC0000000217,Closed,system,2023-07-17 17:54:20.773857703,Unable to access VPN,Network,2 - High,Inquiry / Help
2023-07-21 11:47:23.827632539,Beth Anglin,ITIL User,2023-07-16 02:47:00,Beth Anglin,INC0000000218,Closed,system,2023-07-21 11:47:23.827632539,Internet connection issue in office,Network,2 - High,Network
2023-07-25 06:11:27.963650216,Luke Wilson,David Loo,2023-07-16 15:17:00,Charlie Whitherspoon,INC0000000219,Resolved,employee,2023-07-25 06:11:27.963650216,The company website is not accessible,Network,2 - High,Network
2023-07-18 11:25:00.000000000,Fred Luddy,David Loo,2023-07-17 11:25:00,Beth Anglin,INC0000000220,Resolved,employee,2023-07-18 11:25:00.000000000,Can't access email server,Network,2 - High,Network
2023-07-18 20:02:00.000000000,Howard Johnson,ITIL User,2023-07-17 20:02:00,Howard Johnson,INC0000000221,Resolved,employee,2023-07-18 20:02:00.000000000,Cannot connect to office WiFi,Network,2 - High,Network
2023-08-03 14:55:58.724938785,Beth Anglin,David Loo,2023-07-18 13:28:00,Beth Anglin,INC0000000222,Closed,employee,2023-08-03 14:55:58.724938785,Database server connection issue,Database,2 - High,Database
2023-07-28 04:29:23.552324156,Charlie Whitherspoon,David Loo,2023-07-19 07:27:00,Howard Johnson,INC0000000223,Resolved,admin,2023-07-28 04:29:23.552324156,Unable to connect to the VPN,Network,2 - High,Network
2023-07-26 15:41:24.750318772,Beth Anglin,David Loo,2023-07-20 01:02:00,Luke Wilson,INC0000000224,Resolved,employee,2023-07-26 15:41:24.750318772,Unable to connect to printer,Hardware,2 - High,Hardware
2023-07-21 04:40:00.000000000,Luke Wilson,David Loo,2023-07-20 04:40:00,Howard Johnson,INC0000000225,Closed,employee,2023-07-21 04:40:00.000000000,Unable to connect to Wi-Fi,Network,2 - High,Network
2023-07-28 10:21:41.249796458,Beth Anglin,David Loo,2023-07-20 08:10:00,Beth Anglin,INC0000000226,Closed,system,2023-07-28 10:21:41.249796458,Cannot connect to the office VPN,Network,2 - High,Network
2023-07-21 10:20:00.000000000,Charlie Whitherspoon,ITIL User,2023-07-20 10:20:00,Charlie Whitherspoon,INC0000000227,Closed,employee,2023-07-21 10:20:00.000000000,Software update failure,Software,2 - High,Software
2023-07-24 21:42:25.054964696,Luke Wilson,ITIL User,2023-07-20 22:03:00,Charlie Whitherspoon,INC0000000228,Closed,employee,2023-07-24 21:42:25.054964696,Cannot connect to cloud database,Database,2 - High,Database
2023-07-24 07:12:00.000000000,Charlie Whitherspoon,Bud Richman,2023-07-23 07:12:00,Beth Anglin,INC0000000229,Resolved,admin,2023-07-24 07:12:00.000000000,Email client not syncing,Software,2 - High,Software
2023-08-03 12:23:18.986125867,Charlie Whitherspoon,David Loo,2023-07-23 18:27:00,Howard Johnson,INC0000000230,Closed,admin,2023-08-03 12:23:18.986125867,Internet connection unstable,Network,2 - High,Network
2023-08-01 22:09:50.650202986,Howard Johnson,ITIL User,2023-07-25 06:25:00,Fred Luddy,INC0000000231,Closed,admin,2023-08-01 22:09:50.650202986,Unable to access email,Service Desk,2 - High,Software
2023-08-07 12:40:03.302587768,Howard Johnson,Don Goodliffe,2023-07-26 06:50:00,Howard Johnson,INC0000000232,Closed,employee,2023-08-07 12:40:03.302587768,Internet connection issue in the 4th floor,Network,3 - Moderate,Network
2023-08-06 15:04:39.469661683,Fred Luddy,David Loo,2023-07-26 17:25:00,Beth Anglin,INC0000000233,Closed,admin,2023-08-06 15:04:39.469661683,Internet connection is unstable,Network,2 - High,Network
2023-08-01 12:30:30.424598243,Howard Johnson,Bud Richman,2023-07-26 17:55:00,Beth Anglin,INC0000000234,Closed,system,2023-08-01 12:30:30.424598243,System network outage,Network,1 - Critical,Network
2023-08-01 05:43:47.661802643,Luke Wilson,David Loo,2023-07-27 15:59:00,Howard Johnson,INC0000000235,Resolved,admin,2023-08-01 05:43:47.661802643,SQL server connectivity issue,Database,2 - High,Database
2023-07-30 15:03:28.965699388,Fred Luddy,David Loo,2023-07-27 17:19:00,Howard Johnson,INC0000000236,Resolved,admin,2023-07-30 15:03:28.965699388,Cannot connect to VPN,Network,2 - High,Network
2023-08-09 03:50:42.418281950,Charlie Whitherspoon,David Loo,2023-07-28 15:17:00,Howard Johnson,INC0000000237,Closed,system,2023-08-09 03:50:42.418281950,Database performance issues,Database,2 - High,Database
2023-08-01 19:50:14.452191182,Charlie Whitherspoon,David Loo,2023-07-28 18:50:00,Charlie Whitherspoon,INC0000000238,Closed,employee,2023-08-01 19:50:14.452191182,Unable to access database,Database,2 - High,Database
2023-08-01 06:03:44.432650908,Howard Johnson,David Loo,2023-07-30 02:23:00,Howard Johnson,INC0000000239,Resolved,admin,2023-08-01 06:03:44.432650908,Cannot log into the database,Database,2 - High,Database
2023-08-14 22:31:37.063585948,Charlie Whitherspoon,ITIL User,2023-07-31 20:25:00,Howard Johnson,INC0000000240,Resolved,admin,2023-08-14 22:31:37.063585948,Cannot connect to VPN,Network,2 - High,Network
2023-08-06 21:25:38.981209656,Howard Johnson,David Loo,2023-08-01 13:21:00,Howard Johnson,INC0000000241,Closed,system,2023-08-06 21:25:38.981209656,Can't connect to the VPN,Network,2 - High,Network
2023-08-15 03:13:42.050791109,Luke Wilson,Bud Richman,2023-08-01 23:31:00,Luke Wilson,INC0000000242,Resolved,admin,2023-08-15 03:13:42.050791109,Unable to access company's cloud database,Database,2 - High,Database
2023-08-09 18:21:35.978252294,Fred Luddy,David Loo,2023-08-03 09:12:00,Beth Anglin,INC0000000243,Resolved,admin,2023-08-09 18:21:35.978252294,Unable to log in to VPN,Network,2 - High,Network
2023-08-08 13:11:52.520399357,Fred Luddy,David Loo,2023-08-04 16:22:00,Fred Luddy,INC0000000244,Closed,admin,2023-08-08 13:11:52.520399357,Cannot connect to company VPN,Network,2 - High,Network
2023-08-20 07:53:22.548210605,Luke Wilson,ITIL User,2023-08-04 18:23:00,Howard Johnson,INC0000000245,Closed,admin,2023-08-20 07:53:22.548210605,Can't connect to office VPN,Network,2 - High,Network
2023-08-07 03:29:00.000000000,Howard Johnson,David Loo,2023-08-06 03:29:00,Luke Wilson,INC0000000246,Closed,admin,2023-08-07 03:29:00.000000000,Email system not working,Network,2 - High,Software
2023-08-11 17:34:14.226831755,Charlie Whitherspoon,Don Goodliffe,2023-08-07 03:16:00,Charlie Whitherspoon,INC0000000247,Resolved,employee,2023-08-11 17:34:14.226831755,Cannot connect to VPN,Network,2 - High,Network
2023-08-08 13:28:00.000000000,Fred Luddy,ITIL User,2023-08-07 13:28:00,Howard Johnson,INC0000000248,Closed,system,2023-08-08 13:28:00.000000000,Unable to access email account,Service Desk,2 - High,Software
2023-08-17 17:57:07.055139027,Fred Luddy,ITIL User,2023-08-08 01:31:00,Luke Wilson,INC0000000249,Closed,admin,2023-08-17 17:57:07.055139027,Unable to access network drive,Network,2 - High,Network
2023-08-19 09:34:43.934439820,Luke Wilson,ITIL User,2023-08-08 16:06:00,Charlie Whitherspoon,INC0000000250,Closed,system,2023-08-19 09:34:43.934439820,Unable to access email,Service Desk,2 - High,Software
2023-08-17 13:01:16.062873196,Howard Johnson,David Loo,2023-08-08 18:09:00,Charlie Whitherspoon,INC0000000251,Resolved,employee,2023-08-17 13:01:16.062873196,Email client software issue,Software,3 - Moderate,Software
2023-08-25 13:21:13.278764198,Fred Luddy,David Loo,2023-08-10 00:46:00,Fred Luddy,INC0000000252,Resolved,system,2023-08-25 13:21:13.278764198,Software update failure on workstation,Software,2 - High,Software
2023-08-16 04:14:15.803931248,Charlie Whitherspoon,David Loo,2023-08-10 04:59:00,Luke Wilson,INC0000000253,Resolved,admin,2023-08-16 04:14:15.803931248,Server reboot issue,Database,2 - High,Hardware
2023-08-20 07:55:04.489708879,Beth Anglin,David Loo,2023-08-10 20:19:00,Beth Anglin,INC0000000254,Resolved,employee,2023-08-20 07:55:04.489708879,Cannot access company database,Database,2 - High,Database
2023-08-17 21:32:33.853823760,Charlie Whitherspoon,ITIL User,2023-08-11 09:39:00,Beth Anglin,INC0000000255,Closed,system,2023-08-17 21:32:33.853823760,Cannot connect to network,Network,2 - High,Network
2023-08-12 21:09:00.000000000,Howard Johnson,David Loo,2023-08-11 21:09:00,Charlie Whitherspoon,INC0000000256,Closed,system,2023-08-12 21:09:00.000000000,Network connection issue,Network,1 - Critical,Network
2023-08-22 09:28:17.202280694,Luke Wilson,David Loo,2023-08-12 03:12:00,Howard Johnson,INC0000000257,Closed,system,2023-08-22 09:28:17.202280694,Email server not responding,Network,2 - High,Network
2023-08-14 06:19:00.000000000,Beth Anglin,Bud Richman,2023-08-13 06:19:00,Beth Anglin,INC0000000258,Resolved,employee,2023-08-14 06:19:00.000000000,Email server not responding,Network,2 - High,Hardware
2023-08-21 21:02:12.788463035,Luke Wilson,David Loo,2023-08-13 23:42:00,Luke Wilson,INC0000000259,Resolved,system,2023-08-21 21:02:12.788463035,Email server down,Network,1 - Critical,Network
