category,state,closed_at,opened_at,closed_by,number,sys_updated_by,location,assigned_to,caller_id,sys_updated_on,short_description,priority,assignement_group,user_satisfaction_score,rca_category,users_affected,estimated_cost,resolution_method
Network,Closed,2023-05-19 07:25:36.115649042,2023-03-29 01:49:00,Howard Johnson,INC0000000146,employee,Australia,Beth Anglin,Don Goodliffe,2023-11-28 08:39:37.872085078,There was an issue,3 - Moderate,Network,3,Software Bug,161,4117.57814927539,Apply Patch
Hardware,Closed,2023-08-26 16:09:36.942939516,2023-03-29 05:22:00,Charlie Whitherspoon,INC0000000089,employee,Australia,Luke Wilson,Don Goodliffe,2023-01-28 04:52:51.519667192,There was an issue,4 - Low,Hardware,3,Software Bug,355,25735.161986785257,Hardware Replacement
Network,Resolved,2023-11-09 01:36:23.094504250,2023-03-30 00:58:00,Beth Anglin,INC0000000291,admin,Canada,Charlie Whitherspoon,Bud Richman,2023-03-23 14:56:55.026865443,There was an issue,1 - Critical,Network,5,Network Problem,464,41772.25802987224,Software Update
Hardware,Closed,2023-08-04 08:39:00.000000000,2023-04-01 09:01:00,Howard Johnson,INC0000000342,system,Australia,Fred Luddy,Bud Richman,2023-08-10 22:01:38.300764703,There was an issue,3 - Moderate,Hardware,1,Hardware Failure,395,36417.55263258771,Hardware Replacement
Software,Closed,2023-11-28 08:39:37.872085078,2023-04-02 15:37:00,Fred Luddy,INC0000000037,employee,India,Howard Johnson,ITIL User,2023-12-12 19:10:00.000000000,There was an issue,1 - Critical,Software,5,User Error,362,34837.443032434196,Configuration Change
Network,Closed,2023-01-06 16:52:00.000000000,2023-04-03 23:10:00,Beth Anglin,INC0000000351,system,Australia,Howard Johnson,ITIL User,2023-02-23 22:00:23.401697490,There was an issue,3 - Moderate,Network,5,Hardware Failure,195,10371.728518797943,User Training
Inquiry / Help,Resolved,2023-08-08 02:22:19.738512734,2023-04-04 04:43:00,Charlie Whitherspoon,INC0000000357,employee,India,Luke Wilson,Don Goodliffe,2023-10-18 13:41:25.546404143,There was an issue,3 - Moderate,Inquiry / Help,3,Network Problem,352,22969.66100652986,Restart Service
Inquiry / Help,Closed,2023-10-25 19:50:20.337280678,2023-04-05 00:45:00,Beth Anglin,INC0000000218,employee,United States,Charlie Whitherspoon,Don Goodliffe,2023-10-27 12:35:42.247430186,There was an issue,3 - Moderate,Inquiry / Help,2,Network Problem,889,41408.97119336593,Restart Service
Database,Closed,2023-01-26 02:18:22.920898595,2023-04-08 12:59:00,Beth Anglin,INC0000000465,admin,Canada,Beth Anglin,Don Goodliffe,2023-01-29 22:45:30.072558587,There was an issue,2 - High,Database,1,Network Problem,532,6178.400695644658,Hardware Replacement
Software,Resolved,2023-11-24 19:39:37.248766516,2023-04-08 22:13:00,Beth Anglin,INC0000000485,employee,UK,Fred Luddy,Don Goodliffe,2023-08-01 00:45:22.754376187,There was an issue,2 - High,Software,5,Configuration Error,812,56666.12446978456,Software Update
Inquiry / Help,Resolved,2023-09-07 09:17:08.466232846,2023-04-09 10:28:00,Howard Johnson,INC0000000293,employee,Canada,Howard Johnson,Don Goodliffe,2023-02-13 00:16:27.398179564,There was an issue,4 - Low,Inquiry / Help,5,Network Problem,910,43863.72166512923,User Training
Database,Closed,2023-10-02 20:53:30.682718416,2023-04-09 15:33:00,Howard Johnson,INC0000000445,system,Australia,Beth Anglin,Don Goodliffe,2023-09-07 09:17:08.466232846,There was an issue,1 - Critical,Database,5,Software Bug,803,62231.59232285652,Restart Service
Software,Resolved,2023-06-04 09:17:41.184530679,2023-04-10 12:12:00,Luke Wilson,INC0000000282,employee,India,Howard Johnson,ITIL User,2023-08-31 15:44:00.000000000,There was an issue,2 - High,Software,1,User Error,445,26940.096125911685,Apply Patch
Inquiry / Help,Closed,2023-08-15 21:18:27.557222760,2023-04-11 08:43:00,Charlie Whitherspoon,INC0000000287,system,UK,Beth Anglin,David Loo,2024-01-19 04:34:40.251168087,There was an issue,2 - High,Inquiry / Help,4,User Error,426,11699.110609678719,Software Update
Network,Closed,2023-11-23 15:56:17.027339265,2023-04-11 11:50:00,Charlie Whitherspoon,INC0000000077,admin,UK,Charlie Whitherspoon,ITIL User,2023-05-10 23:55:09.253391223,There was an issue,3 - Moderate,Network,5,Hardware Failure,918,52624.91811522687,Software Update
Inquiry / Help,Resolved,2023-08-11 14:17:08.329647264,2023-04-12 09:52:00,Luke Wilson,INC0000000103,admin,India,Luke Wilson,ITIL User,2023-10-07 15:02:09.446606967,There was an issue,2 - High,Inquiry / Help,3,Third-party Service Issue,846,51862.533112286175,Restart Service
Hardware,Closed,2023-03-29 18:40:47.611595618,2023-04-12 12:13:00,Howard Johnson,INC0000000055,employee,India,Beth Anglin,Don Goodliffe,2023-05-14 06:26:59.910015516,There was an issue,2 - High,Hardware,1,Configuration Error,159,5166.740699651313,Software Update
Network,Closed,2023-12-15 17:24:42.185263024,2023-04-13 10:00:00,Luke Wilson,INC0000000141,admin,Canada,Charlie Whitherspoon,Bud Richman,2023-04-25 00:40:17.584686390,There was an issue,2 - High,Network,4,Network Problem,697,26105.21893423853,Apply Patch
Network,Resolved,2023-09-30 03:37:15.453671612,2023-04-14 23:54:00,Beth Anglin,INC0000000479,employee,UK,Charlie Whitherspoon,Don Goodliffe,2023-11-02 21:31:23.289304071,There was an issue,1 - Critical,Network,1,Configuration Error,383,9272.459129648143,User Training
Software,Resolved,2023-10-14 07:51:41.450443462,2023-04-15 11:57:00,Howard Johnson,INC0000000267,employee,Canada,Fred Luddy,Bud Richman,2023-03-31 07:59:26.909209525,There was an issue,3 - Moderate,Software,4,Configuration Error,743,69064.83740765552,Software Update
Network,Resolved,2023-07-09 14:14:29.904659016,2023-04-18 16:48:00,Howard Johnson,INC0000000295,admin,United States,Howard Johnson,Don Goodliffe,2023-12-15 17:24:42.185263024,There was an issue,1 - Critical,Network,1,Software Bug,718,65706.72084162527,Restart Service
Inquiry / Help,Closed,2023-09-26 02:31:00.000000000,2023-04-18 19:22:00,Fred Luddy,INC0000000469,employee,United States,Beth Anglin,David Loo,2023-02-16 16:49:49.770102240,There was an issue,3 - Moderate,Inquiry / Help,3,User Error,170,11653.143446568352,Apply Patch
Software,Resolved,2023-10-14 10:07:06.909703281,2023-04-18 22:20:00,Beth Anglin,INC0000000393,system,United States,Charlie Whitherspoon,ITIL User,2023-03-18 07:40:00.000000000,There was an issue,3 - Moderate,Software,3,Third-party Service Issue,838,25548.224175824205,Software Update
Software,Resolved,2023-12-22 14:45:04.366600219,2023-04-19 07:07:00,Charlie Whitherspoon,INC0000000385,employee,Australia,Howard Johnson,ITIL User,2023-10-03 01:05:00.000000000,There was an issue,4 - Low,Software,4,Hardware Failure,610,55148.35804487905,Software Update
Software,Closed,2023-04-09 09:12:14.485573467,2023-04-19 14:41:00,Luke Wilson,INC0000000309,system,UK,Fred Luddy,Don Goodliffe,2023-02-19 01:46:00.000000000,There was an issue,1 - Critical,Software,5,User Error,837,74970.32251302166,Apply Patch
Network,Resolved,2023-10-05 10:37:47.028545047,2023-04-20 22:34:00,Beth Anglin,INC0000000333,system,UK,Howard Johnson,Don Goodliffe,2023-02-16 22:50:20.255626998,There was an issue,3 - Moderate,Network,2,Software Bug,198,4839.0093048629,Configuration Change
Software,Resolved,2023-12-17 00:37:06.937192986,2023-04-21 03:46:00,Luke Wilson,INC0000000446,admin,Australia,Beth Anglin,David Loo,2023-05-18 20:30:00.000000000,There was an issue,2 - High,Software,3,Software Bug,552,9186.434699199222,Configuration Change
Inquiry / Help,Resolved,2023-08-30 13:49:54.648995923,2023-04-21 08:13:00,Luke Wilson,INC0000000174,employee,Canada,Charlie Whitherspoon,David Loo,2023-12-05 02:10:03.357753705,There was an issue,3 - Moderate,Inquiry / Help,4,Hardware Failure,563,36967.94326492974,Apply Patch
Database,Closed,2023-11-29 19:40:37.040547419,2023-04-21 17:22:00,Beth Anglin,INC0000000015,system,United States,Charlie Whitherspoon,Bud Richman,2023-01-20 14:37:18.361510788,There was an issue,2 - High,Database,4,Software Bug,842,55746.75977436117,Configuration Change
Network,Resolved,2023-02-25 02:41:07.264125204,2023-04-22 10:55:00,Charlie Whitherspoon,INC0000000382,system,India,Fred Luddy,Don Goodliffe,2023-02-18 06:02:38.010888088,There was an issue,2 - High,Network,2,Network Problem,311,3942.0585096444884,Restart Service
Hardware,Closed,2023-10-27 12:35:42.247430186,2023-04-23 21:20:00,Howard Johnson,INC0000000205,admin,UK,Fred Luddy,David Loo,2023-06-11 09:48:35.368342810,There was an issue,4 - Low,Hardware,2,Configuration Error,76,2827.520258235481,Configuration Change
Network,Closed,2023-04-08 08:46:45.358954276,2023-04-27 03:25:00,Howard Johnson,INC0000000269,employee,UK,Charlie Whitherspoon,Bud Richman,2023-09-30 03:37:15.453671612,There was an issue,2 - High,Network,5,User Error,499,44785.1815390504,Apply Patch
Inquiry / Help,Resolved,2023-04-04 09:15:27.409492338,2023-04-27 10:45:00,Fred Luddy,INC0000000298,employee,United States,Fred Luddy,ITIL User,2023-05-12 02:21:34.844909705,There was an issue,1 - Critical,Inquiry / Help,3,Third-party Service Issue,805,79954.85092056627,Restart Service
Hardware,Resolved,2023-06-28 14:05:28.538482547,2023-04-28 01:24:00,Charlie Whitherspoon,INC0000000130,admin,Canada,Beth Anglin,David Loo,2023-10-18 20:50:35.137819655,There was an issue,1 - Critical,Hardware,4,Third-party Service Issue,953,87653.12299933642,Configuration Change
Inquiry / Help,Resolved,2023-08-13 06:41:18.526534971,2023-04-30 00:53:00,Fred Luddy,INC0000000160,system,India,Beth Anglin,Don Goodliffe,2024-01-13 07:11:07.585466982,There was an issue,4 - Low,Inquiry / Help,3,Configuration Error,499,42961.49811433802,Hardware Replacement
Network,Resolved,2023-01-24 18:39:21.848415555,2023-05-02 14:34:00,Howard Johnson,INC0000000285,admin,India,Howard Johnson,ITIL User,2023-08-24 03:39:08.172397201,There was an issue,4 - Low,Network,4,User Error,720,43904.62216384276,Configuration Change
Network,Closed,2024-01-21 17:52:21.410495977,2023-05-02 15:01:00,Beth Anglin,INC0000000137,system,UK,Beth Anglin,David Loo,2023-11-03 11:52:00.000000000,There was an issue,2 - High,Network,3,Software Bug,85,1346.69282714483,Software Update
Inquiry / Help,Closed,2023-08-19 00:17:36.874122878,2023-05-03 04:24:00,Fred Luddy,INC0000000042,employee,UK,Howard Johnson,ITIL User,2023-01-17 04:28:00.000000000,There was an issue,3 - Moderate,Inquiry / Help,5,Hardware Failure,287,12645.224056820816,Software Update
Software,Resolved,2023-06-07 15:04:30.359478777,2023-05-03 21:57:00,Charlie Whitherspoon,INC0000000056,system,Canada,Fred Luddy,Don Goodliffe,2023-08-02 04:32:04.560171158,There was an issue,1 - Critical,Software,3,Hardware Failure,738,44182.41318770371,Software Update
Inquiry / Help,Resolved,2023-11-07 11:30:00.000000000,2023-05-04 13:17:00,Luke Wilson,INC0000000175,system,India,Fred Luddy,ITIL User,2023-10-02 04:18:49.766694358,There was an issue,1 - Critical,Inquiry / Help,3,Software Bug,313,3788.6560495129715,Software Update
Database,Closed,2024-01-03 16:45:19.710278908,2023-05-05 07:09:00,Beth Anglin,INC0000000000,admin,Canada,Fred Luddy,Don Goodliffe,2024-01-09 12:37:13.292569926,There was an issue,4 - Low,Database,2,Network Problem,595,11678.569906374129,Configuration Change
Software,Resolved,2023-02-19 01:46:00.000000000,2023-05-05 20:05:00,Fred Luddy,INC0000000184,admin,Canada,Howard Johnson,Don Goodliffe,2023-06-30 06:01:54.007909417,There was an issue,3 - Moderate,Software,3,Network Problem,346,19995.4317346002,Configuration Change
Network,Resolved,2023-02-28 16:37:00.000000000,2023-05-05 20:26:00,Beth Anglin,INC0000000388,system,Canada,Howard Johnson,David Loo,2023-09-22 13:11:16.460337579,There was an issue,4 - Low,Network,5,Software Bug,846,10671.70643433626,Apply Patch
Inquiry / Help,Resolved,2023-03-11 09:09:00.000000000,2023-05-05 22:24:00,Luke Wilson,INC0000000149,employee,Australia,Beth Anglin,Don Goodliffe,2023-02-03 19:29:33.426983106,There was an issue,1 - Critical,Inquiry / Help,5,Configuration Error,343,30564.39857607071,Hardware Replacement
Software,Resolved,2023-10-03 01:05:00.000000000,2023-05-07 09:01:00,Luke Wilson,INC0000000250,admin,Canada,Beth Anglin,Bud Richman,2023-12-06 21:57:38.764148014,There was an issue,3 - Moderate,Software,1,Software Bug,645,33769.66975734733,Restart Service
Hardware,Closed,2023-01-03 11:04:00.000000000,2023-05-07 11:12:00,Luke Wilson,INC0000000317,admin,Australia,Fred Luddy,Bud Richman,2023-09-13 00:09:56.020598186,There was an issue,1 - Critical,Hardware,3,Network Problem,799,63793.78792156151,Restart Service
Hardware,Resolved,2023-04-19 16:48:00.000000000,2023-05-07 12:05:00,Charlie Whitherspoon,INC0000000302,system,UK,Luke Wilson,David Loo,2024-01-14 00:18:47.213476730,There was an issue,1 - Critical,Hardware,4,Configuration Error,189,12932.560619572077,User Training
Software,Closed,2023-02-16 16:49:49.770102240,2023-05-12 06:51:00,Howard Johnson,INC0000000249,system,Australia,Beth Anglin,David Loo,2023-07-23 16:38:46.547163481,There was an issue,1 - Critical,Software,5,Configuration Error,735,13166.100430636936,Apply Patch
Inquiry / Help,Resolved,2023-02-24 12:26:03.066179768,2023-05-12 11:38:00,Charlie Whitherspoon,INC0000000185,admin,India,Howard Johnson,David Loo,2023-08-19 00:17:36.874122878,There was an issue,1 - Critical,Inquiry / Help,5,User Error,69,2458.6670403945723,Configuration Change
Software,Resolved,2023-10-10 20:23:44.798714886,2023-05-13 02:54:00,Luke Wilson,INC0000000466,system,United States,Beth Anglin,Bud Richman,2023-05-30 02:59:49.369927031,There was an issue,2 - High,Software,5,Software Bug,435,10125.34510273131,Configuration Change
Hardware,Closed,2023-08-18 23:36:22.191419882,2023-05-13 10:11:00,Howard Johnson,INC0000000404,system,UK,Beth Anglin,David Loo,2023-06-04 09:17:41.184530679,There was an issue,4 - Low,Hardware,2,Third-party Service Issue,442,38189.92684702619,Hardware Replacement
Hardware,Resolved,2023-05-22 23:24:00.000000000,2023-05-14 11:45:00,Howard Johnson,INC0000000106,admin,Australia,Luke Wilson,Bud Richman,2023-12-27 23:15:06.590296403,There was an issue,3 - Moderate,Hardware,5,Network Problem,779,54381.949266115495,Hardware Replacement
Database,Resolved,2024-01-09 12:37:13.292569926,2023-05-17 20:30:00,Howard Johnson,INC0000000275,system,Canada,Fred Luddy,Bud Richman,2023-03-03 22:24:21.666904166,There was an issue,3 - Moderate,Database,4,Third-party Service Issue,388,22991.472118989757,User Training
Network,Closed,2023-01-13 03:44:31.383066130,2023-05-18 07:29:00,Fred Luddy,INC0000000274,employee,Canada,Charlie Whitherspoon,ITIL User,2023-04-22 08:16:59.883429480,There was an issue,3 - Moderate,Network,5,User Error,874,83148.89158796765,Apply Patch
Database,Closed,2023-01-28 04:52:51.519667192,2023-05-18 17:29:00,Beth Anglin,INC0000000199,employee,Australia,Fred Luddy,Don Goodliffe,2023-03-29 09:27:22.091188363,There was an issue,4 - Low,Database,3,Configuration Error,813,11170.441960113887,Configuration Change
Software,Resolved,2023-10-12 19:50:00.000000000,2023-05-18 22:32:00,Howard Johnson,INC0000000370,employee,India,Howard Johnson,Don Goodliffe,2023-01-18 08:42:15.759148193,There was an issue,3 - Moderate,Software,3,Third-party Service Issue,95,2089.897356955419,Software Update
Network,Resolved,2023-05-03 23:18:07.556497402,2023-05-19 04:05:00,Charlie Whitherspoon,INC0000000397,admin,United States,Fred Luddy,David Loo,2023-06-29 19:11:43.933822843,There was an issue,4 - Low,Network,1,Third-party Service Issue,146,9609.54875030006,Hardware Replacement
Network,Closed,2023-07-25 23:13:55.734880101,2023-05-20 06:12:00,Howard Johnson,INC0000000488,admin,UK,Luke Wilson,ITIL User,2023-06-15 22:13:18.416949743,There was an issue,2 - High,Network,3,Network Problem,790,11478.095169934637,User Training
Software,Closed,2023-10-08 04:30:10.854895991,2023-05-21 05:49:00,Charlie Whitherspoon,INC0000000140,admin,India,Fred Luddy,Don Goodliffe,2023-06-12 02:12:20.844915289,There was an issue,1 - Critical,Software,5,User Error,589,57901.567931822814,Restart Service
Software,Closed,2023-12-15 03:54:00.000000000,2023-05-21 23:24:00,Luke Wilson,INC0000000281,system,United States,Howard Johnson,ITIL User,2023-02-25 02:41:07.264125204,There was an issue,3 - Moderate,Software,3,Software Bug,695,30274.500503098352,Software Update
Network,Resolved,2023-05-24 07:52:48.690310999,2023-05-22 01:22:00,Luke Wilson,INC0000000448,employee,Canada,Beth Anglin,David Loo,2023-11-19 08:35:26.721892000,There was an issue,4 - Low,Network,3,Software Bug,144,3152.1574693145367,Configuration Change
Database,Closed,2023-11-03 11:52:00.000000000,2023-05-24 02:06:00,Charlie Whitherspoon,INC0000000284,system,UK,Fred Luddy,Bud Richman,2023-04-24 02:25:13.899200115,There was an issue,4 - Low,Database,5,Hardware Failure,871,68560.06109259954,User Training
Hardware,Closed,2023-03-30 05:18:20.748165094,2023-05-24 03:55:00,Howard Johnson,INC0000000413,employee,United States,Fred Luddy,Bud Richman,2023-05-19 09:53:34.982040620,There was an issue,4 - Low,Hardware,4,Third-party Service Issue,171,9729.045296776894,Configuration Change
Inquiry / Help,Closed,2023-09-01 14:19:29.165134519,2023-05-26 08:08:00,Howard Johnson,INC0000000008,system,United States,Howard Johnson,Bud Richman,2023-02-18 11:04:04.387140839,There was an issue,1 - Critical,Inquiry / Help,2,Network Problem,44,1652.8812685870903,Restart Service
Network,Closed,2023-10-02 04:18:49.766694358,2023-05-26 13:20:00,Howard Johnson,INC0000000409,employee,India,Beth Anglin,Don Goodliffe,2023-08-18 23:36:22.191419882,There was an issue,4 - Low,Network,2,Third-party Service Issue,129,11775.080210870105,Hardware Replacement
Hardware,Closed,2023-05-12 02:21:34.844909705,2023-05-27 08:38:00,Beth Anglin,INC0000000494,admin,United States,Luke Wilson,ITIL User,2023-10-12 19:50:00.000000000,There was an issue,3 - Moderate,Hardware,1,Hardware Failure,662,20297.790361195264,Configuration Change
Hardware,Resolved,2024-01-14 00:18:47.213476730,2023-05-27 21:00:00,Luke Wilson,INC0000000116,employee,UK,Luke Wilson,David Loo,2023-04-16 00:36:30.146701781,There was an issue,1 - Critical,Hardware,4,Hardware Failure,839,49834.218474363115,Configuration Change
Database,Closed,2023-03-05 04:00:53.829740603,2023-05-28 13:25:00,Luke Wilson,INC0000000147,admin,Canada,Charlie Whitherspoon,Bud Richman,2023-11-07 22:41:41.858766805,There was an issue,2 - High,Database,1,Configuration Error,40,3503.4161623521504,Restart Service
Inquiry / Help,Resolved,2023-11-04 00:17:56.334785377,2023-05-29 04:20:00,Beth Anglin,INC0000000198,system,Canada,Charlie Whitherspoon,ITIL User,2023-10-29 06:16:49.729720000,There was an issue,2 - High,Inquiry / Help,4,Software Bug,49,690.9610445874418,Software Update
Software,Closed,2023-06-19 06:59:02.120925069,2023-05-30 09:43:00,Beth Anglin,INC0000000112,employee,Canada,Beth Anglin,ITIL User,2023-08-13 06:44:24.424288482,There was an issue,3 - Moderate,Software,5,Network Problem,121,4872.969830272106,Restart Service
Database,Closed,2023-07-31 00:33:13.437296119,2023-05-30 09:56:00,Howard Johnson,INC0000000054,employee,Australia,Luke Wilson,David Loo,2023-01-09 08:53:00.000000000,There was an issue,2 - High,Database,3,Hardware Failure,296,11375.791709903138,Apply Patch
Network,Resolved,2023-03-17 12:55:54.993590364,2023-06-01 00:47:00,Beth Anglin,INC0000000241,employee,India,Howard Johnson,Bud Richman,2023-01-11 01:17:39.128189467,There was an issue,4 - Low,Network,3,Hardware Failure,811,13632.65557260066,Apply Patch
Network,Closed,2023-10-18 20:50:35.137819655,2023-06-01 13:13:00,Luke Wilson,INC0000000036,admin,India,Beth Anglin,David Loo,2023-05-31 03:23:19.484544434,There was an issue,3 - Moderate,Network,3,Hardware Failure,595,39028.98188346792,Hardware Replacement
Inquiry / Help,Resolved,2023-05-10 23:55:09.253391223,2023-06-02 12:28:00,Howard Johnson,INC0000000289,employee,UK,Luke Wilson,David Loo,2024-01-10 15:38:48.582320090,There was an issue,4 - Low,Inquiry / Help,4,Hardware Failure,464,31028.078710070415,Apply Patch
Hardware,Closed,2023-04-13 15:50:15.123078287,2023-06-02 22:47:00,Fred Luddy,INC0000000286,employee,India,Beth Anglin,Don Goodliffe,2023-06-07 21:23:00.000000000,There was an issue,2 - High,Hardware,4,Third-party Service Issue,924,40348.667977535355,Configuration Change
Software,Resolved,2023-07-26 01:50:52.068385147,2023-06-03 10:45:00,Fred Luddy,INC0000000460,employee,India,Howard Johnson,Don Goodliffe,2023-09-23 18:17:16.716938240,There was an issue,4 - Low,Software,5,Network Problem,27,1282.124654523878,Hardware Replacement
Inquiry / Help,Resolved,2024-01-20 12:12:40.568716377,2023-06-03 12:39:00,Charlie Whitherspoon,INC0000000292,employee,United States,Charlie Whitherspoon,Don Goodliffe,2023-09-16 11:23:21.172473709,There was an issue,1 - Critical,Inquiry / Help,2,Third-party Service Issue,331,31535.5535551162,Software Update
Network,Closed,2023-09-20 20:58:46.751153395,2023-06-04 15:09:00,Beth Anglin,INC0000000125,system,Canada,Fred Luddy,ITIL User,2023-09-27 06:11:00.000000000,There was an issue,3 - Moderate,Network,4,User Error,890,69827.07405805927,Hardware Replacement
Hardware,Closed,2023-10-10 08:31:35.983826188,2023-06-04 21:23:00,Luke Wilson,INC0000000264,employee,Canada,Luke Wilson,ITIL User,2023-09-03 18:58:33.803118210,There was an issue,1 - Critical,Hardware,4,User Error,363,26871.86038931703,Restart Service
Hardware,Resolved,2023-10-27 01:49:16.402277796,2023-06-05 08:20:00,Howard Johnson,INC0000000225,admin,India,Luke Wilson,Bud Richman,2023-08-20 02:50:00.481014067,There was an issue,1 - Critical,Hardware,1,Hardware Failure,984,36622.27304381426,Configuration Change
Hardware,Closed,2023-04-30 20:00:34.805177671,2023-06-06 09:03:00,Howard Johnson,INC0000000144,system,United States,Howard Johnson,ITIL User,2023-02-03 19:14:44.970166482,There was an issue,2 - High,Hardware,1,Hardware Failure,951,29741.086914356038,Configuration Change
Database,Closed,2023-12-14 20:37:19.388113353,2023-06-06 21:23:00,Beth Anglin,INC0000000268,system,India,Fred Luddy,Bud Richman,2023-04-14 10:00:00.000000000,There was an issue,3 - Moderate,Database,2,Network Problem,902,35332.970812282634,Restart Service
Network,Closed,2023-08-04 04:46:10.581661057,2023-06-07 02:47:00,Luke Wilson,INC0000000213,system,UK,Fred Luddy,Bud Richman,2023-04-26 00:28:50.913657583,There was an issue,2 - High,Network,5,Configuration Error,869,82998.8870450799,Configuration Change
Software,Resolved,2023-03-26 11:10:50.949076210,2023-06-07 15:24:00,Fred Luddy,INC0000000496,employee,United States,Luke Wilson,Bud Richman,2023-11-04 00:17:56.334785377,There was an issue,4 - Low,Software,1,Network Problem,689,17059.658097779742,Restart Service
Inquiry / Help,Resolved,2023-10-14 14:32:43.560111853,2023-06-07 17:00:00,Fred Luddy,INC0000000347,system,Canada,Luke Wilson,ITIL User,2023-08-22 19:11:00.000000000,There was an issue,3 - Moderate,Inquiry / Help,1,User Error,475,45814.98063525617,Software Update
Network,Resolved,2023-04-26 00:28:50.913657583,2023-06-08 18:44:00,Charlie Whitherspoon,INC0000000059,employee,Australia,Fred Luddy,Bud Richman,2023-08-10 06:30:11.927271898,There was an issue,4 - Low,Network,2,Hardware Failure,618,47312.77842227503,Configuration Change
Network,Resolved,2023-07-10 23:00:15.709745176,2023-06-08 22:05:00,Fred Luddy,INC0000000301,admin,UK,Luke Wilson,Don Goodliffe,2023-10-10 08:31:35.983826188,There was an issue,4 - Low,Network,2,User Error,217,14990.682342115892,Restart Service
Inquiry / Help,Closed,2023-08-07 09:44:00.000000000,2023-06-09 08:53:00,Charlie Whitherspoon,INC0000000330,employee,India,Fred Luddy,ITIL User,2023-01-03 11:04:00.000000000,There was an issue,3 - Moderate,Inquiry / Help,4,Hardware Failure,36,3030.04618044813,Software Update
Network,Closed,2024-01-19 09:54:00.000000000,2023-06-10 17:52:00,Charlie Whitherspoon,INC0000000064,employee,United States,Charlie Whitherspoon,Don Goodliffe,2023-03-17 15:33:56.380678280,There was an issue,2 - High,Network,2,Configuration Error,131,2844.0897140486663,Hardware Replacement
Database,Resolved,2023-11-08 06:15:25.825398065,2023-06-10 20:44:00,Fred Luddy,INC0000000133,admin,Canada,Luke Wilson,Bud Richman,2023-10-21 05:30:42.585855096,There was an issue,4 - Low,Database,5,User Error,598,45055.150369267016,Configuration Change
Inquiry / Help,Resolved,2023-11-24 06:22:46.772217434,2023-06-11 07:00:00,Beth Anglin,INC0000000344,employee,UK,Luke Wilson,Bud Richman,2023-07-26 17:51:52.767336231,There was an issue,4 - Low,Inquiry / Help,1,User Error,915,17873.260306937496,Configuration Change
Database,Closed,2024-02-01 06:07:10.554650244,2023-06-14 04:06:00,Beth Anglin,INC0000000356,employee,India,Fred Luddy,Don Goodliffe,2023-05-06 22:24:00.000000000,There was an issue,4 - Low,Database,2,Network Problem,858,64385.44148310679,Apply Patch
Software,Resolved,2023-11-20 14:15:29.239228781,2023-06-15 07:56:00,Charlie Whitherspoon,INC0000000121,system,Australia,Charlie Whitherspoon,ITIL User,2024-02-01 12:40:26.195788814,There was an issue,2 - High,Software,1,Hardware Failure,589,18759.305774583143,User Training
Inquiry / Help,Resolved,2023-10-24 10:20:11.744461099,2023-06-19 10:41:00,Luke Wilson,INC0000000398,admin,India,Fred Luddy,Bud Richman,2023-05-24 09:29:18.509870284,There was an issue,4 - Low,Inquiry / Help,1,Configuration Error,605,58209.045479785054,Configuration Change
Hardware,Closed,2023-03-01 04:41:50.658060449,2023-06-19 11:21:00,Charlie Whitherspoon,INC0000000062,system,Canada,Fred Luddy,Bud Richman,2023-11-19 13:31:44.558204717,There was an issue,4 - Low,Hardware,5,Hardware Failure,8,485.49535006920206,Restart Service
Software,Resolved,2023-05-14 08:03:47.192602517,2023-06-19 12:22:00,Howard Johnson,INC0000000310,admin,Australia,Fred Luddy,David Loo,2024-01-31 02:23:56.445975993,There was an issue,3 - Moderate,Software,3,Third-party Service Issue,703,21763.5530120532,User Training
Network,Resolved,2023-05-30 11:21:04.259433606,2023-06-19 13:59:00,Howard Johnson,INC0000000251,admin,UK,Howard Johnson,Don Goodliffe,2023-07-22 05:03:13.822074451,There was an issue,2 - High,Network,4,Hardware Failure,506,14168.05324870165,Configuration Change
Inquiry / Help,Resolved,2023-02-17 00:34:25.927389861,2023-06-21 19:04:00,Luke Wilson,INC0000000145,system,India,Charlie Whitherspoon,Bud Richman,2023-10-08 05:16:54.012585598,There was an issue,2 - High,Inquiry / Help,3,Third-party Service Issue,456,36691.20501530783,Software Update
Inquiry / Help,Resolved,2023-09-22 21:14:00.000000000,2023-06-22 17:34:00,Charlie Whitherspoon,INC0000000265,employee,Canada,Charlie Whitherspoon,Bud Richman,2023-11-15 23:12:53.763111504,There was an issue,3 - Moderate,Inquiry / Help,3,Configuration Error,470,40559.98150933124,User Training
Software,Closed,2023-12-09 17:15:01.861232926,2023-06-23 12:47:00,Luke Wilson,INC0000000358,employee,Australia,Fred Luddy,Bud Richman,2023-10-08 21:29:55.684306333,There was an issue,3 - Moderate,Software,4,Software Bug,175,4303.883649771118,Hardware Replacement
Database,Closed,2023-06-09 23:10:07.618999909,2023-06-23 20:11:00,Howard Johnson,INC0000000266,system,UK,Beth Anglin,Bud Richman,2023-12-06 22:33:01.700205220,There was an issue,3 - Moderate,Database,5,Configuration Error,163,12997.960323108831,Apply Patch
Network,Resolved,2023-06-24 09:17:21.801903137,2023-06-25 04:50:00,Howard Johnson,INC0000000045,employee,UK,Fred Luddy,Don Goodliffe,2023-10-06 07:39:16.761597562,There was an issue,4 - Low,Network,1,Software Bug,549,43304.661615228215,User Training
