department,state,percent_complete,priority,target_percentage,category,sys_id,sys_updated_by,metric,end_date,start_date,owner,description
Marketing,Completed,84,Low,84,Cost Reduction,G000132,admin,Survey Score,2022-11-17,2022-07-11,Lucas Santellana,Reduce overall software licensing costs by 20% through renegotiating vendor contracts and eliminating redundant tools.
Finance,Completed,77,Medium,75,Efficiency,G000133,admin,Sales Increase,2022-09-02,2022-06-11,Zane Sulikowski,"Enhance the performance of our IT systems to increase processing speed by 30%, resulting in reduced wait times and improved user satisfaction."
Finance,In Progress,12,High,69,Revenue Growth,G000134,admin,Survey Score,2022-09-27,2022-09-16,Valerie Pou,Increase annual software product sales by 20% by expanding into Asian and European markets.
Finance,In Progress,27,High,74,Efficiency,G000135,admin,Employee Turnover Rate,2022-12-29,2022-06-05,Christa Bodenschatz,"Enhance the use of automation tools to decrease report generation time by 30%, aimed at increasing overall operational efficiency."
Finance,In Progress,1,High,53,Customer Satisfaction,G000136,admin,Survey Score,2023-02-05,2022-08-24,Pierre Salera,Develop a new customer feedback system to increase satisfaction scores by 20% over the next 12 months.
Finance,Completed,81,Low,79,Efficiency,G000137,admin,Expense Ratio,2023-04-14,2022-10-17,Eva Seahorn,"Develop automated workflows to reduce manual input time in the asset management process, aiming for a 20% increase in efficiency."
IT,In Progress,32,Critical,57,Customer Satisfaction,G000138,admin,Sales Increase,2022-10-16,2022-08-29,Beverley Bunche,Enhance the online customer support portal to improve response times and increase customer satisfaction ratings by at least 20% over the next 12 months.
HR,In Progress,60,High,87,Employee Satisfaction,G000139,admin,Sales Increase,2023-03-18,2022-09-05,Cherie Fuhri,Develop and implement a quarterly employee feedback survey to increase overall job satisfaction ratings by 20% within the next fiscal year.
HR,Cancelled,50,Critical,51,Efficiency,G000140,admin,Sales Increase,2022-10-09,2022-11-15,Tammie Schwartzwalde,"Increase the efficiency of the IT helpdesk by automating ticket processing, aiming to shorten response times by 30% within the next quarter."
HR,In Progress,0,Critical,51,Customer Satisfaction,G000141,admin,Expense Ratio,2023-02-14,2022-10-29,Misty Ericksen,Increase the customer satisfaction score by 20% through enhanced support services and faster response times by the end of Q4.
IT,Planned,19,Critical,67,Cost Reduction,G000142,admin,Expense Ratio,2022-09-03,2022-10-12,Rich Gleave,"Enhance operational efficiencies to lower overhead expenses by 20%, aiming to save approximately $500K by Q4."
IT,In Progress,10,High,96,Employee Satisfaction,G000143,admin,Employee Turnover Rate,2023-05-30,2022-07-22,Thomas Jefferson,Launch a quarterly feedback survey to assess employee satisfaction and implement at least two major suggestions from the results by the end of the year to improve overall workplace morale.
HR,Completed,61,Critical,59,Efficiency,G000144,admin,Survey Score,2023-03-02,2022-08-04,SOAP Guest,"Enhance the workflow automation tools to increase processing speed by 20%, aiming to reduce manual task involvement and improve overall operational efficiency."
Marketing,Completed,81,Low,79,Customer Satisfaction,G000145,admin,Survey Score,2023-01-21,2022-12-03,Christian Marnell,Develop a new customer feedback system to improve satisfaction ratings by at least 20% over the next 12 months.
HR,In Progress,34,Critical,56,Employee Satisfaction,G000146,admin,Sales Increase,2022-04-26,2022-02-13,Mara Vanderzwaag,Develop a comprehensive employee engagement program aimed at increasing overall satisfaction scores by 20% through enhanced communication and wellness initiatives.
IT,In Progress,47,High,93,Efficiency,G000147,admin,Employee Turnover Rate,2023-01-22,2022-03-14,Janet Schaffter,"Enhance the team's workload management by implementing automated task assignments, aiming to reduce manual processing time by 30%."
HR,In Progress,43,Critical,53,Employee Satisfaction,G000148,admin,Survey Score,2023-05-26,2022-11-08,Van Leanen,Increase employee satisfaction scores by 20% through enhanced work environment and comprehensive wellness programs.
Finance,Cancelled,23,High,65,Revenue Growth,G000149,admin,Sales Increase,2023-03-28,2022-06-30,Christa Bodenschatz,Develop and launch a new software product line focused on AI solutions to boost annual revenue by 20%.
HR,In Progress,22,High,73,Customer Satisfaction,G000150,admin,Sales Increase,2022-09-23,2022-02-25,Jess Assad,Develop a new customer feedback system to increase overall satisfaction ratings by 20% over the next fiscal year.
Finance,In Progress,45,Critical,59,Efficiency,G000151,admin,Expense Ratio,2023-01-20,2022-12-24,Sophie Langner,"Optimize the IT helpdesk response time by automating routine inquiries, aiming for a 30% improvement in ticket resolution times."
HR,Completed,76,Low,74,Employee Satisfaction,G000152,admin,Survey Score,2022-08-02,2022-08-23,Alyssa Biasotti,Develop and implement a new employee feedback system to increase overall satisfaction scores by 20% in the upcoming employee survey.
Finance,In Progress,13,Critical,90,Customer Satisfaction,G000153,admin,Survey Score,2022-12-04,2022-09-11,Vernon Engelman,Develop a comprehensive customer feedback system to increase satisfaction scores by 20% within the next 6 months.
Marketing,In Progress,43,Critical,91,Revenue Growth,G000154,admin,Survey Score,2023-09-12,2022-09-21,Ramon Amaral,Develop and launch a new software product line aiming to enhance market share and achieve a 20% increase in annual revenue.
HR,In Progress,59,High,83,Customer Satisfaction,G000155,admin,Expense Ratio,2022-06-01,2022-08-02,Justina Dragaj,Develop a customer feedback system to enhance service ratings by 20% over the next 12 months through consistent monitoring and tailored support improvements.
HR,In Progress,20,Critical,51,Customer Satisfaction,G000156,admin,Survey Score,2023-02-09,2022-05-19,Sean Bonnet,Develop a new customer feedback system to enhance satisfaction scores by over 20% through improved service response times and personalized support.
HR,Completed,81,Low,79,Cost Reduction,G000157,admin,Sales Increase,2022-03-15,2022-08-13,Denice Nordlinger,Optimize IT support operations to achieve a 20% reduction in annual operating expenses by implementing automated ticketing systems and vendor renegotiations.
Finance,Completed,87,Low,85,Cost Reduction,G000158,admin,Expense Ratio,2023-01-26,2022-06-12,Mara Vanderzwaag,Reduce overall IT support costs by 20% through the adoption of automated issue resolution systems and restructuring the support team workflow.
HR,Completed,69,High,67,Employee Satisfaction,G000159,admin,Sales Increase,2022-12-17,2022-07-25,SLA Admin,Develop and implement a comprehensive employee engagement program aimed at increasing overall job satisfaction and reducing annual turnover by 20%.
HR,In Progress,34,Critical,54,Employee Satisfaction,G000160,admin,Employee Turnover Rate,2022-12-22,2022-07-02,Sean Bonnet,Develop and implement a quarterly team-building program to enhance employee satisfaction and reduce turnover rates by 20%.
IT,Completed,55,Medium,53,Cost Reduction,G000161,admin,Employee Turnover Rate,2022-08-30,2022-06-20,Doug Matrisciano,"Reduce overall IT spending by consolidating software licenses and renegotiating vendor contracts, targeting a 20% cost reduction within the next fiscal year."
Marketing,In Progress,64,Critical,67,Revenue Growth,G000162,admin,Employee Turnover Rate,2023-02-25,2022-09-29,Mabel Weeden,"Develop new digital marketing strategies to increase sales revenue by 20% in the next fiscal year, targeting an expansion into underrepresented markets."
IT,In Progress,38,High,73,Efficiency,G000163,admin,Sales Increase,2023-03-27,2022-03-27,Sandra Graen,"Optimize team workflows to enhance productivity by reducing processing time by 30%, allowing for faster project turnarounds."
HR,In Progress,4,Critical,66,Employee Satisfaction,G000164,admin,Expense Ratio,2022-09-25,2022-09-19,Eva Seahorn,Increase overall employee satisfaction score by introducing flexible work hours and enhancing the remote work infrastructure.
Finance,Completed,57,Low,55,Cost Reduction,G000165,admin,Expense Ratio,2023-02-04,2022-02-28,Sophie Langner,Achieve a 20% reduction in operational expenses by optimizing asset utilization and renegotiating supplier contracts.
IT,In Progress,20,Critical,51,Employee Satisfaction,G000166,admin,Expense Ratio,2022-11-16,2022-08-05,Bryant Bouliouris,Develop and launch a quarterly employee feedback survey to measure and enhance overall job satisfaction by the end of Q3.
Finance,Completed,88,Medium,87,Efficiency,G000167,admin,Expense Ratio,2022-12-05,2022-02-14,Geri Forness,"Optimize IT support workflow to reduce ticket resolution time by 30%, aiming to increase overall user satisfaction and productivity."
Finance,In Progress,7,Critical,83,Efficiency,G000168,admin,Survey Score,2023-05-17,2022-06-14,Miquel Demicco,"Enhance the automated ticket resolution system to improve the average handling time by 20%, reducing it from 15 minutes to 12 minutes per ticket."
Finance,Completed,75,Medium,73,Cost Reduction,G000169,admin,Expense Ratio,2023-06-08,2022-01-04,Lucius Bagnoli,"Reduce overall software licensing expenses by negotiating bulk purchase agreements, aiming for a 20% reduction in annual costs."
Marketing,In Progress,35,Critical,70,Employee Satisfaction,G000170,admin,Sales Increase,2023-01-18,2022-03-28,Terrell Rodda,Develop and execute a quarterly employee satisfaction survey to identify improvement areas and increase overall satisfaction ratings by 20%.
Finance,In Progress,33,Critical,68,Revenue Growth,G000171,admin,Sales Increase,2022-04-25,2022-04-12,Lucius Bagnoli,Develop new regional markets to increase overall revenue by 20% within the next fiscal year.
HR,In Progress,22,High,57,Revenue Growth,G000172,admin,Survey Score,2023-01-31,2022-01-14,Denice Nordlinger,Increase software product line sales by 20% over the next quarter through expanded online marketing campaigns and partnership incentives.
Marketing,Completed,60,Low,58,Cost Reduction,G000173,admin,Sales Increase,2022-10-24,2022-01-01,Mamie Mcintee,Optimize IT infrastructure management to decrease overall technology expenditures by 20% over the next fiscal year.
Finance,Completed,85,Low,83,Efficiency,G000174,admin,Sales Increase,2023-05-05,2022-08-18,Maurine Monroy,"Optimize IT support workflows to achieve a 20% reduction in average ticket resolution time, aiming to enhance overall operational efficiency."
Finance,In Progress,48,Critical,53,Efficiency,G000175,admin,Survey Score,2023-02-11,2022-09-22,Password Admin,"Enhance the use of automation across customer service processes to decrease resolution time by 20%, leading to improved operational efficiency."
Finance,Completed,89,Medium,87,Cost Reduction,G000176,admin,Sales Increase,2023-02-06,2022-09-03,Cary Mccamey,Reduce office supply expenses by 20% through better vendor contracts and bulk purchasing agreements.
Marketing,In Progress,6,High,87,Employee Satisfaction,G000177,admin,Survey Score,2022-11-21,2022-11-27,Justina Dragaj,Develop a comprehensive employee wellness program aimed at improving overall job satisfaction and reducing stress-related absences by 20% over the next fiscal year.
Finance,Completed,93,Medium,91,Employee Satisfaction,G000178,admin,Sales Increase,2022-08-11,2022-08-05,Terrell Rodda,"Increase annual employee satisfaction survey scores by 20% through enhanced communication, dedicated wellness programs, and improved work-life balance initiatives."
Finance,Completed,90,Low,90,Employee Satisfaction,G000179,admin,Survey Score,2022-11-08,2022-06-06,Beverley Bunche,Increase annual employee satisfaction survey scores by 20% through enhanced workplace conditions and regular feedback sessions.
HR,Completed,83,Medium,81,Customer Satisfaction,G000180,admin,Survey Score,2022-12-11,2022-01-30,Sean Bonnet,Enhance the customer support interface to improve satisfaction ratings by 20% over the next fiscal year.
HR,In Progress,26,Critical,69,Employee Satisfaction,G000181,admin,Employee Turnover Rate,2022-08-10,2022-06-18,Terrell Rodda,"Develop and deploy an employee engagement survey by Q3 to identify key areas for improving workplace satisfaction, aiming for a 20% increase in employee happiness scores."
Finance,Completed,70,Low,68,Efficiency,G000182,admin,Survey Score,2023-05-13,2022-03-19,Suresh Yekollu,Increase the average ticket resolution speed by 20% through the adoption of automated troubleshooting systems for standard queries.
HR,In Progress,1,High,80,Revenue Growth,G000183,admin,Employee Turnover Rate,2022-11-09,2022-01-24,Valerie Pou,Develop new online marketing strategies to increase overall sales revenue by 20% in the next financial year.
IT,Completed,77,Low,75,Cost Reduction,G000184,admin,Employee Turnover Rate,2022-09-28,2022-12-27,Karyn Jinks,"Reduce operational energy costs by optimizing HVAC usage across all corporate facilities, aiming for a 20% reduction in energy expenditures within the next fiscal year."
Finance,Completed,97,Medium,95,Cost Reduction,G000185,admin,Expense Ratio,2023-07-14,2022-10-16,Hilario Cassa,"Reduce IT operational expenses by optimizing resource allocation and eliminating unnecessary software licenses, aiming for a 20% cost reduction within the next fiscal year."
Marketing,In Progress,52,Critical,59,Efficiency,G000186,admin,Employee Turnover Rate,2022-08-02,2022-07-18,Devon Teston,"Optimize IT incident response times to improve operational efficiency, aiming for a 30% reduction in average resolution time by the end of Q4."
IT,In Progress,20,High,90,Customer Satisfaction,G000187,admin,Employee Turnover Rate,2022-12-10,2022-05-03,Stephen Seiters,Develop a new customer feedback system to increase satisfaction scores by 20% over the next fiscal year.
HR,Planned,7,High,78,Cost Reduction,G000188,admin,Expense Ratio,2023-08-27,2022-10-18,Bridget Knightly,Reduce overall operational expenses by 20% through automation of routine tasks and elimination of redundant legacy systems by Q4.
HR,Cancelled,0,High,69,Revenue Growth,G000189,admin,Sales Increase,2022-09-11,2022-01-30,Savannah Kesich,Develop a comprehensive digital marketing strategy aimed at increasing annual subscription revenues by 20% within the next fiscal year.
HR,In Progress,20,Critical,55,Revenue Growth,G000190,admin,Employee Turnover Rate,2022-08-02,2022-07-02,Adela Cervantsz,Develop new digital marketing strategies to increase monthly online sales revenue by 20% within the next fiscal year.
Marketing,In Progress,26,High,52,Employee Satisfaction,G000191,admin,Survey Score,2023-01-04,2022-02-22,Billie Cowley,"Develop a comprehensive employee training program aimed at boosting job satisfaction and skill levels, with a goal to improve employee satisfaction scores by 20% over the next fiscal year."
Finance,Completed,58,Low,56,Efficiency,G000192,admin,Survey Score,2023-04-13,2022-01-07,Timothy Janski,"Optimize IT support workflows to decrease resolution time by 30%, enhancing overall service efficiency."
Finance,In Progress,65,High,83,Customer Satisfaction,G000193,admin,Employee Turnover Rate,2023-03-15,2022-09-19,Vernon Engelman,Enhance the online customer support portal to improve resolution rates and customer satisfaction scores by 20% over the next quarter.
HR,Completed,72,Medium,70,Cost Reduction,G000194,admin,Sales Increase,2023-03-18,2022-05-16,Dwain Cuttitta,Initiate bulk purchasing agreements for key materials to achieve a 20% reduction in overall supply costs within the next fiscal year.
HR,Planned,10,High,69,Efficiency,G000195,admin,Sales Increase,2022-08-19,2022-09-25,Stephen Seiters,Optimize IT system maintenance schedules to decrease downtime by 20% and improve overall operational efficiency.
IT,Planned,1,Critical,98,Employee Satisfaction,G000196,admin,Expense Ratio,2023-04-25,2022-05-09,Jimmie Barninger,Develop a comprehensive employee wellness program aimed at improving overall job satisfaction and reduce annual turnover by 20%.
Finance,In Progress,29,High,59,Customer Satisfaction,G000197,admin,Survey Score,2023-08-07,2022-04-06,Thomas Jefferson,"Develop a comprehensive training program for customer service representatives to enhance communication skills and product knowledge, aiming to improve customer satisfaction ratings by 20% within the next fiscal year."
Marketing,Completed,55,High,53,Employee Satisfaction,G000198,admin,Survey Score,2022-12-20,2022-05-07,Sandra Graen,Initiate quarterly team-building activities to enhance employee satisfaction scores by 20% over the next fiscal year.
Finance,Completed,73,Low,71,Revenue Growth,G000199,admin,Employee Turnover Rate,2022-09-13,2022-06-25,Timothy Janski,Increase annual subscription sales by 20% through enhanced digital marketing strategies and customer engagement programs.
Marketing,Completed,60,Medium,58,Cost Reduction,G000200,admin,Employee Turnover Rate,2023-04-17,2022-05-27,Billie Cowley,"Reduce operational expenses by optimizing energy usage across all corporate facilities, aiming for a 20% cost reduction within the next fiscal year."
HR,In Progress,71,High,98,Revenue Growth,G000201,admin,Survey Score,2022-08-16,2022-11-19,Cary Mccamey,Increase annual revenue by 20% through strategic partnerships and expanding into new geographical markets.
Finance,Completed,62,Medium,60,Efficiency,G000202,admin,Sales Increase,2023-04-07,2022-08-17,Van Leanen,"Optimize internal workflow to enhance productivity, aiming for a 20% increase in operational efficiency through the use of automated tools and better resource management."
HR,Completed,74,Medium,72,Cost Reduction,G000203,admin,Sales Increase,2023-07-15,2022-02-07,Suresh Yekollu,"Reduce overall IT expenses by optimizing software licensing agreements, aiming for a 20% cost savings within the next fiscal year."
HR,Completed,56,Low,54,Cost Reduction,G000204,admin,Sales Increase,2022-07-23,2022-07-10,SOAP Guest,"Reduce IT operational costs by optimizing server utilization across all branches, aiming for a 20% decrease in annual spending."
Marketing,In Progress,60,Critical,86,Revenue Growth,G000205,admin,Employee Turnover Rate,2023-03-15,2022-10-22,Dwain Cuttitta,Increase annual revenue growth by 20% through the expansion of digital marketing campaigns targeting Europe and Asia-Pacific markets.
IT,In Progress,35,Critical,94,Cost Reduction,G000206,admin,Expense Ratio,2023-01-06,2022-03-16,Rich Gleave,"Reduce operational expenses by optimizing supplier contracts and internal efficiency, aiming for a 20% cost reduction in Q3."
HR,In Progress,40,Critical,80,Employee Satisfaction,G000207,admin,Sales Increase,2023-02-01,2022-05-29,Nelly Jakuboski,Develop and launch a new employee engagement program aimed at improving overall job satisfaction by 20% as measured by annual surveys.
HR,In Progress,23,Critical,53,Revenue Growth,G000208,admin,Employee Turnover Rate,2023-06-01,2022-12-04,Dollie Pillitteri,Increase annual software subscription sales by 20% by expanding marketing efforts in key regions.
Finance,In Progress,40,Critical,92,Employee Satisfaction,G000209,admin,Sales Increase,2022-03-28,2022-03-14,Travis Brockert,Develop and execute an annual employee engagement survey to increase overall satisfaction scores by 20% over the previous year.
HR,Completed,76,Medium,74,Revenue Growth,G000210,admin,Employee Turnover Rate,2022-09-09,2022-03-08,Terrell Rodda,Develop a new subscription-based revenue model aimed at increasing customer lifetime value by 20% within the next two fiscal years.
HR,In Progress,60,High,81,Revenue Growth,G000211,admin,Survey Score,2022-06-01,2022-05-26,Derek Kreutzbender,Expand into three new regional markets to increase overall sales revenue by 20% within the next fiscal year.
Marketing,Completed,67,Critical,65,Customer Satisfaction,G000212,admin,Survey Score,2023-05-19,2022-11-27,Terrell Rodda,Enhance the user interface to improve customer satisfaction ratings by 20% in the upcoming quarter.
HR,In Progress,53,Critical,90,Efficiency,G000213,admin,Survey Score,2022-06-22,2022-07-23,Dwain Cuttitta,Enhance the automation of repetitive tasks to increase overall workflow efficiency by 20%.
Marketing,Completed,92,Low,90,Customer Satisfaction,G000214,admin,Employee Turnover Rate,2022-09-05,2022-07-18,Kennith Peto,Enhance support response time to improve overall customer satisfaction ratings by 20% through the deployment of an upgraded CRM system.
IT,In Progress,33,High,95,Cost Reduction,G000215,admin,Survey Score,2023-02-06,2022-06-19,Eva Seahorn,Reduce annual IT infrastructure costs by consolidating vendors and renegotiating contracts leading to a 20% cost savings over the next fiscal year.
Finance,Completed,58,Low,56,Cost Reduction,G000216,admin,Survey Score,2023-04-03,2022-06-22,Security Center Data Collection User,"Reduce overall software licensing expenses by negotiating multi-year contracts, aiming for a 20% reduction over the next fiscal year."
HR,Planned,51,High,53,Efficiency,G000217,admin,Sales Increase,2023-06-04,2022-04-09,Cary Mccamey,"Optimize IT support workflows to decrease ticket resolution time by 30%, aiming to improve overall user satisfaction and operational efficiency."
Marketing,In Progress,17,High,51,Revenue Growth,G000218,admin,Employee Turnover Rate,2022-09-06,2022-08-30,Beverley Bunche,Develop a new digital marketing strategy aimed at increasing online sales revenue by 20% within the next fiscal year.
IT,Completed,75,Critical,73,Revenue Growth,G000219,admin,Sales Increase,2022-07-30,2022-05-19,Denice Nordlinger,Increase annual subscription sales by 20% through enhanced online marketing strategies and customer engagement.
HR,In Progress,23,High,54,Revenue Growth,G000220,admin,Sales Increase,2023-03-29,2022-05-23,Rob Phillips,Develop new customer segments in the online retail department to increase overall revenue by 20% in the next fiscal year.
IT,Planned,35,High,89,Customer Satisfaction,G000221,admin,Survey Score,2023-03-21,2022-07-22,Dwain Cuttitta,Develop and implement a customer feedback system to improve satisfaction scores by 20% over the next fiscal year.
IT,Completed,84,Medium,82,Cost Reduction,G000222,admin,Survey Score,2023-05-04,2022-04-01,Justina Dragaj,"Reduce overall IT spending by optimizing vendor contracts and internal efficiency, targeting a 20% cost savings within the next fiscal year."
Finance,In Progress,51,Critical,92,Revenue Growth,G000223,admin,Employee Turnover Rate,2023-04-14,2022-02-09,Devon Teston,"Expand into two new regional markets to achieve a 20% increase in annual revenue, targeting sectors with high growth potential."
Marketing,In Progress,27,High,55,Revenue Growth,G000224,admin,Sales Increase,2023-03-13,2022-11-10,Sophie Langner,"Develop and launch new software products aimed at increasing userbase by 200%, thereby enhancing overall revenue by $500K in the upcoming fiscal year."
Finance,Completed,69,Low,67,Employee Satisfaction,G000225,admin,Expense Ratio,2022-07-26,2022-04-08,Christian Marnell,Develop a comprehensive employee wellness program aimed at improving overall job satisfaction and reducing turnover by 20%.
IT,In Progress,51,High,53,Efficiency,G000226,admin,Survey Score,2022-08-01,2022-05-03,Miquel Demicco,"Enhance the automated response systems to improve incident resolution time by 20%, aiming to boost overall operational efficiency."
HR,In Progress,73,High,89,Employee Satisfaction,G000227,admin,Expense Ratio,2022-11-14,2022-12-23,Manifah Masood,Develop and implement a quarterly team-building program aimed at boosting team cohesion and overall employee satisfaction by 20%.
IT,Completed,76,Medium,74,Cost Reduction,G000228,admin,Employee Turnover Rate,2022-10-06,2022-10-11,Van Leanen,Optimize IT infrastructure management to achieve a 20% reduction in operational costs within the next fiscal year.
HR,In Progress,81,Medium,97,Efficiency,G000229,admin,Sales Increase,2023-01-09,2022-03-03,Misty Ericksen,"Optimize internal workflow to reduce task processing time by 20%, aiming to improve overall organizational efficiency."
IT,Completed,70,High,68,Efficiency,G000230,admin,Expense Ratio,2022-06-29,2022-10-31,Mabel Weeden,"Enhance the IT support ticket system to reduce average resolution time by 20%, aiming to boost overall user satisfaction and productivity."
IT,Completed,57,High,55,Customer Satisfaction,G000231,admin,Expense Ratio,2022-06-05,2022-12-12,Valerie Pou,Develop a new customer feedback system aimed at increasing satisfaction ratings from 80% to 90% by the end of Q4 2023.
HR,Completed,66,Low,64,Cost Reduction,G000232,admin,Sales Increase,2023-08-21,2022-11-15,Christa Bodenschatz,Enhance vendor contract negotiations to achieve a 20% reduction in operational expenditure by the end of Q4.
Marketing,Completed,66,Critical,64,Employee Satisfaction,G000233,admin,Employee Turnover Rate,2023-07-10,2022-10-05,Denice Nordlinger,"Increase employee satisfaction scores by enhancing workplace flexibility and remote work options, aiming for a 10% improvement in annual survey results."
IT,In Progress,19,Critical,88,Employee Satisfaction,G000234,admin,Employee Turnover Rate,2023-05-11,2022-03-23,Valerie Pou,"Develop and execute an annual employee engagement survey, aiming to improve staff satisfaction scores by at least 20% compared to the previous year."
Marketing,In Progress,61,High,68,Employee Satisfaction,G000235,admin,Sales Increase,2022-05-02,2022-04-18,Carmel Overfelt,Launch a quarterly employee feedback survey to enhance workplace environment and increase employee satisfaction ratings by over 20%.
Finance,Cancelled,84,Medium,89,Customer Satisfaction,G000236,admin,Survey Score,2022-12-25,2022-11-12,Mamie Mcintee,Develop a new client onboarding system designed to enhance user experience and improve satisfaction ratings by at least 20% in the upcoming quarter.
IT,In Progress,21,High,96,Revenue Growth,G000237,admin,Employee Turnover Rate,2022-04-04,2022-07-14,survey user,Launch a new digital marketing campaign to increase software subscription revenue by 20% within the next quarter.
Marketing,Completed,84,Low,82,Efficiency,G000238,admin,Sales Increase,2023-06-29,2022-07-16,Janet Schaffter,"Optimize the use of our IT infrastructure to reduce average response times for customer queries by 20%, aiming for a target of under 2 minutes response time per query."
HR,Completed,63,Low,61,Cost Reduction,G000239,admin,Employee Turnover Rate,2023-02-23,2022-07-23,Nirali Patel,"Reduce operating expenses by optimizing energy usage at all corporate offices, aiming for a 20% reduction in energy costs by the end of the fiscal year."
HR,In Progress,41,Critical,63,Efficiency,G000240,admin,Survey Score,2022-10-15,2022-10-18,Beverley Bunche,"Optimize IT support workflow to reduce ticket resolution time by 30%, enhancing overall operational efficiency."
Finance,In Progress,54,High,96,Employee Satisfaction,G000241,admin,Expense Ratio,2023-02-04,2022-11-18,Veronica Radman,"Develop a comprehensive annual training program aimed at improving leadership skills and job satisfaction for team leads, resulting in a 20% increase in employee engagement scores."
IT,Completed,89,Medium,87,Cost Reduction,G000242,admin,Expense Ratio,2023-06-25,2022-06-15,Cyril Behen,"Reduce overall software licensing fees by negotiating volume discounts, aiming for a 20% reduction in IT expenditures for the next fiscal year."
IT,In Progress,50,High,54,Efficiency,G000243,admin,Expense Ratio,2022-07-14,2022-10-25,Travis Brockert,"Optimize internal workflow automation to decrease task completion time by 20%, enhancing overall operational efficiency."
Marketing,Completed,69,Low,67,Employee Satisfaction,G000244,admin,Survey Score,2022-10-07,2022-03-27,Van Leanen,Develop an employee recognition program aimed at increasing overall workforce morale and satisfaction ratings by 20% over the next fiscal year.
IT,Cancelled,11,Critical,90,Customer Satisfaction,G000245,admin,Sales Increase,2022-07-14,2022-01-03,Sandra Graen,Develop and launch an enhanced customer feedback mechanism by end of Q2 to improve overall satisfaction ratings by 20% year-over-year.
Finance,Completed,62,Low,60,Employee Satisfaction,G000246,admin,Sales Increase,2023-02-28,2022-04-01,Darren Merlin,Develop and launch a quarterly employee engagement survey to identify areas for improvement and increase overall employee satisfaction ratings by 20%.
Marketing,In Progress,27,Critical,98,Customer Satisfaction,G000247,admin,Sales Increase,2023-01-14,2022-11-11,Sandra Graen,Enhance the online customer support interface to improve satisfaction ratings by at least 20% in the upcoming quarterly survey.
Finance,In Progress,57,Critical,63,Customer Satisfaction,G000248,admin,Survey Score,2022-07-31,2022-06-16,Concetta Sarchett,Improve response times on customer queries by reallocating resources to ensure a 20% increase in customer satisfaction ratings on our yearly feedback survey.
HR,In Progress,82,Medium,83,Efficiency,G000249,admin,Expense Ratio,2023-03-20,2022-10-18,Zane Sulikowski,Enhance the use of automation tools in our IT department to reduce ticket resolution time by 20% over the next quarter.
Marketing,In Progress,40,High,66,Customer Satisfaction,G000250,admin,Survey Score,2023-04-15,2022-07-01,Cary Mccamey,Enhance the customer support portal interface to improve user experience and achieve a customer satisfaction rating of at least 90%.
Marketing,Completed,66,Medium,64,Revenue Growth,G000251,admin,Survey Score,2022-10-15,2022-02-25,Dollie Pillitteri,Develop new digital marketing strategies to increase online revenue streams by 20% over the next fiscal year.
HR,Planned,93,Low,94,Efficiency,G000252,admin,Employee Turnover Rate,2023-08-13,2022-07-16,Henrietta Cintora,"Optimize the use of digital tools to increase report generation speed by 30%, thereby enhancing overall team productivity."
IT,In Progress,32,High,97,Revenue Growth,G000253,admin,Survey Score,2022-10-19,2022-03-10,Elaine Renzi,"Expand sales channels into European markets to achieve a 20% increase in annual revenue, focusing on developing a stronger local partner network."
HR,In Progress,65,Critical,73,Employee Satisfaction,G000254,admin,Sales Increase,2023-07-02,2022-07-21,Thomas Jefferson,Develop and launch a new Employee Engagement Program aimed at increasing overall job satisfaction scores by 20% over the next fiscal year.
Finance,Cancelled,96,Low,97,Cost Reduction,G000255,admin,Survey Score,2023-08-16,2022-03-07,Doug Matrisciano,"Reduce software license spending by consolidating vendor contracts and eliminating underused subscriptions, aiming for a 20% cost savings within the next fiscal year."
Marketing,In Progress,7,Critical,87,Revenue Growth,G000256,admin,Expense Ratio,2023-04-06,2022-10-20,Lucas Santellana,Develop and launch a new software product line aimed at small businesses to increase annual revenue by 20% within the next fiscal year.
Finance,In Progress,88,Low,91,Cost Reduction,G000257,admin,Employee Turnover Rate,2023-05-23,2022-11-15,Nirali Patel,"Reduce software licensing costs by consolidating duplicate licenses across departments, aiming for a 20% cost reduction in the next fiscal year."
IT,In Progress,12,High,71,Efficiency,G000258,admin,Sales Increase,2022-08-30,2022-09-02,Manifah Masood,"Optimize the IT support ticket system to reduce the average resolution time by 30%, enhancing workflow efficiency."
IT,In Progress,23,High,94,Revenue Growth,G000259,admin,Expense Ratio,2023-02-13,2022-06-21,Ross Spurger,Develop and launch a new software product line aimed at increasing the overall revenue by 20% within the next fiscal year.
Finance,Completed,80,Low,78,Cost Reduction,G000260,admin,Expense Ratio,2022-09-04,2022-10-19,Terrell Rodda,Reduce overall IT infrastructure expenses by 20% through vendor consolidation and improved contract negotiations.
Marketing,Completed,94,Medium,93,Cost Reduction,G000261,admin,Expense Ratio,2023-04-14,2022-09-05,Valerie Pou,Reduce operational expenses by optimizing internal software license management to achieve a 20% cost saving within the next fiscal year.
Finance,In Progress,45,High,50,Employee Satisfaction,G000262,admin,Employee Turnover Rate,2023-02-07,2022-10-11,Geri Forness,"Launch a quarterly feedback survey to enhance employee satisfaction and engagement, aiming for a 10% improvement in satisfaction scores by year-end."
Marketing,In Progress,22,Critical,80,Revenue Growth,G000263,admin,Survey Score,2023-04-30,2022-08-18,Vernon Engelman,Increase annual product sales revenue by 20% through enhanced marketing strategies and new market penetration.
