category,state,closed_at,opened_at,closed_by,number,sys_updated_by,location,assigned_to,caller_id,sys_updated_on,short_description,assignment_group,priority
Hardware,Closed,2023-04-14 10:00:00.000000000,2023-04-13 10:00:00,Howard Johnson,INC0000000119,employee,Australia,Luke Wilson,Don Goodliffe,2023-04-14 10:00:00.000000000,Printer639 is not working properly,Hardware,1 - Critical
Database,Closed,2023-04-25 00:40:17.584686390,2023-04-14 23:54:00,Luke Wilson,INC0000000120,system,India,Charlie Whitherspoon,Bud Richman,2023-04-25 00:40:17.584686390,Database query optimization issue at India location,Database,3 - Moderate
Hardware,Closed,2023-04-25 04:21:38.122505056,2023-04-15 11:57:00,Howard Johnson,INC0000000121,employee,Australia,Fred Luddy,ITIL User,2023-04-25 04:21:38.122505056,Printer789 is not responding,Hardware,2 - High
Network,Resolved,2023-04-19 16:48:00.000000000,2023-04-18 16:48:00,Charlie Whitherspoon,INC0000000122,system,UK,Fred Luddy,Don Goodliffe,2023-04-19 16:48:00.000000000,Network connection issue in UK,Network,2 - High
Hardware,Closed,2023-05-03 23:18:07.556497402,2023-04-18 19:22:00,Howard Johnson,INC0000000123,employee,Australia,Beth Anglin,Don Goodliffe,2023-05-03 23:18:07.556497402,Printer788 is not working properly,Hardware,1 - Critical
Network,Closed,2023-04-24 02:25:13.899200115,2023-04-18 22:20:00,Fred Luddy,INC0000000124,system,India,Howard Johnson,Bud Richman,2023-04-24 02:25:13.899200115,Network outage in India location,Network,1 - Critical
Database,Resolved,2023-04-26 00:28:50.913657583,2023-04-19 07:07:00,Fred Luddy,INC0000000125,employee,India,Luke Wilson,ITIL User,2023-04-26 00:28:50.913657583,Database Server Outage,Database,2 - High
Hardware,Resolved,2023-04-30 20:00:34.805177671,2023-04-19 14:41:00,Fred Luddy,INC0000000126,employee,Australia,Charlie Whitherspoon,ITIL User,2023-04-30 20:00:34.805177671,Printer556 is not working,Hardware,1 - Critical
Hardware,Resolved,2023-04-26 13:43:55.256743773,2023-04-20 22:34:00,Beth Anglin,INC0000000127,admin,Australia,Howard Johnson,Don Goodliffe,2023-04-26 13:43:55.256743773,Printer454 failed in office,Hardware,1 - Critical
Hardware,Closed,2023-05-05 00:21:12.204265630,2023-04-21 03:46:00,Beth Anglin,INC0000000128,system,United States,Luke Wilson,Don Goodliffe,2023-05-05 00:21:12.204265630,Desktop PC not turning on,Hardware,2 - High
Software,Closed,2023-05-06 00:19:06.845921162,2023-04-21 08:13:00,Charlie Whitherspoon,INC0000000129,employee,Australia,Luke Wilson,David Loo,2023-05-06 00:19:06.845921162,Software license renewal required,Software,4 - Low
Hardware,Closed,2023-04-29 07:22:13.691497066,2023-04-21 17:22:00,Luke Wilson,INC0000000130,system,UK,Charlie Whitherspoon,David Loo,2023-04-29 07:22:13.691497066,Issue with UK server hardware,Hardware,2 - High
Hardware,Closed,2023-04-26 07:15:31.647958414,2023-04-22 10:55:00,Howard Johnson,INC0000000131,system,Australia,Luke Wilson,David Loo,2023-04-26 07:15:31.647958414,Issue with Printer546 in Australia,Hardware,2 - High
Hardware,Closed,2023-05-10 03:20:31.007719853,2023-04-23 21:20:00,Howard Johnson,INC0000000132,system,Australia,Fred Luddy,David Loo,2023-05-10 03:20:31.007719853,Printer827 is not working properly in Australia,Hardware,2 - High
Hardware,Resolved,2023-05-10 23:55:09.253391223,2023-04-27 03:25:00,Howard Johnson,INC0000000133,system,UK,Charlie Whitherspoon,Don Goodliffe,2023-05-10 23:55:09.253391223,Faulty keyboard on workstation,Hardware,2 - High
Network,Closed,2023-05-05 01:59:48.858836394,2023-04-27 10:45:00,Luke Wilson,INC0000000134,admin,UK,Charlie Whitherspoon,ITIL User,2023-05-05 01:59:48.858836394,Network outage in UK site,Network,1 - Critical
Hardware,Resolved,2023-05-06 08:53:56.696181202,2023-04-28 01:24:00,Luke Wilson,INC0000000135,system,Australia,Howard Johnson,David Loo,2023-05-06 08:53:56.696181202,Printer547 isn't responding,Hardware,2 - High
Hardware,Closed,2023-05-14 08:03:47.192602517,2023-04-30 00:53:00,Charlie Whitherspoon,INC0000000136,admin,India,Howard Johnson,Don Goodliffe,2023-05-14 08:03:47.192602517,Issue with the server hardware,Hardware,1 - Critical
Hardware,Resolved,2023-05-05 19:25:33.306689559,2023-05-02 14:34:00,Beth Anglin,INC0000000137,employee,Australia,Luke Wilson,David Loo,2023-05-05 19:25:33.306689559,Printer546 is broken in Australia,Hardware,2 - High
Hardware,Resolved,2023-05-08 00:19:49.950083121,2023-05-02 15:01:00,Luke Wilson,INC0000000138,admin,Australia,Howard Johnson,Don Goodliffe,2023-05-08 00:19:49.950083121,Printer546 is not working properly,Hardware,2 - High
Hardware,Closed,2023-05-15 10:38:15.815796741,2023-05-03 04:24:00,Charlie Whitherspoon,INC0000000139,admin,Australia,Beth Anglin,Don Goodliffe,2023-05-15 10:38:15.815796741,Printer472 in Australia is not responding,Hardware,1 - Critical
Hardware,Closed,2023-05-04 21:57:00.000000000,2023-05-03 21:57:00,Beth Anglin,INC0000000140,admin,UK,Howard Johnson,David Loo,2023-05-04 21:57:00.000000000,UK Desktop PC with ID: Desktop123 has stopped working,Hardware,2 - High
Software,Closed,2023-05-14 06:26:59.910015516,2023-05-04 13:17:00,Luke Wilson,INC0000000141,system,India,Charlie Whitherspoon,Bud Richman,2023-05-14 06:26:59.910015516,Unable to install new software,Software,2 - High
Hardware,Resolved,2023-05-12 02:21:34.844909705,2023-05-05 07:09:00,Beth Anglin,INC0000000142,employee,Australia,Beth Anglin,David Loo,2023-05-12 02:21:34.844909705,Issue with Printer546 in Australia,Hardware,2 - High
Hardware,Closed,2023-05-19 09:53:34.982040620,2023-05-05 20:05:00,Charlie Whitherspoon,INC0000000143,admin,India,Beth Anglin,David Loo,2023-05-19 09:53:34.982040620,Server failure - server123,Hardware,1 - Critical
Database,Closed,2023-05-10 22:35:58.881919516,2023-05-05 20:26:00,Fred Luddy,INC0000000144,admin,United States,Charlie Whitherspoon,David Loo,2023-05-10 22:35:58.881919516,Unable to access the database,Database,2 - High
Inquiry / Help,Closed,2023-05-06 22:24:00.000000000,2023-05-05 22:24:00,Charlie Whitherspoon,INC0000000145,system,Canada,Charlie Whitherspoon,Don Goodliffe,2023-05-06 22:24:00.000000000,Inquiry about help on local systems,Service Desk,3 - Moderate
Hardware,Resolved,2023-05-13 14:49:23.379483573,2023-05-07 09:01:00,Fred Luddy,INC0000000146,employee,Australia,Luke Wilson,ITIL User,2023-05-13 14:49:23.379483573,Printer546 issue in Australia,Hardware,2 - High
Hardware,Closed,2023-05-13 13:14:46.388208661,2023-05-07 11:12:00,Howard Johnson,INC0000000147,system,Australia,Luke Wilson,Bud Richman,2023-05-13 13:14:46.388208661,Issue with Printer546 in Australia,Hardware,1 - Critical
Hardware,Resolved,2023-05-14 12:40:40.813937606,2023-05-07 12:05:00,Beth Anglin,INC0000000148,system,Canada,Howard Johnson,ITIL User,2023-05-14 12:40:40.813937606,Issue with Dell521 Desktop PC malfunctioning,Hardware,2 - High
Hardware,Closed,2023-05-24 17:45:04.375124775,2023-05-12 06:51:00,Charlie Whitherspoon,INC0000000149,system,Australia,Luke Wilson,ITIL User,2023-05-24 17:45:04.375124775,Issue with Printer546 in Australia,Hardware,2 - High
Hardware,Closed,2023-05-19 04:22:50.443252112,2023-05-12 11:38:00,Beth Anglin,INC0000000150,admin,Australia,Beth Anglin,David Loo,2023-05-19 04:22:50.443252112,Printer546 is not printing,Hardware,1 - Critical
Software,Resolved,2023-05-19 01:48:03.565852983,2023-05-13 02:54:00,Luke Wilson,INC0000000151,employee,India,Howard Johnson,Don Goodliffe,2023-05-19 01:48:03.565852983,Software update failed on the server,Software,3 - Moderate
Hardware,Resolved,2023-05-24 09:29:18.509870284,2023-05-13 10:11:00,Fred Luddy,INC0000000152,admin,Australia,Howard Johnson,Don Goodliffe,2023-05-24 09:29:18.509870284,Issue with Printer546 in Australia,Hardware,3 - Moderate
Hardware,Closed,2023-05-19 07:25:36.115649042,2023-05-14 11:45:00,Fred Luddy,INC0000000153,admin,Australia,Luke Wilson,Don Goodliffe,2023-05-19 07:25:36.115649042,Printer546 has stopped working in Australia,Hardware,1 - Critical
Hardware,Closed,2023-05-18 20:30:00.000000000,2023-05-17 20:30:00,Fred Luddy,INC0000000154,employee,Australia,Howard Johnson,David Loo,2023-05-18 20:30:00.000000000,Printer876 is not printing,Hardware,1 - Critical
Hardware,Resolved,2023-05-27 00:02:45.297437201,2023-05-18 07:29:00,Luke Wilson,INC0000000155,employee,Australia,Fred Luddy,Bud Richman,2023-05-27 00:02:45.297437201,Printer546 malfunction in Australia,Hardware,2 - High
Hardware,Resolved,2023-05-29 16:00:46.480174225,2023-05-18 17:29:00,Fred Luddy,INC0000000156,system,India,Fred Luddy,Don Goodliffe,2023-05-29 16:00:46.480174225,Issue with Dell Inspiron 15,Hardware,2 - High
Database,Closed,2023-06-05 23:47:52.328722644,2023-05-18 22:32:00,Howard Johnson,INC0000000157,employee,India,Fred Luddy,ITIL User,2023-06-05 23:47:52.328722644,SQL error on Production Server,Database,2 - High
Hardware,Resolved,2023-06-03 13:13:53.896117331,2023-05-19 04:05:00,Charlie Whitherspoon,INC0000000158,admin,Australia,Howard Johnson,Bud Richman,2023-06-03 13:13:53.896117331,Printer546 encountered an issue,Hardware,1 - Critical
Hardware,Resolved,2023-05-24 07:52:48.690310999,2023-05-20 06:12:00,Beth Anglin,INC0000000159,system,Australia,Charlie Whitherspoon,David Loo,2023-05-24 07:52:48.690310999,Printer issue with Printer546 in Australia,Hardware,2 - High
Network,Closed,2023-05-31 03:23:19.484544434,2023-05-21 05:49:00,Howard Johnson,INC0000000160,employee,India,Charlie Whitherspoon,ITIL User,2023-05-31 03:23:19.484544434,Network outage in India region,Network,2 - High
Hardware,Closed,2023-05-22 23:24:00.000000000,2023-05-21 23:24:00,Howard Johnson,INC0000000161,system,India,Beth Anglin,ITIL User,2023-05-22 23:24:00.000000000,Server failure - static issue,Hardware,2 - High
Hardware,Resolved,2023-05-31 14:07:51.086048950,2023-05-22 01:22:00,Beth Anglin,INC0000000162,system,Australia,Fred Luddy,Bud Richman,2023-05-31 14:07:51.086048950,Printer546 malfunction in Australia,Hardware,2 - High
Hardware,Closed,2023-06-07 16:18:08.061177566,2023-05-24 02:06:00,Fred Luddy,INC0000000163,admin,United States,Howard Johnson,Bud Richman,2023-06-07 16:18:08.061177566,Issue with processing unit in desktop PC,Hardware,3 - Moderate
Hardware,Closed,2023-05-27 02:04:45.048501853,2023-05-24 03:55:00,Luke Wilson,INC0000000164,employee,Australia,Charlie Whitherspoon,Don Goodliffe,2023-05-27 02:04:45.048501853,Issue with Printer457 in Australia office,Hardware,2 - High
Hardware,Resolved,2023-05-30 02:59:49.369927031,2023-05-26 08:08:00,Fred Luddy,INC0000000165,employee,Australia,Luke Wilson,David Loo,2023-05-30 02:59:49.369927031,Printer241 issue in Australia,Hardware,1 - Critical
Hardware,Resolved,2023-05-30 11:21:04.259433606,2023-05-26 13:20:00,Fred Luddy,INC0000000166,system,Australia,Charlie Whitherspoon,David Loo,2023-05-30 11:21:04.259433606,Printer546 failure in Australia,Hardware,1 - Critical
Hardware,Resolved,2023-05-28 08:38:00.000000000,2023-05-27 08:38:00,Charlie Whitherspoon,INC0000000167,admin,India,Luke Wilson,David Loo,2023-05-28 08:38:00.000000000,Router problem with RTR546 in India,Hardware,2 - High
Hardware,Resolved,2023-06-01 13:53:33.745863862,2023-05-27 21:00:00,Fred Luddy,INC0000000168,system,Australia,Charlie Whitherspoon,ITIL User,2023-06-01 13:53:33.745863862,Printer error on Printer643,Hardware,2 - High
Network,Resolved,2023-05-29 13:25:00.000000000,2023-05-28 13:25:00,Luke Wilson,INC0000000169,system,India,Howard Johnson,Don Goodliffe,2023-05-29 13:25:00.000000000,Network outage in Mumbai region,Network,1 - Critical
Software,Resolved,2023-06-07 06:19:03.182476115,2023-05-29 04:20:00,Beth Anglin,INC0000000170,admin,Canada,Beth Anglin,ITIL User,2023-06-07 06:19:03.182476115,Unable to install new software update,Software,2 - High
Software,Resolved,2023-06-07 15:04:30.359478777,2023-05-30 09:43:00,Luke Wilson,INC0000000171,system,Australia,Fred Luddy,David Loo,2023-06-07 15:04:30.359478777,Software update required,Software,2 - High
Database,Resolved,2023-06-04 09:17:41.184530679,2023-05-30 09:56:00,Luke Wilson,INC0000000172,admin,Canada,Howard Johnson,Don Goodliffe,2023-06-04 09:17:41.184530679,Issue with performance of database DB202,Database,2 - High
Hardware,Closed,2023-06-02 00:47:00.000000000,2023-06-01 00:47:00,Charlie Whitherspoon,INC0000000173,employee,Australia,Charlie Whitherspoon,Bud Richman,2023-06-02 00:47:00.000000000,Printer546 is malfunctioning in Australia,Hardware,2 - High
Hardware,Closed,2023-06-13 22:57:17.038108358,2023-06-01 13:13:00,Luke Wilson,INC0000000174,system,Canada,Charlie Whitherspoon,ITIL User,2023-06-13 22:57:17.038108358,Failed Hard Disk on Workstation122,Hardware,2 - High
Hardware,Resolved,2023-06-11 09:48:35.368342810,2023-06-02 12:28:00,Luke Wilson,INC0000000175,admin,Australia,Beth Anglin,Bud Richman,2023-06-11 09:48:35.368342810,Printer fail at printer547,Hardware,2 - High
Hardware,Resolved,2023-06-11 20:25:35.094482408,2023-06-02 22:47:00,Howard Johnson,INC0000000176,admin,UK,Charlie Whitherspoon,ITIL User,2023-06-11 20:25:35.094482408,"Laptop malfunctioning, requires immediate attention",Hardware,2 - High
Hardware,Closed,2023-06-17 06:06:14.854314828,2023-06-03 10:45:00,Luke Wilson,INC0000000177,system,Canada,Beth Anglin,Bud Richman,2023-06-17 06:06:14.854314828,Hardware malfunction for laptop - Canada location,Hardware,2 - High
Hardware,Resolved,2023-06-06 12:59:19.008350345,2023-06-03 12:39:00,Luke Wilson,INC0000000178,employee,Canada,Fred Luddy,ITIL User,2023-06-06 12:59:19.008350345,Issue with the server hardware,Hardware,2 - High
Software,Closed,2023-06-05 15:09:00.000000000,2023-06-04 15:09:00,Howard Johnson,INC0000000179,system,Canada,Howard Johnson,Don Goodliffe,2023-06-05 15:09:00.000000000,An application is consistently crashing,Software,2 - High
Hardware,Resolved,2023-06-09 23:10:07.618999909,2023-06-04 21:23:00,Howard Johnson,INC0000000180,employee,Australia,Charlie Whitherspoon,David Loo,2023-06-09 23:10:07.618999909,Printer546 is not working properly,Hardware,2 - High
Hardware,Closed,2023-06-06 08:20:00.000000000,2023-06-05 08:20:00,Luke Wilson,INC0000000181,admin,Australia,Charlie Whitherspoon,Don Goodliffe,2023-06-06 08:20:00.000000000,Printer546 is not working,Hardware,2 - High
Hardware,Closed,2023-06-19 06:59:02.120925069,2023-06-06 09:03:00,Howard Johnson,INC0000000182,employee,India,Fred Luddy,David Loo,2023-06-19 06:59:02.120925069,Server malfunction,Hardware,2 - High
Hardware,Resolved,2023-06-07 21:23:00.000000000,2023-06-06 21:23:00,Luke Wilson,INC0000000183,employee,Australia,Beth Anglin,Don Goodliffe,2023-06-07 21:23:00.000000000,Printer567 is not working in Brisbane office,Hardware,2 - High
Hardware,Closed,2023-06-30 13:34:11.629362629,2023-06-07 02:47:00,Howard Johnson,INC0000000184,system,Australia,Fred Luddy,David Loo,2023-06-30 13:34:11.629362629,Printer546 is not working in Australia,Hardware,2 - High
Hardware,Closed,2023-06-14 11:45:24.784548040,2023-06-07 15:24:00,Charlie Whitherspoon,INC0000000185,employee,United States,Howard Johnson,David Loo,2023-06-14 11:45:24.784548040,Monitor display not working,Hardware,2 - High
Hardware,Resolved,2023-06-08 17:00:00.000000000,2023-06-07 17:00:00,Beth Anglin,INC0000000186,system,Australia,Charlie Whitherspoon,David Loo,2023-06-08 17:00:00.000000000,Printer546 - Printer not working,Hardware,3 - Moderate
Hardware,Closed,2023-06-20 19:52:27.802682144,2023-06-08 18:44:00,Charlie Whitherspoon,INC0000000187,employee,Australia,Beth Anglin,David Loo,2023-06-20 19:52:27.802682144,Printer123 is not working properly in Australia location,Hardware,1 - Critical
Hardware,Closed,2023-06-13 20:13:50.263024628,2023-06-08 22:05:00,Howard Johnson,INC0000000188,employee,Australia,Luke Wilson,Don Goodliffe,2023-06-13 20:13:50.263024628,Printer546 issue in Australia,Hardware,2 - High
Hardware,Resolved,2023-06-24 09:17:21.801903137,2023-06-09 08:53:00,Luke Wilson,INC0000000189,system,Australia,Luke Wilson,ITIL User,2023-06-24 09:17:21.801903137,Printer error in Printer546,Hardware,2 - High
Hardware,Closed,2023-06-15 22:13:18.416949743,2023-06-10 17:52:00,Beth Anglin,INC0000000190,admin,Australia,Luke Wilson,ITIL User,2023-06-15 22:13:18.416949743,Printer error: Paper jam on Printer546 in Australia,Hardware,2 - High
Hardware,Closed,2023-06-12 02:12:20.844915289,2023-06-10 20:44:00,Beth Anglin,INC0000000191,system,Australia,Luke Wilson,Bud Richman,2023-06-12 02:12:20.844915289,Printer546 is not printing in the Melbourne office,Hardware,1 - Critical
Hardware,Resolved,2023-06-18 08:09:47.068608027,2023-06-11 07:00:00,Luke Wilson,INC0000000192,admin,Australia,Luke Wilson,Don Goodliffe,2023-06-18 08:09:47.068608027,Issue with Printer738 in Australia,Hardware,2 - High
Hardware,Closed,2023-06-25 12:04:04.032337887,2023-06-14 04:06:00,Luke Wilson,INC0000000193,system,Australia,Charlie Whitherspoon,Bud Richman,2023-06-25 12:04:04.032337887,Printer546 is malfunctioning,Hardware,2 - High
Inquiry / Help,Closed,2023-06-29 12:44:20.753397452,2023-06-15 07:56:00,Luke Wilson,INC0000000194,employee,United States,Beth Anglin,David Loo,2023-06-29 12:44:20.753397452,Need help with application usage,Service Desk,3 - Moderate
Network,Closed,2023-06-29 19:11:43.933822843,2023-06-19 10:41:00,Howard Johnson,INC0000000195,admin,Australia,Howard Johnson,David Loo,2023-06-29 19:11:43.933822843,Connection issues with network in Australia,Network,2 - High
Software,Closed,2023-06-28 14:05:28.538482547,2023-06-19 11:21:00,Charlie Whitherspoon,INC0000000196,admin,United States,Fred Luddy,ITIL User,2023-06-28 14:05:28.538482547,Software update failure,Software,2 - High
Hardware,Closed,2023-06-25 09:59:55.161658018,2023-06-19 12:22:00,Howard Johnson,INC0000000197,admin,Canada,Beth Anglin,David Loo,2023-06-25 09:59:55.161658018,Server hardware malfunction on SCSI Canada1024,Hardware,2 - High
Network,Closed,2023-06-22 02:33:39.410009617,2023-06-19 13:59:00,Fred Luddy,INC0000000198,employee,Canada,Luke Wilson,Don Goodliffe,2023-06-22 02:33:39.410009617,Slow network connection in office,Network,2 - High
Hardware,Closed,2023-07-01 10:42:22.374438866,2023-06-21 19:04:00,Beth Anglin,INC0000000199,employee,India,Beth Anglin,David Loo,2023-07-01 10:42:22.374438866,Issues detected with server123,Hardware,3 - Moderate
Hardware,Resolved,2023-07-06 13:13:24.843387226,2023-06-22 17:34:00,Beth Anglin,INC0000000200,employee,UK,Fred Luddy,Bud Richman,2023-07-06 13:13:24.843387226,Issue with the sound driver on workstation PC8,Hardware,2 - High
Hardware,Closed,2023-07-06 13:08:33.074641515,2023-06-23 12:47:00,Luke Wilson,INC0000000201,system,India,Beth Anglin,Bud Richman,2023-07-06 13:08:33.074641515,Problem with Cooling Fan,Hardware,2 - High
Hardware,Resolved,2023-06-29 22:17:23.746230748,2023-06-23 20:11:00,Howard Johnson,INC0000000202,system,Canada,Fred Luddy,ITIL User,2023-06-29 22:17:23.746230748,Hard drive failure on office desktop,Hardware,2 - High
Database,Resolved,2023-07-06 00:00:59.012006127,2023-06-25 04:50:00,Charlie Whitherspoon,INC0000000203,employee,UK,Charlie Whitherspoon,David Loo,2023-07-06 00:00:59.012006127,Unable to connect to SQL Database,Database,2 - High
Database,Closed,2023-07-01 09:46:55.866723604,2023-06-25 10:31:00,Howard Johnson,INC0000000204,admin,Australia,Luke Wilson,David Loo,2023-07-01 09:46:55.866723604,Database server error 550,Database,2 - High
Hardware,Resolved,2023-07-06 12:23:47.840976362,2023-06-25 22:45:00,Howard Johnson,INC0000000205,system,Australia,Howard Johnson,Don Goodliffe,2023-07-06 12:23:47.840976362,Printer348 is not responding,Hardware,2 - High
Hardware,Closed,2023-06-30 06:01:54.007909417,2023-06-26 06:56:00,Fred Luddy,INC0000000206,employee,Australia,Charlie Whitherspoon,David Loo,2023-06-30 06:01:54.007909417,Printer546 is not responding,Hardware,2 - High
Hardware,Closed,2023-07-09 14:14:29.904659016,2023-06-26 08:23:00,Charlie Whitherspoon,INC0000000207,admin,United States,Fred Luddy,ITIL User,2023-07-09 14:14:29.904659016,PC1023 is not starting,Hardware,1 - Critical
Hardware,Closed,2023-07-06 07:29:00.832219981,2023-06-26 17:38:00,Howard Johnson,INC0000000208,admin,Australia,Fred Luddy,Bud Richman,2023-07-06 07:29:00.832219981,Printer error at Printer848,Hardware,1 - Critical
Hardware,Resolved,2023-07-09 20:00:30.308403141,2023-06-27 10:20:00,Howard Johnson,INC0000000209,system,Australia,Luke Wilson,David Loo,2023-07-09 20:00:30.308403141,Printer546 in Sydney office is not working,Hardware,2 - High
Hardware,Resolved,2023-07-06 03:31:13.838619495,2023-06-27 21:41:00,Fred Luddy,INC0000000210,admin,UK,Howard Johnson,Don Goodliffe,2023-07-06 03:31:13.838619495,Issue with server SR654,Hardware,2 - High
Hardware,Resolved,2023-07-12 18:45:07.705046349,2023-06-28 11:02:00,Fred Luddy,INC0000000211,admin,Australia,Fred Luddy,David Loo,2023-07-12 18:45:07.705046349,Printer546 issue in Sydney office,Hardware,2 - High
Hardware,Closed,2023-07-06 00:45:36.251942561,2023-06-28 14:35:00,Beth Anglin,INC0000000212,system,India,Howard Johnson,David Loo,2023-07-06 00:45:36.251942561,Terminal343 is not working,Hardware,2 - High
Hardware,Closed,2023-06-30 23:29:55.851304419,2023-06-29 19:01:00,Charlie Whitherspoon,INC0000000213,system,Australia,Luke Wilson,David Loo,2023-06-30 23:29:55.851304419,Printer error at Printer679,Hardware,3 - Moderate
Network,Closed,2023-07-10 23:00:15.709745176,2023-07-02 07:35:00,Beth Anglin,INC0000000214,system,India,Luke Wilson,Bud Richman,2023-07-10 23:00:15.709745176,Unable to establish VPN connection,Network,2 - High
Hardware,Closed,2023-07-14 08:23:51.080019979,2023-07-03 06:45:00,Charlie Whitherspoon,INC0000000215,system,Australia,Charlie Whitherspoon,ITIL User,2023-07-14 08:23:51.080019979,Printer546 is not working!,Hardware,1 - Critical
Inquiry / Help,Closed,2023-07-15 22:29:05.785588895,2023-07-04 04:13:00,Luke Wilson,INC0000000216,system,UK,Charlie Whitherspoon,David Loo,2023-07-15 22:29:05.785588895,Inquiry regarding help with account access,Service Desk,3 - Moderate
Hardware,Resolved,2023-07-14 06:35:05.209399792,2023-07-04 13:46:00,Fred Luddy,INC0000000217,admin,Australia,Luke Wilson,ITIL User,2023-07-14 06:35:05.209399792,Printer fail - PrinterID::Printer546,Hardware,2 - High
Inquiry / Help,Resolved,2023-07-21 18:09:17.803746956,2023-07-07 04:36:00,Charlie Whitherspoon,INC0000000218,employee,India,Beth Anglin,Bud Richman,2023-07-21 18:09:17.803746956,Need assistance with software installation,Service Desk,3 - Moderate
Inquiry / Help,Resolved,2023-07-08 04:48:00.000000000,2023-07-07 04:48:00,Beth Anglin,INC0000000219,system,UK,Howard Johnson,David Loo,2023-07-08 04:48:00.000000000,Assistance needed with UK enquiry system,Service Desk,3 - Moderate
Network,Closed,2023-07-11 23:34:29.390060680,2023-07-07 05:58:00,Howard Johnson,INC0000000220,employee,UK,Howard Johnson,David Loo,2023-07-11 23:34:29.390060680,Internet connectivity issue in UK office,Network,2 - High
Hardware,Resolved,2023-07-13 16:19:33.649785697,2023-07-07 20:52:00,Charlie Whitherspoon,INC0000000221,employee,Canada,Beth Anglin,Bud Richman,2023-07-13 16:19:33.649785697,Server malfunction in Canada,Hardware,3 - Moderate
Hardware,Closed,2023-07-23 19:05:17.533035942,2023-07-08 00:31:00,Luke Wilson,INC0000000222,employee,Australia,Charlie Whitherspoon,ITIL User,2023-07-23 19:05:17.533035942,Printer malfunction detected on Printer546,Hardware,2 - High
Hardware,Resolved,2023-07-25 03:32:18.462401146,2023-07-09 03:39:00,Beth Anglin,INC0000000223,system,India,Howard Johnson,Bud Richman,2023-07-25 03:32:18.462401146,Computer not starting,Hardware,2 - High
Hardware,Closed,2023-07-26 17:51:52.767336231,2023-07-11 16:02:00,Luke Wilson,INC0000000224,admin,India,Beth Anglin,David Loo,2023-07-26 17:51:52.767336231,Laptop malfunction with ID233,Hardware,2 - High
Hardware,Resolved,2023-07-20 02:37:10.813279462,2023-07-11 18:42:00,Howard Johnson,INC0000000225,employee,UK,Howard Johnson,Bud Richman,2023-07-20 02:37:10.813279462,Phone681 is not responding,Hardware,2 - High
Hardware,Resolved,2023-07-27 12:30:15.368139102,2023-07-12 00:27:00,Charlie Whitherspoon,INC0000000226,admin,Australia,Howard Johnson,Bud Richman,2023-07-27 12:30:15.368139102,Printer422 is malfunctioning in Australia,Hardware,2 - High
Software,Closed,2023-07-19 14:54:49.403388921,2023-07-12 03:22:00,Luke Wilson,INC0000000227,employee,Australia,Beth Anglin,Don Goodliffe,2023-07-19 14:54:49.403388921,Error message on Software ABC,Software,3 - Moderate
Hardware,Resolved,2023-07-14 21:15:31.584390518,2023-07-12 05:50:00,Fred Luddy,INC0000000228,system,Australia,Fred Luddy,Don Goodliffe,2023-07-14 21:15:31.584390518,Printer546 is not working,Hardware,1 - Critical
Software,Resolved,2023-07-28 21:34:00.908307924,2023-07-14 21:27:00,Howard Johnson,INC0000000229,system,UK,Beth Anglin,ITIL User,2023-07-28 21:34:00.908307924,Slowness in running application XYZ,Software,3 - Moderate
Hardware,Resolved,2023-07-20 09:47:52.908236069,2023-07-15 12:17:00,Fred Luddy,INC0000000230,admin,Australia,Beth Anglin,ITIL User,2023-07-20 09:47:52.908236069,Issue with Printer546 in Australia,Hardware,1 - Critical
Hardware,Resolved,2023-07-25 03:53:49.978687958,2023-07-15 14:09:00,Fred Luddy,INC0000000231,admin,Australia,Howard Johnson,Bud Richman,2023-07-25 03:53:49.978687958,Printer546 is not working properly.,Hardware,2 - High
Hardware,Resolved,2023-07-22 05:03:13.822074451,2023-07-16 10:58:00,Beth Anglin,INC0000000232,employee,Australia,Beth Anglin,Don Goodliffe,2023-07-22 05:03:13.822074451,Printer783 is not printing,Hardware,2 - High
Hardware,Closed,2023-07-26 01:50:52.068385147,2023-07-19 12:03:00,Luke Wilson,INC0000000233,employee,Australia,Charlie Whitherspoon,Bud Richman,2023-07-26 01:50:52.068385147,Printer786 is not working,Hardware,1 - Critical
Inquiry / Help,Closed,2023-08-01 00:45:22.754376187,2023-07-20 12:12:00,Fred Luddy,INC0000000234,system,United States,Luke Wilson,Bud Richman,2023-08-01 00:45:22.754376187,Inquiry about missing functionalities,Service Desk,3 - Moderate
Hardware,Resolved,2023-07-23 16:38:46.547163481,2023-07-21 07:12:00,Howard Johnson,INC0000000235,admin,UK,Charlie Whitherspoon,Bud Richman,2023-07-23 16:38:46.547163481,Problem with office PC,Hardware,3 - Moderate
Hardware,Resolved,2023-07-25 23:13:55.734880101,2023-07-22 04:13:00,Charlie Whitherspoon,INC0000000236,employee,Australia,Beth Anglin,Don Goodliffe,2023-07-25 23:13:55.734880101,Printer546 - Not Printing is causing issues,Hardware,2 - High
Inquiry / Help,Resolved,2023-07-30 12:07:08.997531852,2023-07-22 16:29:00,Fred Luddy,INC0000000237,admin,United States,Charlie Whitherspoon,Bud Richman,2023-07-30 12:07:08.997531852,Need assistance with software installation,Service Desk,3 - Moderate
