department,type,state,processed_date,user,amount,category,source_id,opened_at,number,short_description,ci
IT,,Declined,,Forest Orea,1075,Services,SOQ-34891140,2023-11-03 09:31:00,EXP00000159,Service-based cloud storage infrastructure,Amazon Web Services
Sales,,Processed,2023-12-31 21:06:00,Luella Pliner,784,Services,FEB-81738439,2023-12-26 21:06:00,EXP00000160,Automatically generated service line for creation of asset,Web Hosting Server
Sales,,Processed,2023-02-14 11:40:00,Essie Vaill,1132,Services,AEZ-07162756,2023-02-08 11:40:00,EXP00000161,Automatic service configuration for internal applications,Database Server DS-1200
Customer Support,,Processed,2024-01-13 22:21:00,Sue Haakinson,5308,Assets,LDB-81624536,2023-12-23 22:21:00,EXP00000162,Auto-generated data for installed assets,Dell Latitude 7490 Laptop
Sales,,Processed,2023-05-20 12:14:00,Rob Woodbyrne,113,Services,PQX-98207777,2023-05-18 12:14:00,EXP00000163,Automated service asset creation,Cloud Service Provider 1
Customer Support,,Processed,2024-01-27 09:54:00,Ofelia Sheffler,3581,Assets,IUN-02832806,2024-01-14 09:54:00,EXP00000164,New inventory arrival - Dell Laptop,Dell Latitude 7410
Customer Support,,Submitted,,Janice Twiet,4357,Miscellaneous,,2023-10-28 13:22:00,EXP00000165,Miscellaneous hardware asset added to inventory,Miscellaneous Device - 5734DX
Sales,,Processed,2023-03-10 09:10:00,Howard Johnson,1403,Services,BOF-39232737,2023-03-05 09:10:00,EXP00000166,Provision of new cloud-based service,Amazon Web Service EC2
Sales,,Declined,,Cristina Sharper,4083,Travel,,2023-04-29 06:46:00,EXP00000167,Travel category related equipment registered,Corporate Travel Laptop
Customer Support,,Processed,2023-06-12 02:48:00,Lynda Caraway,4644,Assets,QAL-58101832,2023-05-26 02:48:00,EXP00000168,Automatically generated entry for new asset,Dell Latitude 7410
Customer Support,,Processed,2024-02-06 07:07:00,Zackary Mockus,1375,Services,LKD-84866529,2024-02-01 07:07:00,EXP00000169,Automated System Creation of Service Asset,Cloud Service Asset
Customer Support,,Declined,,Sal Pindell,102,Services,RXZ-01012286,2023-07-24 21:37:00,EXP00000170,Automated provisioning of ServiceNow cloud service,Service-Cloud-Enterprise-Edition
Sales,,Pending,,Bertie Luby,7097,Assets,HDZ-52725375,2023-02-11 20:12:00,EXP00000171,Server machine added to hardware assets,Dell PowerEdge R440
Customer Support,,Processed,2023-07-12 21:37:00,Petra Mcnichol,6194,Assets,PDL-29781101,2023-06-18 21:37:00,EXP00000172,Automated asset registration for new equipment,Dell Latitude E7470
Customer Support,,Processed,2023-04-29 05:15:00,Viola Mcsorley,2710,Miscellaneous,,2023-04-19 05:15:00,EXP00000173,Miscellaneous hardware asset generated,Random Access Memory (RAM) Component
Customer Support,,Processed,2024-05-06 10:34:00,Valerie Pou,5878,Assets,YQN-67562405,2024-04-12 10:34:00,EXP00000174,Automated record for newly acquired asset,Dell Latitude 7420
Sales,,Processed,2023-06-17 06:36:00,Savannah Loffier,1623,Services,PVT-22480534,2023-06-10 06:36:00,EXP00000175,Asset created for provisioned service,Cloud Database Service
Sales,,Processed,2023-04-25 15:05:00,Melody Saddat,149,Miscellaneous,,2023-04-23 15:05:00,EXP00000176,Automatically generated asset for creation of miscellaneous item,Dell Optiplex 3070
Sales,,Processed,2023-07-06 07:01:00,Lacy Hyten,994,Services,SYV-33269124,2023-07-02 07:01:00,EXP00000177,Automatically generated service line for creation of asset,Cloud Hosting Service
Customer Support,,Processed,2023-07-12 00:22:00,Marcie Shulz,4536,Assets,IIR-72636048,2023-06-25 00:22:00,EXP00000178,Creation of new asset for IT department,Dell Latitude 7410 Laptop
IT,,Declined,,Helene Iberg,4566,Assets,DBB-70476144,2023-07-04 09:31:00,EXP00000179,Dell Latitude laptop added to IT assets,Dell Latitude E5470
Customer Support,,Submitted,,Felipe Mahone,1953,Services,LPJ-18107115,2023-11-05 19:08:00,EXP00000180,Automatically generated expense line for creation of service asset,Cloud Storage Service
Customer Support,,Processed,2023-07-09 16:08:00,Mabel Weeden,4878,Travel,,2023-06-20 16:08:00,EXP00000181,Traveling kit for field work,Dell Laptop Travel Edition
Finance,,Processed,2023-09-03 03:18:00,Germaine Bruski,4632,Miscellaneous,,2023-08-15 03:18:00,EXP00000182,Purchase of Miscellaneous Asset for Office Use,Projector Panasonic PT-VZ580
Finance,,Processed,2023-06-22 05:41:00,Fausto Marks,5656,Assets,JXT-11519863,2023-05-31 05:41:00,EXP00000183,Addition of asset HP Pavilion,HP Pavilion 17
Sales,,Processed,2024-02-26 10:41:00,Bertie Luby,731,Services,WCK-24610572,2024-02-21 10:41:00,EXP00000184,Provisioning of new cloud service,AWS S3 Bucket Service
Finance,,Processed,2024-05-14 18:13:00,Germaine Bruski,5322,Assets,ZWA-87301095,2024-04-24 18:13:00,EXP00000185,Hardware asset registration for new server,Dell PowerEdge R740xd
IT,,Processed,2023-03-28 01:36:00,Virgil Chinni,3289,Travel,,2023-03-14 01:36:00,EXP00000186,Travel-related hardware asset registration,Portable GPS Device
Customer Support,,Processed,2023-05-30 02:42:00,Rachel Larrison,7277,Assets,EEA-06442461,2023-04-30 02:42:00,EXP00000187,Hardware asset - Dell XPS 15 laptop,Dell_XPS_15_Asset_12345
Customer Support,,Processed,2023-03-02 01:56:00,Janice Twiet,1788,Services,YIQ-93746910,2023-02-24 01:56:00,EXP00000188,Configuration item for Services,Cloud Data Service
Customer Support,,Processed,2023-07-29 03:52:00,Darrel Tork,6807,Assets,PVX-97837259,2023-07-03 03:52:00,EXP00000189,Automated asset registration for new hardware purchase,Dell Latitude 7410
HR,,Processed,2024-02-13 16:32:00,Rosalie Krigger,1218,Services,LZI-84659823,2024-02-08 16:32:00,EXP00000190,Virtual service hosted in cloud,AWS Server
Customer Support,,Processed,2023-09-11 06:09:00,Rachel Larrison,116,Services,YZF-80510601,2023-09-09 06:09:00,EXP00000191,Provision of new cloud service,Amazon Web Services EC2
Development,,Submitted,,Cyril Behen,2509,Miscellaneous,,2023-03-26 04:39:00,EXP00000192,Sample data for Misc category asset,Miscellaneous Item 12
Sales,,Processed,2023-05-25 20:09:00,Leif Bachta,1119,Services,BHH-95801564,2023-05-20 20:09:00,EXP00000193,Installation of Cloud based Service Package,Office365 ProPlus
Customer Support,,Processed,2023-12-17 06:12:00,Viola Mcsorley,7508,Travel,,2023-11-15 06:12:00,EXP00000194,Automatically generated expense line for creation of travel asset,Business Class Airfareticket 
Sales,,Processed,2023-08-28 23:01:00,Melody Saddat,2905,Travel,,2023-08-17 23:01:00,EXP00000195,Automatically generated expense line for creation of travel assets,Business Travel Kit
Customer Support,,Processed,2023-06-06 14:52:00,Helena Suermann,8196,Assets,BQU-65700204,2023-05-06 14:52:00,EXP00000196,Hardware asset registration for new equipment,Dell Latitude E5450
Customer Support,,Processed,2023-08-10 09:37:00,Wilfredo Gidley,6549,Assets,MPW-54954237,2023-07-16 09:37:00,EXP00000197,Automatically recorded asset for Desktop PC,Dell OptiPlex 3070
Customer Support,,Processed,2024-01-16 17:55:00,Janice Twiet,3896,Assets,EQL-70696171,2024-01-02 17:55:00,EXP00000198,Dell Latitude 7420 laptop added to assets,Dell Latitude 7420
Product Management,,Processed,2023-07-26 16:40:00,Mamie Mcintee,3661,Miscellaneous,,2023-07-12 16:40:00,EXP00000199,Miscellaneous hardware asset added to inventory,Random Access Memory (RAM) Module
Customer Support,,Processed,2023-12-07 20:35:00,Sue Haakinson,6592,Assets,AWV-77860162,2023-11-13 20:35:00,EXP00000200,Dell OptiPlex 7070 Desktop PC acquisition,OptiPlex 7070_Core_i5
Customer Support,,Processed,2024-02-26 14:04:00,Darrel Tork,8286,Assets,XSR-56242586,2024-01-26 14:04:00,EXP00000201,Automatically generated line for addition of new hardware,HP EliteBook 840 G5
Finance,,Processed,2023-05-18 11:42:00,Fausto Marks,5575,Assets,XDJ-90592080,2023-04-27 11:42:00,EXP00000202,Automatically generated asset for Dell Workstation,Dell Precision T1700
Customer Support,,Processed,2024-02-02 05:07:00,Geri Forness,8205,Assets,VYZ-43274450,2023-12-30 05:07:00,EXP00000203,Asset procurement - Dell Inspiron 7501 Laptop,Dell Inspiron 7501
Finance,,Processed,2023-09-29 20:37:00,Germaine Bruski,1971,Services,ETU-57773053,2023-09-21 20:37:00,EXP00000204,Creation of new Services related asset,Cloud Server
Customer Support,,Processed,2023-07-13 06:34:00,Carmel Overfelt,6383,Assets,GHF-39746820,2023-06-19 06:34:00,EXP00000205,Automatically logged asset addition for IT equipment,Dell XPS 13
Customer Support,,Processed,2024-02-26 08:01:00,Nelly Jakuboski,3457,Miscellaneous,,2024-02-11 08:01:00,EXP00000206,Miscellaneous asset creation for reporting,HP Printer 3100
Customer Support,,Processed,2023-05-02 15:05:00,Geri Forness,2802,Assets,AIG-47311291,2023-04-22 15:05:00,EXP00000207,Automated entry for newly added hardware asset,Dell Latitude E7450
Customer Support,,Processed,2024-04-08 18:12:00,Geri Forness,3251,Travel,,2024-03-25 18:12:00,EXP00000208,Automatically generated expense line for creation of travel asset,Company SUV
Customer Support,,Processed,2024-01-12 04:23:00,Petra Mcnichol,4314,Assets,UPM-76710091,2023-12-27 04:23:00,EXP00000209,Asset tagged as high-value hardware,Dell Precision 5540
Customer Support,,Declined,,Marcie Shulz,1683,Services,QMG-90854046,2023-09-27 22:39:00,EXP00000210,Provision of new Cloud Service,Azure Cloud Services
Development,,Processed,2023-06-19 07:28:00,Cyril Behen,242,Services,TGQ-25446006,2023-06-18 07:28:00,EXP00000211,Initiation of Service related asset,Office365 Service Plan
Customer Support,,Processed,2023-05-12 16:39:00,Sal Pindell,8019,Assets,FCI-99882480,2023-04-11 16:39:00,EXP00000212,Addition of new asset into system,HP Elitebook 840
Customer Support,,Pending,,Janice Twiet,4969,Assets,FUB-70893346,2023-11-24 09:59:00,EXP00000213,Automatically generated record for the creation of desktop computer asset,Dell Optiplex 3070
Customer Support,,Processed,2023-12-12 07:46:00,Nelly Jakuboski,1167,Services,WVQ-10281252,2023-12-07 07:46:00,EXP00000214,Allocation of Service related assets,Cloud Services Account
Development,,Processed,2023-06-24 17:24:00,Ramon Amaral,1244,Services,KCL-44362572,2023-06-19 17:24:00,EXP00000215,Installation of new service configuration,Web Server Service
Product Management,,Pending,,Mamie Mcintee,4759,Assets,XUD-44117049,2023-02-13 18:18:00,EXP00000216,Purchase of new hardware asset,Dell Inspiron 15
Sales,,Processed,2024-01-17 13:11:00,Melody Saddat,3033,Assets,DAZ-06640777,2024-01-06 13:11:00,EXP00000217,Hard drive replacement,Dell PowerEdge Server
Sales,,Processed,2023-10-22 11:52:00,Karen Zombo,2538,Miscellaneous,,2023-10-10 11:52:00,EXP00000218,Miscellaneous hardware asset entry,Dell OptiPlex 3070 Micro
Development,,Processed,2023-08-06 16:26:00,Ramon Amaral,2535,Miscellaneous,,2023-07-27 16:26:00,EXP00000219,Automatically generated asset for Miscellaneous category,Dell Optiplex 780
Sales,,Processed,2024-03-05 22:49:00,Luella Pliner,6327,Assets,XGH-76672243,2024-02-10 22:49:00,EXP00000220,Procured asset entry for company infrastructure,Dell Latitude 7420
Customer Support,,Submitted,,Marcie Shulz,7766,Assets,WDN-00050178,2023-04-04 01:33:00,EXP00000221,Automatically logged asset creation,Dell Latitude E7450
Customer Support,,Processed,2023-12-25 01:47:00,Helena Suermann,388,Services,SSR-07171265,2023-12-24 01:47:00,EXP00000222,Service Purchase for Asset Creation,Cloud Infrastructure Service
Customer Support,,Declined,,Carmel Overfelt,2833,Assets,QVR-63591488,2023-05-29 16:45:00,EXP00000223,Server Asset Acquisition,Dell PowerEdge R740
Sales,,Processed,2024-02-11 01:30:00,Essie Vaill,6122,Assets,GAF-92555646,2024-01-19 01:30:00,EXP00000224,Procurement of new office assets,Dell OptiPlex 3070 Micro
Sales,,Processed,2024-03-20 09:02:00,Raphael Bickel,595,Miscellaneous,,2024-03-17 09:02:00,EXP00000225,Miscellaneous category hardware addition,Dell Precision 3640 Tower Workstation
IT,,Processed,2023-08-12 07:12:00,Helene Iberg,4943,Assets,KAA-32692912,2023-07-22 07:12:00,EXP00000226,New Addition to Hardware Assets,Dell Latitude 5400
IT,,Processed,2023-04-01 22:58:00,Helene Iberg,3961,Miscellaneous,,2023-03-16 22:58:00,EXP00000227,Miscellaneous hardware asset acquired,Comprehensive IT Tools Kit
Sales,,Pending,,Bertie Luby,1684,Services,OMN-26412661,2023-11-22 18:28:00,EXP00000228,Services related asset creation,Cloud Service Platform 1
IT,,Processed,2023-12-14 19:39:00,Helene Iberg,2353,Miscellaneous,,2023-12-05 19:39:00,EXP00000229,Miscellaneous hardware component,Graphics Card GTX 1080Ti
Customer Support,,Processed,2023-09-21 08:29:00,Marianne Earman,365,Miscellaneous,,2023-09-17 08:29:00,EXP00000230,Expensed acquisition of new miscellaneous hardware,Dell Workstation OptiPlex 7090
Sales,,Declined,,Lacy Hyten,2451,Travel,,2024-01-28 01:53:00,EXP00000231,Booking expense for travel equipment,Business Class Flight Ticket
Customer Support,,Submitted,,Helga Windle,2542,Assets,RAM-27712788,2023-11-17 07:09:00,EXP00000232,Asset tagging for newly acquired laptop,Dell Latitude 7410
IT,,Processed,2023-11-26 08:23:00,Forest Orea,5634,Travel,,2023-11-05 08:23:00,EXP00000233,Travel related hardware expense,Portable GPS Navigator
Customer Support,,Submitted,,Helga Windle,2125,Assets,AZV-06813318,2023-08-14 07:54:00,EXP00000234,Creation of new asset for department,Dell Latitude 7480
Sales,,Pending,,Howard Johnson,2794,Travel,,2023-07-09 03:08:00,EXP00000235,Luggage Tracker,TravelPro Elite GPS
Development,,Processed,2024-02-10 12:18:00,Ramon Amaral,1328,Miscellaneous,,2024-02-05 12:18:00,EXP00000236,Miscellaneous Asset Added,Miscellaneous Item ID 6789
Customer Support,,Declined,,Shelley Groden,181,Services,HHS-28383998,2023-09-21 14:25:00,EXP00000237,Automatically generated service line for creation of asset,Virtual Private Server(VPS)
Sales,,Processed,2023-03-24 10:23:00,Leif Bachta,1876,Services,NUW-97961552,2023-03-17 10:23:00,EXP00000238,Service-related hardware asset,Server Rack 20U
IT,,Pending,,Forest Orea,1030,Services,BEL-47941685,2023-05-26 19:43:00,EXP00000239,Newly provisioned service for enterprise management,Enterprise Service Bus
Customer Support,,Processed,2024-04-05 08:48:00,Nelly Jakuboski,218,Services,TOC-27355130,2024-04-03 08:48:00,EXP00000240,Newly added service for IT support,Enterprise Cloud Service
Customer Support,,Declined,,Danny Dales,3363,Miscellaneous,,2023-12-28 19:13:00,EXP00000241,Acquisition of new hardware asset,Miscellaneous Office Supplies
Finance,,Processed,2023-04-26 14:13:00,Fausto Marks,2739,Assets,LPJ-50456714,2023-04-13 14:13:00,EXP00000242,Newly procured asset for the organization,Dell Latitude 5401
Development,,Processed,2023-09-27 14:31:00,Cyril Behen,1459,Services,ZCQ-34437953,2023-09-20 14:31:00,EXP00000243,Automatically generated expense line for creation of Service utility,Cloud Computing Service
IT,,Declined,,Helene Iberg,5086,Travel,,2023-08-21 13:24:00,EXP00000244,Automatically generated expense line for travel asset,American Airlines Flight AA123
Sales,,Processed,2023-06-24 10:52:00,Leif Bachta,1954,Services,DFJ-09609306,2023-06-15 10:52:00,EXP00000245,Automatically generated Service asset,Cloud Service AWS
HR,,Declined,,Rosalie Krigger,7309,Assets,RYJ-20329594,2023-06-23 13:37:00,EXP00000246,Automatically registered hardware asset in system,Dell Latitude 7490
HR,,Processed,2023-09-07 19:19:00,Rosalie Krigger,1279,Services,QTC-13024058,2023-09-02 19:19:00,EXP00000247,Automatically generated expense line for creation of asset under services,Cisco Cloud Services Router 1000V
Customer Support,,Pending,,Viola Mcsorley,608,Services,ZEO-80517727,2023-10-14 08:21:00,EXP00000248,Creation of Service: Managed Cloud Resources,Cloud Service AWS EC2
Customer Support,,Pending,,Geri Forness,1011,Services,QPM-73379773,2023-11-28 14:14:00,EXP00000249,Automated service configuration expense,Cloud Server Service
Sales,,Processed,2023-12-08 11:27:00,Karen Zombo,2274,Miscellaneous,,2023-11-28 11:27:00,EXP00000250,Asset for office automation equipment,Miscellaneous office projector
Customer Support,,Processed,2023-07-15 06:05:00,Geri Forness,5155,Travel,,2023-06-24 06:05:00,EXP00000251,Expense for travel equipment purchase,Samsonite Travel Suitcase
Finance,,Submitted,,Fausto Marks,7264,Assets,YGE-72475060,2023-10-10 13:44:00,EXP00000252,Automatically generated expense line for acquisition of asset,Dell Latitude 7490
Finance,,Processed,2023-05-06 08:24:00,Fausto Marks,7800,Travel,,2023-04-06 08:24:00,EXP00000253,Travel related equipment asset,Laptop Dell Inspiron 15
Customer Support,,Declined,,Helga Windle,5399,Assets,BJH-53743731,2023-09-10 18:29:00,EXP00000254,HP Printer Procurement for IT Department,HP LaserJet Pro M477fdw
IT,,Processed,2023-05-15 20:54:00,Forest Orea,486,Services,FVX-63260633,2023-05-13 20:54:00,EXP00000255,Services related hardware asset,Cloud Service Rack 12
Customer Support,,Declined,,Mabel Weeden,3772,Travel,,2023-12-06 14:39:00,EXP00000256,Luggage tracking GPS device,Travel Accessory Item 001
Customer Support,,Processed,2023-07-12 09:38:00,Danny Dales,1173,Services,CQT-96210118,2023-07-08 09:38:00,EXP00000257,Automatically generated expense line for creation of service asset,Cloud Service Managed
Sales,,Processed,2024-02-07 19:50:00,Lacy Hyten,455,Services,KBQ-69317298,2024-02-05 19:50:00,EXP00000258,Automatically generated service registration for newly provisioned server,Data Center Proxy Server
Customer Support,,Pending,,Nelly Jakuboski,619,Services,VKS-83234079,2023-05-31 17:35:00,EXP00000259,Cloud service asset configuration,AWS EC2 Instance
Sales,,Processed,2023-11-27 18:56:00,Melody Saddat,984,Services,ZHI-49652449,2023-11-22 18:56:00,EXP00000260,Service related hardware asset entry,Web Server Hardware WS12
Customer Support,,Processed,2023-12-25 15:03:00,Nelly Jakuboski,1599,Services,WIA-11261699,2023-12-18 15:03:00,EXP00000261,Automatically generated service asset CI,Business Service: Cloud Infrastructure
Customer Support,,Processed,2023-03-12 01:48:00,Geri Forness,3529,Travel,,2023-02-27 01:48:00,EXP00000262,Travel-associated asset,Travel Expense System TES12345
Sales,,Processed,2023-06-25 18:22:00,Cristina Sharper,3571,Assets,ZYQ-40361445,2023-06-11 18:22:00,EXP00000263,Provision of new IT asset,Dell Latitude E7470
IT,,Processed,2023-05-07 03:44:00,Helene Iberg,1085,Travel,,2023-05-02 03:44:00,EXP00000264,Travel related asset subscription,International Roaming Data Plan
Customer Support,,Processed,2024-04-04 17:34:00,Misty Ericksen,1920,Travel,,2024-03-27 17:34:00,EXP00000265,Automatically generated asset line for travel equipment,Samsonite Spinner Suitcase
IT,,Pending,,Vernon Engelman,1790,Services,HPP-84331742,2024-02-15 13:33:00,EXP00000266,ServiceNow Server Node-e5 Renewal,Node-e5 Cloud Computing Service
Customer Support,,Processed,2023-04-11 04:40:00,Carmel Overfelt,1748,Services,YHB-69691343,2023-04-03 04:40:00,EXP00000267,Automatically generated expense line for creation of service asset,Cloud Based Web Hosting Service
Sales,,Processed,2023-06-10 22:35:00,Raphael Bickel,8841,Assets,FLQ-76479532,2023-05-09 22:35:00,EXP00000268,Dell Latitude 5490 Laptop asset,Dell Latitude 5490
Customer Support,,Pending,,Marianne Earman,8461,Assets,LXJ-42898808,2023-05-15 02:00:00,EXP00000269,Automated record for new hardware asset acquisition,Dell Latitude 5511
Sales,,Processed,2024-04-15 22:31:00,Cristina Sharper,798,Services,OSS-41334463,2024-04-10 22:31:00,EXP00000270,New service asset registered,Cloud Storage Service
Customer Support,,Processed,2023-04-15 00:50:00,Geri Forness,2156,Assets,ZMY-11716037,2023-04-06 00:50:00,EXP00000271,Lenovo ThinkPad T480 acquired for IT department,Computer Laptop Lenovo ThinkPad T480
Customer Support,,Processed,2024-03-23 13:33:00,Janice Twiet,3006,Miscellaneous,,2024-03-11 13:33:00,EXP00000272,Purchase of Miscellaneous Equipment,Dell OptiPlex 7070
HR,,Processed,2023-05-31 16:43:00,Rosalie Krigger,321,Services,WIH-29015902,2023-05-30 16:43:00,EXP00000273,Automated asset registration for Services,Microsoft Azure Cloud Service
Customer Support,,Processed,2024-04-14 02:40:00,Mitzi Ihenyen,140,Services,OHE-36020581,2024-04-12 02:40:00,EXP00000274,Provision of services configuration,Cloud Services AWS
Customer Support,,Pending,,Sean Bonnet,1392,Services,ANC-66294723,2023-08-12 17:00:00,EXP00000275,Services asset registration,Microsoft Office 365 Subscription
Sales,,Processed,2023-10-25 22:24:00,Essie Vaill,812,Services,AWE-09151478,2023-10-22 22:24:00,EXP00000276,Automatically generated service asset line for Cloud Storage Service,AWS S3 Bucket
Customer Support,,Processed,2024-01-07 05:04:00,Valerie Pou,536,Travel,,2024-01-06 05:04:00,EXP00000277,Travel package including flight and hotel bookings,Global Travel Elite Package
IT,,Processed,2023-09-18 23:54:00,Forest Orea,6882,Travel,,2023-08-21 23:54:00,EXP00000278,Travel related hardware asset,Garmin GPS Navigator
Customer Support,,Processed,2023-09-27 07:12:00,Ofelia Sheffler,3396,Miscellaneous,,2023-09-14 07:12:00,EXP00000279,Automatically generated asset for Miscellaneous category,Miscellaneous Asset ID: 12345
Customer Support,,Processed,2024-01-15 16:12:00,Felipe Mahone,5504,Assets,PUU-86218465,2023-12-24 16:12:00,EXP00000280,Configuration item added for asset management,Dell Latitude E5470
Customer Support,,Submitted,,Jimmie Kertzman,3578,Miscellaneous,,2024-01-03 12:01:00,EXP00000281,Automatically generated line for creation of miscellaneous hardware asset,LED Display Screen 22
Customer Support,,Processed,2024-03-23 02:27:00,Wilfredo Gidley,902,Services,DGD-72752844,2024-03-18 02:27:00,EXP00000282,Hosting service for IT Asset,Cloud Hosting Service
Customer Support,,Declined,,Sal Pindell,3717,Travel,,2024-03-25 01:01:00,EXP00000283,Travel-related IT asset acquisition,HP EliteBook 830
Customer Support,,Processed,2024-01-24 10:32:00,Helena Suermann,1172,Miscellaneous,,2024-01-19 10:32:00,EXP00000284,Miscellaneous office equipment,Projector EPSON X123
Sales,,Processed,2023-03-26 01:12:00,Essie Vaill,1188,Services,BLF-29746031,2023-03-21 01:12:00,EXP00000285,Automated services line for creation of asset,Projector Dell 4560
Customer Support,,Processed,2023-07-29 12:21:00,Ofelia Sheffler,2934,Miscellaneous,,2023-07-18 12:21:00,EXP00000286,Automatically generated asset for Miscellaneous category,Miscellaneous Item 001
Customer Support,,Processed,2023-07-25 10:21:00,Sue Haakinson,4425,Miscellaneous,,2023-07-07 10:21:00,EXP00000287,Miscellaneous hardware asset entry,Generic USB Device
Sales,,Pending,,Lacy Hyten,2781,Assets,LYB-39951807,2023-09-20 08:48:00,EXP00000288,Asset Registration for new equipment,Dell OptiPlex 3080
Customer Support,,Processed,2024-02-26 15:53:00,Viola Mcsorley,644,Services,CPC-24991457,2024-02-23 15:53:00,EXP00000289,Automated service allocation for asset,Cloud Service Azure
Customer Support,,Processed,2023-07-31 17:32:00,Felipe Mahone,2523,Miscellaneous,,2023-07-20 17:32:00,EXP00000290,Acquisition of miscellaneous hardware,Dell Inspiron 15
Sales,,Pending,,Bertie Luby,445,Services,KSY-97772222,2023-11-19 17:50:00,EXP00000291,Automatically generated ServiceNow asset for creation of service,Cloud Database Service
Customer Support,,Processed,2023-03-21 05:50:00,Marcie Shulz,5138,Assets,CEO-17499987,2023-03-01 05:50:00,EXP00000292,MacBook Pro 17 inch under corporate asset management,Asset-123456
Sales,,Processed,2024-04-24 13:10:00,Leif Bachta,7016,Assets,FYU-09440786,2024-03-29 13:10:00,EXP00000293,Automatically generated entry for IT asset,Dell Latitude 7410
Sales,,Processed,2023-08-10 04:57:00,Carolina Kinlaw,2291,Assets,AXH-28196960,2023-08-01 04:57:00,EXP00000294,Asset addition of a new printer,HP LaserJet Pro M203dw
Sales,,Declined,,Bertie Luby,4039,Travel,,2023-06-18 12:35:00,EXP00000295,Airport travel assistance hardware,Airport Automated Check-in System
Customer Support,,Processed,2023-06-18 22:05:00,Mitzi Ihenyen,1910,Services,TMG-57280464,2023-06-11 22:05:00,EXP00000296,Provision of IT support services,IT Support Services
Customer Support,,Processed,2023-06-03 13:20:00,Valerie Pou,4678,Miscellaneous,,2023-05-16 13:20:00,EXP00000297,Miscellaneous category hardware asset,Dell OptiPlex 380
Customer Support,,Processed,2024-01-14 08:43:00,Marianne Earman,3589,Miscellaneous,,2023-12-31 08:43:00,EXP00000298,Registration of newly acquired miscellaneous hardware,Logitech Wireless Mouse MX Master 3
Sales,,Processed,2023-03-06 08:42:00,Howard Johnson,1443,Services,TWD-47751417,2023-02-27 08:42:00,EXP00000299,Configuration Item added for new Service,Web Server Service
Sales,,Processed,2023-05-16 05:32:00,Carolina Kinlaw,4318,Assets,ZDJ-91926488,2023-04-29 05:32:00,EXP00000300,Server Hardware - Dell PowerEdge R440,Server_Asset_Dell_R440_0003245
IT,,Processed,2023-03-27 09:25:00,Sadie Rowlett,1716,Services,BWG-27040696,2023-03-22 09:25:00,EXP00000301,Automated provision of web server service,AWS EC2 Instance
Finance,,Processed,2023-09-01 14:10:00,Germaine Bruski,375,Miscellaneous,,2023-08-29 14:10:00,EXP00000302,Miscellaneous hardware assets purchased,Dell OptiPlex 3070
Customer Support,,Processed,2023-09-10 11:59:00,Nelly Jakuboski,757,Services,XOS-53471826,2023-09-05 11:59:00,EXP00000303,Automated service expense for software delivery,Cloud-based Software As A Service (SaaS)
Development,,Submitted,,Cyril Behen,1702,Services,XMJ-75267839,2023-03-01 08:10:00,EXP00000304,Service request for Virtual Private Network setup,VPN Service Subscription
IT,,Processed,2023-05-30 00:20:00,Virgil Chinni,6440,Assets,KXM-73199660,2023-05-04 00:20:00,EXP00000305,Procurement of new IT assets,Dell Optiplex 3070
Customer Support,,Processed,2024-03-16 04:13:00,Sal Pindell,8086,Assets,OJX-26562050,2024-02-13 04:13:00,EXP00000306,IT asset registration - Dell OptiPlex 3080,Dell OptiPlex 3080 Desktop
Customer Support,,Processed,2023-06-16 00:18:00,Viola Mcsorley,4331,Assets,DTN-85742487,2023-05-28 00:18:00,EXP00000307,Automatically generated asset line for Desktop PC,Dell Optiplex 780
Customer Support,,Submitted,,Petra Mcnichol,6771,Travel,,2023-08-11 13:53:00,EXP00000308,Automatically generated expense line for creation of travel asset,Standard Business Travel Kit
IT,,Processed,2023-06-06 03:35:00,Helene Iberg,3539,Assets,LXT-33516640,2023-05-22 03:35:00,EXP00000309,Hardware asset registration for Lenovo Thinkpad,Lenovo Thinkpad T480
Sales,,Processed,2024-04-16 13:23:00,Leif Bachta,4231,Assets,BQN-14008353,2024-03-31 13:23:00,EXP00000310,Automated asset entry for newly acquired hardware,HP EliteBook 840 G5
IT,,Processed,2023-08-28 06:51:00,Vernon Engelman,490,Miscellaneous,,2023-08-27 06:51:00,EXP00000311,Miscellaneous hardware asset registration,Dell OptiPlex 7070
IT,,Pending,,Helene Iberg,1918,Services,UCE-67586225,2024-01-26 00:11:00,EXP00000312,Service asset registered in system,Windows Server 2016
Sales,,Processed,2024-02-10 13:30:00,Savannah Loffier,5744,Travel,,2024-01-17 13:30:00,EXP00000313,Procurement of new travel equipment,Samsonite Omni PC Hardside Luggage
Customer Support,,Processed,2023-11-17 05:02:00,Felipe Mahone,7653,Assets,WOX-89781817,2023-10-17 05:02:00,EXP00000314,Automatically generated asset creation for hardware,Dell Latitude 7490
HR,,Processed,2023-10-25 16:08:00,Rosalie Krigger,5511,Travel,,2023-10-03 16:08:00,EXP00000315,New travel asset generated for department use,Travel Equipment Kit
Customer Support,,Processed,2023-07-12 06:36:00,Lynda Caraway,1037,Services,VGZ-22395010,2023-07-09 06:36:00,EXP00000316,Auto-generated service line for creation of asset,Cloud-Based Storage Service
