sys_updated_by,assigned_to,sys_updated_on,caller_id,opened_at,category,number,state,closed_at,closed_by,short_description,assignment_group,priority
employee,Luke Wilson,2023-04-29 18:34:44.776632808,ITIL User,2023-04-15 04:08:00,Database,INC0000000123,Closed,2023-04-29 18:34:44.776632808,Fred Luddy,Email system failure reported by multiple users,Service Desk,2 - High
system,Luke Wilson,2023-04-19 18:25:31.793202969,Bud Richman,2023-04-15 12:43:00,Software,INC0000000124,Resolved,2023-04-19 18:25:31.793202969,Charlie Whitherspoon,Email server downtime impacting operations,Service Desk,1 - Critical
employee,Howard Johnson,2023-04-19 05:05:03.841102285,ITIL User,2023-04-16 21:41:00,Inquiry / Help,INC0000000125,Resolved,2023-04-19 05:05:03.841102285,Charlie Whitherspoon,Email system downtime impacting operations,Service Desk,1 - Critical
system,Beth Anglin,2023-05-04 14:48:00.893320378,Don Goodliffe,2023-04-17 08:35:00,Hardware,INC0000000126,Closed,2023-05-04 14:48:00.893320378,Fred Luddy,Email system response time is slow,Service Desk,3 - Moderate
employee,Beth Anglin,2023-04-27 07:02:04.577611296,Bud Richman,2023-04-17 09:09:00,Database,INC0000000127,Closed,2023-04-27 07:02:04.577611296,Howard Johnson,Email system is down since morning,Service Desk,1 - Critical
system,Beth Anglin,2023-04-25 18:06:28.878198898,Don Goodliffe,2023-04-17 09:12:00,Network,INC0000000128,Closed,2023-04-25 18:06:28.878198898,Howard Johnson,Email system downtime affecting multiple users,Service Desk,1 - Critical
employee,Beth Anglin,2023-04-28 10:00:56.611402420,ITIL User,2023-04-19 03:44:00,Network,INC0000000129,Closed,2023-04-28 10:00:56.611402420,Charlie Whitherspoon,Email system lagging intermittently,Service Desk,3 - Moderate
system,Beth Anglin,2023-04-20 12:48:00.000000000,David Loo,2023-04-19 12:48:00,Hardware,INC0000000130,Resolved,2023-04-20 12:48:00.000000000,Howard Johnson,Email system latency impacting workflows,Service Desk,2 - High
admin,Luke Wilson,2023-04-21 19:17:00.000000000,Don Goodliffe,2023-04-20 19:17:00,Hardware,INC0000000131,Resolved,2023-04-21 19:17:00.000000000,Howard Johnson,Email system outage affecting all users,Service Desk,1 - Critical
system,Luke Wilson,2023-05-02 05:42:11.767265651,ITIL User,2023-04-21 08:41:00,Hardware,INC0000000132,Closed,2023-05-02 05:42:11.767265651,Beth Anglin,Email server downtime,Network,1 - Critical
admin,Fred Luddy,2023-04-28 19:47:39.251942646,Bud Richman,2023-04-22 17:26:00,Network,INC0000000133,Resolved,2023-04-28 19:47:39.251942646,Luke Wilson,Email server outage affecting entire office,Network,1 - Critical
system,Luke Wilson,2023-04-24 09:36:00.000000000,Bud Richman,2023-04-23 09:36:00,Database,INC0000000134,Resolved,2023-04-24 09:36:00.000000000,Charlie Whitherspoon,Email server downtime,Network,2 - High
system,Fred Luddy,2023-04-24 19:24:00.000000000,David Loo,2023-04-23 19:24:00,Hardware,INC0000000135,Closed,2023-04-24 19:24:00.000000000,Howard Johnson,Email server response times are slow,Network,3 - Moderate
system,Beth Anglin,2023-05-08 00:47:10.861327536,Don Goodliffe,2023-04-24 02:10:00,Software,INC0000000136,Closed,2023-05-08 00:47:10.861327536,Fred Luddy,Email system outage reported by multiple users,Service Desk,2 - High
system,Howard Johnson,2023-04-30 14:20:50.576699765,David Loo,2023-04-24 17:38:00,Inquiry / Help,INC0000000137,Resolved,2023-04-30 14:20:50.576699765,Luke Wilson,Email service disruption reported,Service Desk,1 - Critical
employee,Beth Anglin,2023-05-02 01:45:08.330569800,Bud Richman,2023-04-24 21:12:00,Database,INC0000000138,Closed,2023-05-02 01:45:08.330569800,Beth Anglin,Email server downtime impacting client communications,Service Desk,2 - High
admin,Fred Luddy,2023-05-02 12:53:16.099139164,ITIL User,2023-04-25 07:52:00,Network,INC0000000139,Closed,2023-05-02 12:53:16.099139164,Fred Luddy,Email system outage impacting entire floor,Service Desk,1 - Critical
employee,Fred Luddy,2023-04-27 10:30:00.000000000,Bud Richman,2023-04-26 10:30:00,Network,INC0000000140,Closed,2023-04-27 10:30:00.000000000,Luke Wilson,Email system down for multiple users,Service Desk,1 - Critical
admin,Charlie Whitherspoon,2023-05-01 11:39:13.218365807,ITIL User,2023-04-27 19:15:00,Network,INC0000000141,Closed,2023-05-01 11:39:13.218365807,Howard Johnson,Email system down since morning,Service Desk,1 - Critical
admin,Howard Johnson,2023-04-29 19:59:00.000000000,Bud Richman,2023-04-28 19:59:00,Database,INC0000000142,Resolved,2023-04-29 19:59:00.000000000,Charlie Whitherspoon,Email server outage reported,Network,1 - Critical
system,Charlie Whitherspoon,2023-04-30 16:20:24.786192164,ITIL User,2023-04-29 05:39:00,Inquiry / Help,INC0000000143,Resolved,2023-04-30 16:20:24.786192164,Howard Johnson,Email system down for several users,Service Desk,1 - Critical
admin,Charlie Whitherspoon,2023-05-10 20:07:43.960631842,David Loo,2023-04-30 00:27:00,Database,INC0000000144,Closed,2023-05-10 20:07:43.960631842,Beth Anglin,Email system downtime reported by several users,Service Desk,2 - High
admin,Charlie Whitherspoon,2023-05-01 22:35:07.809841311,Bud Richman,2023-04-30 01:12:00,Hardware,INC0000000145,Closed,2023-05-01 22:35:07.809841311,Luke Wilson,Email access is down for multiple users,Service Desk,2 - High
admin,Fred Luddy,2023-05-13 22:32:12.914826269,David Loo,2023-05-01 19:51:00,Software,INC0000000146,Closed,2023-05-13 22:32:12.914826269,Charlie Whitherspoon,Email server response time issue,Network,2 - High
system,Luke Wilson,2023-05-09 15:54:25.180700675,ITIL User,2023-05-03 09:57:00,Hardware,INC0000000147,Resolved,2023-05-09 15:54:25.180700675,Beth Anglin,Email system outage affecting entire office,Service Desk,1 - Critical
system,Beth Anglin,2023-05-15 09:04:50.920936179,Don Goodliffe,2023-05-03 13:07:00,Database,INC0000000148,Closed,2023-05-15 09:04:50.920936179,Howard Johnson,Email system lagging for multiple users,Network,2 - High
admin,Luke Wilson,2023-05-09 18:16:30.624907980,ITIL User,2023-05-04 22:39:00,Software,INC0000000149,Resolved,2023-05-09 18:16:30.624907980,Charlie Whitherspoon,Unable to access email account,Service Desk,2 - High
system,Luke Wilson,2023-05-08 15:57:49.313458013,Don Goodliffe,2023-05-05 07:19:00,Inquiry / Help,INC0000000150,Closed,2023-05-08 15:57:49.313458013,Charlie Whitherspoon,Email server outage reported by multiple users,Network,1 - Critical
admin,Charlie Whitherspoon,2023-05-21 17:00:48.259373842,ITIL User,2023-05-08 17:23:00,Database,INC0000000151,Resolved,2023-05-21 17:00:48.259373842,Howard Johnson,Email server downtime,Network,1 - Critical
system,Luke Wilson,2023-05-14 06:40:42.609007832,Don Goodliffe,2023-05-08 22:45:00,Database,INC0000000152,Closed,2023-05-14 06:40:42.609007832,Howard Johnson,Email server response delay,Network,2 - High
admin,Beth Anglin,2023-05-19 14:03:06.683606607,ITIL User,2023-05-09 00:50:00,Network,INC0000000153,Resolved,2023-05-19 14:03:06.683606607,Fred Luddy,Email server outage impacting all departments,Network,1 - Critical
employee,Luke Wilson,2023-05-17 16:17:57.234341117,ITIL User,2023-05-09 20:58:00,Software,INC0000000154,Closed,2023-05-17 16:17:57.234341117,Luke Wilson,Email system outage reported by multiple users,Service Desk,1 - Critical
employee,Beth Anglin,2023-05-10 23:34:00.000000000,Bud Richman,2023-05-09 23:34:00,Database,INC0000000155,Resolved,2023-05-10 23:34:00.000000000,Fred Luddy,Outage in production environment,Database,1 - Critical
system,Luke Wilson,2023-05-12 14:29:53.507534861,ITIL User,2023-05-11 02:59:00,Hardware,INC0000000156,Closed,2023-05-12 14:29:53.507534861,Charlie Whitherspoon,Email system downtime,Service Desk,1 - Critical
system,Beth Anglin,2023-05-23 10:09:49.525119750,Don Goodliffe,2023-05-11 06:17:00,Network,INC0000000157,Resolved,2023-05-23 10:09:49.525119750,Luke Wilson,Email system down for multiple users,Service Desk,1 - Critical
admin,Howard Johnson,2023-05-14 21:55:34.520170876,ITIL User,2023-05-11 11:07:00,Hardware,INC0000000158,Closed,2023-05-14 21:55:34.520170876,Luke Wilson,Email server downtime impacting all users,Network,1 - Critical
system,Charlie Whitherspoon,2023-05-24 06:25:33.230876555,Don Goodliffe,2023-05-11 14:15:00,Network,INC0000000159,Resolved,2023-05-24 06:25:33.230876555,Charlie Whitherspoon,Email system lagging for multiple users,Service Desk,2 - High
admin,Beth Anglin,2023-05-20 03:00:44.242538326,ITIL User,2023-05-12 12:24:00,Inquiry / Help,INC0000000160,Closed,2023-05-20 03:00:44.242538326,Howard Johnson,Email system outage affecting multiple users,Service Desk,1 - Critical
admin,Luke Wilson,2023-05-21 08:24:05.397197651,Don Goodliffe,2023-05-12 12:56:00,Hardware,INC0000000161,Closed,2023-05-21 08:24:05.397197651,Charlie Whitherspoon,Email system outage reported by multiple users,Service Desk,1 - Critical
employee,Howard Johnson,2023-05-19 11:13:13.788009160,David Loo,2023-05-13 09:05:00,Inquiry / Help,INC0000000162,Closed,2023-05-19 11:13:13.788009160,Charlie Whitherspoon,Email system downtime reported,Service Desk,1 - Critical
system,Fred Luddy,2023-05-15 06:35:36.829390220,David Loo,2023-05-13 13:16:00,Inquiry / Help,INC0000000163,Closed,2023-05-15 06:35:36.829390220,Fred Luddy,Email system downtime,Service Desk,2 - High
employee,Charlie Whitherspoon,2023-05-18 09:19:51.919038173,ITIL User,2023-05-14 00:20:00,Hardware,INC0000000164,Closed,2023-05-18 09:19:51.919038173,Fred Luddy,Email system outage affecting entire floor,Service Desk,1 - Critical
admin,Howard Johnson,2023-05-23 06:19:57.422340133,ITIL User,2023-05-14 08:52:00,Software,INC0000000165,Resolved,2023-05-23 06:19:57.422340133,Luke Wilson,Email system downtime reported,Service Desk,1 - Critical
employee,Fred Luddy,2023-05-15 11:37:00.000000000,ITIL User,2023-05-14 11:37:00,Database,INC0000000166,Closed,2023-05-15 11:37:00.000000000,Fred Luddy,Email system outage affecting multiple users,Service Desk,1 - Critical
system,Fred Luddy,2023-05-21 23:21:28.892393335,David Loo,2023-05-15 19:57:00,Database,INC0000000167,Resolved,2023-05-21 23:21:28.892393335,Howard Johnson,Email system outage affecting entire office,Service Desk,1 - Critical
system,Fred Luddy,2023-05-20 05:18:05.541562208,Bud Richman,2023-05-16 16:36:00,Inquiry / Help,INC0000000168,Resolved,2023-05-20 05:18:05.541562208,Beth Anglin,Email system outage affecting entire office,Service Desk,1 - Critical
admin,Luke Wilson,2023-05-19 09:18:00.000000000,Bud Richman,2023-05-18 09:18:00,Hardware,INC0000000169,Resolved,2023-05-19 09:18:00.000000000,Luke Wilson,Email server downtime affecting entire department,Network,1 - Critical
employee,Luke Wilson,2023-05-21 06:06:43.692346464,David Loo,2023-05-18 17:02:00,Inquiry / Help,INC0000000170,Resolved,2023-05-21 06:06:43.692346464,Luke Wilson,Email system downtime impacting workflow,Service Desk,2 - High
admin,Beth Anglin,2023-05-30 23:25:19.881924104,David Loo,2023-05-19 13:53:00,Network,INC0000000171,Resolved,2023-05-30 23:25:19.881924104,Fred Luddy,Email system down for multiple users,Service Desk,1 - Critical
admin,Fred Luddy,2023-05-26 01:21:45.977813580,ITIL User,2023-05-20 03:24:00,Database,INC0000000172,Closed,2023-05-26 01:21:45.977813580,Beth Anglin,Email system latency issues impacting workflow,Service Desk,2 - High
admin,Luke Wilson,2023-05-24 07:10:00.000000000,David Loo,2023-05-23 07:10:00,Hardware,INC0000000173,Resolved,2023-05-24 07:10:00.000000000,Charlie Whitherspoon,Email system downtime impacting communication,Service Desk,2 - High
system,Howard Johnson,2023-06-14 02:03:24.570082043,David Loo,2023-05-24 14:50:00,Database,INC0000000174,Closed,2023-06-14 02:03:24.570082043,Charlie Whitherspoon,Email system outage reported affecting several users,Service Desk,2 - High
system,Howard Johnson,2023-06-03 03:31:36.133526840,Don Goodliffe,2023-05-25 15:53:00,Database,INC0000000175,Closed,2023-06-03 03:31:36.133526840,Charlie Whitherspoon,Email system downtime reported by several users,Service Desk,2 - High
employee,Beth Anglin,2023-06-09 05:56:50.195619620,David Loo,2023-05-28 01:02:00,Inquiry / Help,INC0000000176,Closed,2023-06-09 05:56:50.195619620,Charlie Whitherspoon,Email server response time is slow,Network,2 - High
system,Charlie Whitherspoon,2023-06-05 02:14:14.338902119,Bud Richman,2023-05-28 06:54:00,Database,INC0000000177,Resolved,2023-06-05 02:14:14.338902119,Luke Wilson,Email system downtime reported by several users,Service Desk,2 - High
admin,Charlie Whitherspoon,2023-06-02 23:59:11.929521441,ITIL User,2023-05-28 16:24:00,Software,INC0000000178,Resolved,2023-06-02 23:59:11.929521441,Fred Luddy,Email system down for multiple users,Service Desk,1 - Critical
employee,Fred Luddy,2023-06-01 16:16:53.204941622,David Loo,2023-05-29 16:08:00,Hardware,INC0000000179,Resolved,2023-06-01 16:16:53.204941622,Howard Johnson,Email system latency issues,Service Desk,2 - High
admin,Fred Luddy,2023-06-07 19:04:30.920455137,ITIL User,2023-05-30 02:28:00,Database,INC0000000180,Closed,2023-06-07 19:04:30.920455137,Fred Luddy,Email system outage impacting multiple users,Service Desk,1 - Critical
admin,Beth Anglin,2023-06-08 14:09:34.466297839,David Loo,2023-05-30 23:46:00,Inquiry / Help,INC0000000181,Closed,2023-06-08 14:09:34.466297839,Fred Luddy,Email system outage reported by multiple users,Service Desk,1 - Critical
system,Fred Luddy,2023-06-21 06:46:04.471032466,David Loo,2023-05-31 21:36:00,Software,INC0000000182,Closed,2023-06-21 06:46:04.471032466,Beth Anglin,Email system outage reported,Service Desk,1 - Critical
system,Luke Wilson,2023-06-09 23:55:39.759948755,ITIL User,2023-06-01 15:58:00,Software,INC0000000183,Closed,2023-06-09 23:55:39.759948755,Beth Anglin,Email system outage reported by multiple users,Service Desk,1 - Critical
system,Luke Wilson,2023-06-06 06:28:28.988792538,ITIL User,2023-06-02 17:20:00,Database,INC0000000184,Closed,2023-06-06 06:28:28.988792538,Charlie Whitherspoon,Email system down for multiple users,Service Desk,1 - Critical
admin,Luke Wilson,2023-06-08 21:08:26.804072348,David Loo,2023-06-03 02:43:00,Hardware,INC0000000185,Closed,2023-06-08 21:08:26.804072348,Beth Anglin,Email system lagging for multiple users,Service Desk,2 - High
employee,Luke Wilson,2023-06-13 03:48:50.785963465,Bud Richman,2023-06-04 22:18:00,Hardware,INC0000000186,Closed,2023-06-13 03:48:50.785963465,Charlie Whitherspoon,Email system login failure,Service Desk,2 - High
system,Luke Wilson,2023-06-08 15:35:26.508602048,Bud Richman,2023-06-05 04:01:00,Database,INC0000000187,Resolved,2023-06-08 15:35:26.508602048,Fred Luddy,Email system outage reported by multiple users,Service Desk,1 - Critical
employee,Beth Anglin,2023-06-08 11:59:17.685019882,Bud Richman,2023-06-05 07:43:00,Software,INC0000000188,Closed,2023-06-08 11:59:17.685019882,Charlie Whitherspoon,Email system outage reported by multiple users,Service Desk,1 - Critical
system,Beth Anglin,2023-06-06 09:43:00.000000000,David Loo,2023-06-05 09:43:00,Hardware,INC0000000189,Closed,2023-06-06 09:43:00.000000000,Luke Wilson,Email server outage reported by multiple users,Network,1 - Critical
system,Beth Anglin,2023-06-06 22:21:55.236395265,Bud Richman,2023-06-05 16:03:00,Inquiry / Help,INC0000000190,Closed,2023-06-06 22:21:55.236395265,Luke Wilson,Email server outage affects multiple departments,Network,1 - Critical
system,Beth Anglin,2023-06-12 02:02:58.545498182,Bud Richman,2023-06-06 06:49:00,Inquiry / Help,INC0000000191,Closed,2023-06-12 02:02:58.545498182,Fred Luddy,Email server outage affecting entire office,Network,1 - Critical
employee,Beth Anglin,2023-06-13 12:24:28.851519788,ITIL User,2023-06-06 15:38:00,Hardware,INC0000000192,Resolved,2023-06-13 12:24:28.851519788,Beth Anglin,Email server is unresponsive,Network,1 - Critical
employee,Luke Wilson,2023-06-10 01:52:29.727793277,ITIL User,2023-06-06 17:45:00,Network,INC0000000193,Resolved,2023-06-10 01:52:29.727793277,Beth Anglin,Email system down for multiple users,Service Desk,1 - Critical
system,Beth Anglin,2023-06-14 20:22:50.113375663,ITIL User,2023-06-09 10:09:00,Hardware,INC0000000194,Closed,2023-06-14 20:22:50.113375663,Charlie Whitherspoon,Email system downtime impacting users,Service Desk,2 - High
employee,Luke Wilson,2023-06-21 15:34:25.916118175,Bud Richman,2023-06-09 17:25:00,Database,INC0000000195,Closed,2023-06-21 15:34:25.916118175,Charlie Whitherspoon,Cannot connect to the VPN,Network,2 - High
system,Luke Wilson,2023-06-28 16:04:03.163608682,Bud Richman,2023-06-10 01:28:00,Database,INC0000000196,Resolved,2023-06-28 16:04:03.163608682,Fred Luddy,Email system downtime affecting multiple users,Service Desk,2 - High
system,Luke Wilson,2023-06-16 15:48:46.400030352,Bud Richman,2023-06-11 16:06:00,Inquiry / Help,INC0000000197,Resolved,2023-06-16 15:48:46.400030352,Beth Anglin,Email server outage affecting all regions,Network,1 - Critical
employee,Luke Wilson,2023-06-28 08:47:40.473469079,ITIL User,2023-06-11 23:09:00,Database,INC0000000198,Resolved,2023-06-28 08:47:40.473469079,Luke Wilson,Email system not responding,Service Desk,2 - High
admin,Luke Wilson,2023-06-14 22:09:47.993408698,Don Goodliffe,2023-06-12 22:51:00,Software,INC0000000199,Closed,2023-06-14 22:09:47.993408698,Beth Anglin,Email service downtime reported,Service Desk,2 - High
system,Luke Wilson,2023-06-19 17:51:13.976468240,ITIL User,2023-06-14 18:21:00,Hardware,INC0000000200,Resolved,2023-06-19 17:51:13.976468240,Howard Johnson,Email outage reported by multiple users,Service Desk,1 - Critical
system,Beth Anglin,2023-06-19 10:00:10.727552771,ITIL User,2023-06-14 20:11:00,Network,INC0000000201,Resolved,2023-06-19 10:00:10.727552771,Fred Luddy,Email system not responding,Service Desk,2 - High
employee,Beth Anglin,2023-06-23 02:08:37.180389306,Don Goodliffe,2023-06-15 05:56:00,Software,INC0000000202,Closed,2023-06-23 02:08:37.180389306,Charlie Whitherspoon,Email server downtime impacting operations,Network,1 - Critical
system,Beth Anglin,2023-06-21 17:34:59.606327462,David Loo,2023-06-15 19:02:00,Software,INC0000000203,Closed,2023-06-21 17:34:59.606327462,Luke Wilson,Email server downtime impacting operations,Network,1 - Critical
employee,Luke Wilson,2023-06-23 02:08:30.942854092,Don Goodliffe,2023-06-16 22:13:00,Network,INC0000000204,Closed,2023-06-23 02:08:30.942854092,Charlie Whitherspoon,Email system response time is slow,Service Desk,3 - Moderate
system,Beth Anglin,2023-06-19 00:07:00.000000000,ITIL User,2023-06-18 00:07:00,Hardware,INC0000000205,Resolved,2023-06-19 00:07:00.000000000,Fred Luddy,Email system outage reported by multiple users,Service Desk,1 - Critical
employee,Luke Wilson,2023-06-19 22:06:01.873343040,ITIL User,2023-06-18 01:45:00,Software,INC0000000206,Closed,2023-06-19 22:06:01.873343040,Luke Wilson,Email service downtime,Service Desk,2 - High
admin,Beth Anglin,2023-06-22 23:39:49.749572176,David Loo,2023-06-20 14:05:00,Inquiry / Help,INC0000000207,Resolved,2023-06-22 23:39:49.749572176,Fred Luddy,Email server downtime affecting all users,Network,1 - Critical
admin,Beth Anglin,2023-07-06 10:44:15.042890902,Bud Richman,2023-06-21 09:20:00,Hardware,INC0000000208,Closed,2023-07-06 10:44:15.042890902,Luke Wilson,Email system access denied for multiple users,Service Desk,2 - High
admin,Luke Wilson,2023-07-01 16:39:08.520810556,Don Goodliffe,2023-06-21 14:48:00,Software,INC0000000209,Closed,2023-07-01 16:39:08.520810556,Charlie Whitherspoon,Email system downtime affecting entire floor,Service Desk,2 - High
admin,Beth Anglin,2023-07-04 00:41:45.548331646,David Loo,2023-06-22 03:15:00,Hardware,INC0000000210,Closed,2023-07-04 00:41:45.548331646,Charlie Whitherspoon,Email system slow and unresponsive,Service Desk,2 - High
employee,Luke Wilson,2023-06-28 12:21:48.903100029,David Loo,2023-06-22 07:24:00,Database,INC0000000211,Closed,2023-06-28 12:21:48.903100029,Howard Johnson,Email system downtime reported by multiple users,Service Desk,2 - High
admin,Luke Wilson,2023-07-01 22:32:10.808428476,David Loo,2023-06-23 15:00:00,Network,INC0000000212,Closed,2023-07-01 22:32:10.808428476,Fred Luddy,Unable to access the internal portal,Service Desk,3 - Moderate
employee,Luke Wilson,2023-07-06 13:07:42.501326488,ITIL User,2023-06-23 23:50:00,Network,INC0000000213,Resolved,2023-07-06 13:07:42.501326488,Fred Luddy,Email system down for multiple users,Service Desk,1 - Critical
employee,Beth Anglin,2023-06-30 00:04:29.575074795,ITIL User,2023-06-24 01:04:00,Hardware,INC0000000214,Closed,2023-06-30 00:04:29.575074795,Beth Anglin,Email server is unresponsive since morning,Network,1 - Critical
system,Beth Anglin,2023-06-25 11:37:00.000000000,ITIL User,2023-06-24 11:37:00,Inquiry / Help,INC0000000215,Resolved,2023-06-25 11:37:00.000000000,Charlie Whitherspoon,Email system downtime,Service Desk,1 - Critical
system,Luke Wilson,2023-06-25 17:09:00.000000000,ITIL User,2023-06-24 17:09:00,Network,INC0000000216,Resolved,2023-06-25 17:09:00.000000000,Charlie Whitherspoon,Unable to access the VPN,Network,2 - High
admin,Beth Anglin,2023-06-27 15:01:07.643486839,Don Goodliffe,2023-06-24 19:44:00,Inquiry / Help,INC0000000217,Resolved,2023-06-27 15:01:07.643486839,Luke Wilson,Email system down for multiple users,Service Desk,1 - Critical
admin,Luke Wilson,2023-06-28 06:53:20.869990615,ITIL User,2023-06-25 10:20:00,Inquiry / Help,INC0000000218,Closed,2023-06-28 06:53:20.869990615,Fred Luddy,Email server not responding,Network,1 - Critical
admin,Beth Anglin,2023-07-01 10:33:38.386239924,ITIL User,2023-06-26 20:34:00,Inquiry / Help,INC0000000219,Resolved,2023-07-01 10:33:38.386239924,Howard Johnson,Email system outage reported by multiple users,Service Desk,1 - Critical
system,Fred Luddy,2023-07-01 12:10:02.497026873,David Loo,2023-06-28 13:10:00,Network,INC0000000220,Resolved,2023-07-01 12:10:02.497026873,Charlie Whitherspoon,Email server downtime impacting communication,Network,1 - Critical
system,Beth Anglin,2023-06-30 22:28:00.000000000,Don Goodliffe,2023-06-29 22:28:00,Inquiry / Help,INC0000000221,Resolved,2023-06-30 22:28:00.000000000,Howard Johnson,Email system down for multiple users,Service Desk,1 - Critical
system,Beth Anglin,2023-07-02 04:44:00.000000000,Don Goodliffe,2023-07-01 04:44:00,Inquiry / Help,INC0000000222,Resolved,2023-07-02 04:44:00.000000000,Luke Wilson,Email system downtime,Hardware,1 - Critical
employee,Luke Wilson,2023-07-10 15:06:22.484927980,David Loo,2023-07-02 05:57:00,Inquiry / Help,INC0000000223,Closed,2023-07-10 15:06:22.484927980,Howard Johnson,Email server outage impacting client communications,Network,1 - Critical
admin,Luke Wilson,2023-07-17 12:47:15.709828698,ITIL User,2023-07-02 13:07:00,Software,INC0000000224,Resolved,2023-07-17 12:47:15.709828698,Howard Johnson,Email server outage reported,Network,1 - Critical
admin,Luke Wilson,2023-07-08 07:34:36.099352598,Bud Richman,2023-07-02 19:13:00,Database,INC0000000225,Resolved,2023-07-08 07:34:36.099352598,Howard Johnson,Email system lag causing delays,Service Desk,2 - High
system,Beth Anglin,2023-07-09 22:09:42.256277690,ITIL User,2023-07-05 00:33:00,Inquiry / Help,INC0000000226,Closed,2023-07-09 22:09:42.256277690,Fred Luddy,Email system delay during peak hours,Service Desk,2 - High
employee,Luke Wilson,2023-07-16 14:32:55.924784945,Bud Richman,2023-07-08 06:59:00,Inquiry / Help,INC0000000227,Closed,2023-07-16 14:32:55.924784945,Charlie Whitherspoon,Email system downtime affecting multiple users,Service Desk,1 - Critical
system,Luke Wilson,2023-07-12 14:58:35.749429002,Don Goodliffe,2023-07-09 14:48:00,Software,INC0000000228,Closed,2023-07-12 14:58:35.749429002,Beth Anglin,Email system outage affecting entire department,Service Desk,1 - Critical
admin,Beth Anglin,2023-08-02 22:58:04.926059934,David Loo,2023-07-09 20:10:00,Database,INC0000000229,Closed,2023-08-02 22:58:04.926059934,Fred Luddy,Email system latency issues observed by several users,Service Desk,2 - High
employee,Luke Wilson,2023-07-19 07:25:38.482918970,David Loo,2023-07-10 05:06:00,Inquiry / Help,INC0000000230,Closed,2023-07-19 07:25:38.482918970,Charlie Whitherspoon,Email service interruption reported,Service Desk,2 - High
system,Beth Anglin,2023-07-11 20:32:10.619737868,ITIL User,2023-07-10 14:14:00,Inquiry / Help,INC0000000231,Resolved,2023-07-11 20:32:10.619737868,Beth Anglin,Unable to access the VPN,Network,2 - High
system,Luke Wilson,2023-07-20 01:50:41.671643074,David Loo,2023-07-10 15:02:00,Software,INC0000000232,Closed,2023-07-20 01:50:41.671643074,Beth Anglin,Email system outage reported by multiple users,Network,1 - Critical
admin,Luke Wilson,2023-07-16 21:01:46.171690776,David Loo,2023-07-11 17:01:00,Database,INC0000000233,Resolved,2023-07-16 21:01:46.171690776,Fred Luddy,Email system outage reported by multiple users,Service Desk,1 - Critical
admin,Luke Wilson,2023-07-12 22:37:11.228922822,David Loo,2023-07-11 20:24:00,Software,INC0000000234,Closed,2023-07-12 22:37:11.228922822,Fred Luddy,Email system downtime reported by multiple users,Service Desk,2 - High
admin,Beth Anglin,2023-07-16 11:30:31.928953569,ITIL User,2023-07-12 10:04:00,Hardware,INC0000000235,Closed,2023-07-16 11:30:31.928953569,Howard Johnson,Email service disruption reported,Service Desk,2 - High
employee,Beth Anglin,2023-07-25 17:00:07.048815686,ITIL User,2023-07-12 14:32:00,Hardware,INC0000000236,Resolved,2023-07-25 17:00:07.048815686,Charlie Whitherspoon,Email system outage impacting multiple departments,Network,1 - Critical
system,Beth Anglin,2023-07-21 02:58:01.846679719,ITIL User,2023-07-12 16:22:00,Network,INC0000000237,Resolved,2023-07-21 02:58:01.846679719,Beth Anglin,Email system outage affecting multiple users,Service Desk,1 - Critical
system,Beth Anglin,2023-07-14 20:05:17.503012117,Don Goodliffe,2023-07-12 17:04:00,Software,INC0000000238,Resolved,2023-07-14 20:05:17.503012117,Beth Anglin,Email system failure,Service Desk,1 - Critical
admin,Luke Wilson,2023-07-17 08:46:03.905181687,David Loo,2023-07-12 23:01:00,Network,INC0000000239,Closed,2023-07-17 08:46:03.905181687,Beth Anglin,Email system downtime impacting entire office,Service Desk,1 - Critical
employee,Beth Anglin,2023-07-24 01:37:42.741633300,Don Goodliffe,2023-07-14 13:25:00,Database,INC0000000240,Closed,2023-07-24 01:37:42.741633300,Fred Luddy,Email server response slow,Network,3 - Moderate
admin,Luke Wilson,2023-07-21 08:58:34.772671473,Don Goodliffe,2023-07-14 15:33:00,Hardware,INC0000000241,Closed,2023-07-21 08:58:34.772671473,Luke Wilson,Email system outage reported by multiple users,Service Desk,1 - Critical
admin,Luke Wilson,2023-07-18 02:24:37.533779329,Bud Richman,2023-07-14 22:42:00,Software,INC0000000242,Closed,2023-07-18 02:24:37.533779329,Charlie Whitherspoon,Email system downtime affecting multiple users,Service Desk,1 - Critical
system,Luke Wilson,2023-07-18 20:06:48.068383376,Bud Richman,2023-07-15 09:12:00,Database,INC0000000243,Closed,2023-07-18 20:06:48.068383376,Howard Johnson,Email system outage affecting multiple users,Service Desk,1 - Critical
admin,Beth Anglin,2023-07-24 17:00:09.076021610,David Loo,2023-07-15 22:52:00,Network,INC0000000244,Closed,2023-07-24 17:00:09.076021610,Howard Johnson,Email service disruption reported,Service Desk,2 - High
admin,Luke Wilson,2023-07-27 03:06:20.249116332,David Loo,2023-07-16 14:26:00,Inquiry / Help,INC0000000245,Closed,2023-07-27 03:06:20.249116332,Luke Wilson,Email system downtime,Service Desk,1 - Critical
system,Beth Anglin,2023-07-18 23:52:51.242374522,David Loo,2023-07-17 01:31:00,Network,INC0000000246,Resolved,2023-07-18 23:52:51.242374522,Luke Wilson,Email system outage affecting entire department,Service Desk,1 - Critical
