user,category,source_id,number,amount,opened_at,department,state,type,processed_date,short_description,ci
Rachel Larrison,Services,OEW-56247152,EXP00000159,723,2023-09-28 09:12:00,Customer Support,Pending,,,Configuration of new cloud service asset,AWS EC2 Instance
Marcie Shulz,Assets,JQF-08843360,EXP00000160,4283,2023-08-31 02:21:00,Customer Support,Processed,,2023-09-01 02:21:00.000000000,Creation of new hardware asset,Dell Latitude 5420
Howard Johnson,Travel,,EXP00000161,2834,2023-08-19 07:16:00,Sales,Submitted,,,Travel related asset entry,International Travel Adapter
Fausto Marks,Assets,STG-58929711,EXP00000162,7570,2023-09-16 02:40:00,Finance,Pending,,,Automated record for asset addition,Dell Latitude E7470
Valerie Pou,Assets,JVN-78682206,EXP00000163,7281,2023-05-28 23:19:00,Customer Support,Submitted,,,ServiceNow managed asset registration,Dell Latitude 7490
Sadie Rowlett,Assets,HGH-63663709,EXP00000164,7169,2023-11-07 08:45:00,IT,Processed,,2023-11-19 06:20:58.687876652,Asset Assignment for New Employee,Dell Latitude 7490
Mitzi Ihenyen,Assets,UQX-42299509,EXP00000165,2104,2023-06-22 17:48:00,Customer Support,Pending,,,Asset entry: Lenovo Thinkpad T490,Thinkpad T490
Nadia Wilshire,Assets,LZD-86687971,EXP00000166,4430,2023-11-07 16:35:00,Sales,Declined,,,Asset acquisition - Lenovo Thinkpad T480,Lenovo Thinkpad T480
Valerie Pou,Travel,,EXP00000167,4081,2023-05-30 11:14:00,Customer Support,Pending,,,Automatically generated expense line for purchase of travel-related equipment,Samsonite Travel Luggage
Bertie Luby,Travel,,EXP00000168,1268,2023-11-24 21:33:00,Sales,Declined,,,Travel equipment asset creation,Luggage Tracker Pro
Valerie Pou,Assets,LKE-40888501,EXP00000169,4851,2023-05-27 22:49:00,Customer Support,Processed,,2023-05-28 22:49:00.000000000,Allocation of new system hardware into the infrastructure,Dell Latitude 7490
Howard Johnson,Travel,,EXP00000170,7610,2023-05-06 08:31:00,Sales,Processed,,2023-05-07 08:31:00.000000000,Travel asset inventory,Commercial Airplane
Raphael Bickel,Travel,,EXP00000171,1143,2024-03-14 01:20:00,Sales,Pending,,,Travel accessory - Portable laptop charging unit,TravelMate P6 Series
Vernon Engelman,Assets,RLV-87832604,EXP00000172,6936,2024-02-10 03:23:00,IT,Pending,,,Asset registration for new hardware,Dell Latitude 7490
Carmel Overfelt,Travel,,EXP00000173,2861,2023-06-24 15:11:00,Customer Support,Declined,,,Automated entry for travel equipment purchase,Samsonite Travel Luggage
Viola Mcsorley,Assets,WQV-39760119,EXP00000174,3831,2023-11-27 02:04:00,Customer Support,Processed,,2023-11-28 02:04:00.000000000,Asset assignment for newly procured hardware,Dell Latitude 7400
Virgil Chinni,Assets,JQI-57755491,EXP00000175,4394,2024-02-01 17:29:00,IT,Processed,,2024-02-10 02:17:56.220608268,Newly acquired server hardware,HP ProLiant DL380 Gen10
Howard Johnson,Assets,FVI-72165550,EXP00000176,6634,2023-08-09 15:39:00,Sales,Pending,,,Asset Registered for Office Infrastructure,HP Laptop EliteBook 840
Rachel Larrison,Assets,GWC-14069426,EXP00000177,6654,2023-02-24 04:19:00,Customer Support,Declined,,,Procurement of new desktop workstation,Dell OptiPlex 3070
Leif Bachta,Travel,,EXP00000178,7006,2023-10-09 01:00:00,Sales,Declined,,,Automatically generated expense line for purchase of travel gear,Samsonite Suitcase
Shelley Groden,Assets,KTF-93165753,EXP00000179,6282,2024-03-02 08:55:00,Customer Support,Processed,,2024-03-07 11:15:12.472459430,Automated creation of asset,Dell Latitude 7400
Cyril Behen,Assets,SRW-24778549,EXP00000180,4208,2023-04-07 11:00:00,Development,Processed,,2023-04-11 16:11:31.886249406,Asset acquisition - Dell Workstation 7550,Dell Precision 7550 Workstation
Howard Johnson,Services,OXX-18332267,EXP00000181,1416,2023-06-06 16:19:00,Sales,Declined,,,Asset registered for provision of services,ServiceServer X400
Luella Pliner,Travel,,EXP00000182,5106,2023-02-17 17:33:00,Sales,Processed,,2023-02-18 17:33:00.000000000,Travel related hardware asset,Lenovo ThinkPad X1 Carbon
Marcie Shulz,Travel,,EXP00000183,2809,2023-08-17 22:22:00,Customer Support,Processed,,2023-08-28 15:42:43.980824494,Travel expense for Dell Latitude Laptop purchase,Dell Latitude 7490
Mamie Mcintee,Travel,,EXP00000184,4174,2023-02-21 04:28:00,Product Management,Processed,,2023-02-23 23:18:11.460343958,New Traveler's laptop for field work,Dell Latitude 7420
Raphael Bickel,Services,OTR-70697657,EXP00000185,460,2024-03-27 19:21:00,Sales,Declined,,,Automated generated asset for a Service-based product,Service-Server S200
Marcie Shulz,Services,YYJ-03233374,EXP00000186,1426,2024-01-26 06:23:00,Customer Support,Pending,,,Automatically generated service asset,Corporate VPN Access
Virgil Chinni,Travel,,EXP00000187,3902,2023-10-21 06:40:00,IT,Declined,,,Automatically generated asset line for travel category,Travel Bag Pro
Darrel Tork,Assets,MAT-47001499,EXP00000188,8006,2024-02-19 22:28:00,Customer Support,Declined,,,Proprietary assemblage of office hardware,Dell Inspiron 15
Cristina Sharper,Assets,PZZ-87307182,EXP00000189,7638,2024-01-18 02:08:00,Sales,Processed,,2024-01-30 02:27:01.745981019,Automatically generated expense line for creation of asset,Dell Latitude E6430
Bertie Luby,Assets,HMP-12421801,EXP00000190,2672,2023-04-12 08:17:00,Sales,Processed,,2023-04-13 08:17:00.000000000,Asset registration for new workstation,Dell Precision 7540
Nadia Wilshire,Travel,,EXP00000191,4623,2024-03-03 15:38:00,Sales,Pending,,,Travel Equipment Asset,Suitcase 360 with GPS
Leif Bachta,Assets,ZHA-08649158,EXP00000192,3019,2023-12-12 18:53:00,Sales,Declined,,,Asset creation entry for new server hardware,Dell PowerEdge R340 Rack Server
Sean Bonnet,Services,POF-49389753,EXP00000193,1779,2023-09-24 22:11:00,Customer Support,Processed,,2023-10-01 05:10:10.899154791,Allocation of new ServiceNow platform service,ServiceNow-Cloud-Platform
Janice Twiet,Travel,,EXP00000194,6136,2024-01-31 04:29:00,Customer Support,Processed,,2024-02-04 05:20:41.931100152,Automatically generated expense line for creation of travel asset,Luxury Tour Bus
Misty Ericksen,Assets,NSZ-26251892,EXP00000195,3706,2023-04-17 19:06:00,Customer Support,Processed,,2023-05-06 14:00:21.020165080,Procurement of new Asset: Dell Desktop,Dell Optiplex 3070
Nelly Jakuboski,Travel,,EXP00000196,4868,2023-06-09 11:25:00,Customer Support,Submitted,,,Automatically generated expense line for creation of travel asset,Luggage Trolley 200
Rachel Larrison,Travel,,EXP00000197,1509,2024-04-09 02:47:00,Customer Support,Processed,,2024-04-19 01:56:17.173759575,Travel equipment asset registration,Global GPS Tracker
Rosalie Krigger,Travel,,EXP00000198,4490,2023-04-08 10:55:00,HR,Pending,,,Travel equipment asset creation,Samsonite travel luggage
Marcie Shulz,Assets,RMU-68829259,EXP00000199,4752,2023-07-23 04:11:00,Customer Support,Submitted,,,Asset registration for new hardware,Dell Latitude 3510 Laptop
Ramon Amaral,Assets,OGK-63998986,EXP00000200,8270,2023-11-02 06:18:00,Development,Processed,,2023-11-12 23:05:25.033384366,Asset registration for office equipment,HP EliteDesk 800 G4 Tower PC
Misty Ericksen,Assets,ONH-57438079,EXP00000201,5184,2023-05-28 15:55:00,Customer Support,Declined,,,Asset registration for new office laptop,Dell Latitude 5410
Bertie Luby,Assets,JUK-26152649,EXP00000202,1581,2024-04-01 15:11:00,Sales,Processed,,2024-04-08 05:43:00.665561903,Lenovo ThinkPad P1 added to assets,Lenovo ThinkPad P1 Gen 4
Lacy Hyten,Travel,,EXP00000203,4958,2023-05-19 00:02:00,Sales,Declined,,,New reservation for travel-related hardware,GPS Garmin Navigator 55
Owen Sparacino,Assets,MML-46878400,EXP00000204,5901,2024-04-05 18:19:00,Customer Support,Declined,,,Automatically generated asset for new hardware,Dell Latitude 7490
Zackary Mockus,Assets,DPV-91055496,EXP00000205,4053,2023-03-26 06:19:00,Customer Support,Processed,,2023-03-27 06:19:00.000000000,Automated asset entry for new equipment,Dell Latitude 7490
Rosalie Krigger,Assets,XEN-81293430,EXP00000206,2646,2023-04-03 20:11:00,HR,Processed,,2023-04-04 20:11:00.000000000,Configuration item created for asset,Cisco ASA 5555 Firewall
Helene Iberg,Assets,RCS-32681295,EXP00000207,8898,2024-04-20 20:59:00,IT,Processed,,2024-05-07 09:22:27.531833012,Asset registration for Dell Latitude 7520,Dell Latitude 7520
Rachel Larrison,Services,DTE-53069038,EXP00000208,375,2023-11-20 08:31:00,Customer Support,Processed,,2023-12-02 02:51:40.442020877,Service asset registration,Web Server Service
Sue Haakinson,Travel,,EXP00000209,4750,2024-02-17 13:44:00,Customer Support,Processed,,2024-02-24 06:41:30.795762496,Travel system hardware expense,Lenovo Thinkpad T480
Misty Ericksen,Assets,ELL-53109939,EXP00000210,5658,2023-09-24 18:52:00,Customer Support,Declined,,,Asset creation for office infrastructure,Dell Latitude 7480
Sal Pindell,Travel,,EXP00000211,2228,2023-05-25 18:41:00,Customer Support,Declined,,,Travel equipment asset record,Portable Satellite Phone
Helga Windle,Travel,,EXP00000212,7130,2023-08-11 11:47:00,Customer Support,Processed,,2023-08-29 09:12:09.810339926,Automatically generated travel laptop for corporate use,Dell Latitude Travel Laptop
Rosalie Krigger,Miscellaneous,,EXP00000213,1162,2023-03-11 08:36:00,HR,Declined,,,Addition of Miscellaneous asset to the inventory,Digital Camera Canon EOS 5D
Mitzi Ihenyen,Assets,YXB-67622084,EXP00000214,6414,2023-04-14 09:33:00,Customer Support,Declined,,,Automatically generated asset line for creation of asset,Dell Optiplex 7050
Rosalie Krigger,Travel,,EXP00000215,7143,2023-05-07 18:13:00,HR,Declined,,,Travel equipment asset registration,Portable Travel Adapter
Rob Woodbyrne,Assets,IKH-86002438,EXP00000216,3707,2023-02-01 23:27:00,Sales,Declined,,,Addition of new IT hardware asset,Dell Latitude 3410
Savannah Loffier,Assets,VAX-46260569,EXP00000217,6477,2023-02-08 06:49:00,Sales,Pending,,,Dell Latitude Laptop - E6430 - Asset Registered,Dell Latitude E6430
Karen Zombo,Miscellaneous,,EXP00000218,2237,2024-04-12 01:19:00,Sales,Processed,,2024-04-23 05:26:10.721708651,Asset creation for miscellaneous category,Generic Hardware Device
Rob Woodbyrne,Assets,GQS-46049214,EXP00000219,2345,2023-12-04 17:47:00,Sales,Processed,,2023-12-11 08:46:05.987979367,Automatically generated line for asset acquisition,HP ProBook 440 G7
Mamie Mcintee,Assets,SHV-95078606,EXP00000220,4839,2023-08-24 07:53:00,Product Management,Processed,,2023-08-25 07:53:00.000000000,Dell Optiplex 3080 Desktop Asset,DELLOPTIPLEX3080DT
Ramon Amaral,Assets,QVY-47164831,EXP00000221,7155,2023-12-06 18:47:00,Development,Processed,,2023-12-21 01:42:23.900099235,Asset registration for new equipment,Dell Latitude 5520
Viola Mcsorley,Travel,,EXP00000222,3515,2023-09-16 21:01:00,Customer Support,Processed,,2023-09-27 05:19:10.197345511,Automatically generated expense line for creation of travel equipment,Travel Backpack
Marianne Earman,Assets,HQO-85479415,EXP00000223,5448,2023-04-28 19:30:00,Customer Support,Processed,,2023-05-12 14:49:10.463933517,Asset registration for new equipment,Dell Latitude 7490
Darrel Tork,Assets,CHW-52263036,EXP00000224,6534,2023-07-06 17:22:00,Customer Support,Processed,,2023-07-13 10:55:43.407152464,Dell Laptop Asset Entry,Dell Precision 3520
Savannah Loffier,Assets,EQG-68432198,EXP00000225,2021,2023-05-03 17:01:00,Sales,Declined,,,IT asset purchase for the Operations department,Dell Laptop Latitude 7400
Sadie Rowlett,Assets,TQN-18814525,EXP00000226,2152,2023-12-25 15:15:00,IT,Processed,,2024-01-06 09:17:19.645171473,Automatically generated asset line for Dell Inspiron laptop,Dell Inspiron 15
Ofelia Sheffler,Assets,FGB-94324739,EXP00000227,8671,2024-03-10 01:28:00,Customer Support,Declined,,,IT Generated Hardware Asset Record,Dell Latitude Laptop
Ramon Amaral,Assets,BXK-44449246,EXP00000228,6420,2024-04-04 11:14:00,Development,Pending,,,Automatically generated asset configuration for Dell Laptop,Dell Inspiron 15
Cristina Sharper,Travel,,EXP00000229,3541,2023-12-27 21:18:00,Sales,Pending,,,Travel-related hardware asset record,Lenovo ThinkPad X1 Carbon
Mitzi Ihenyen,Assets,SJS-77510617,EXP00000230,4054,2023-05-16 00:30:00,Customer Support,Processed,,2023-05-17 00:30:00.000000000,HP Workstation Z240,IT Hardware Asset
Nelly Jakuboski,Assets,CJN-03974447,EXP00000231,4398,2023-12-10 16:47:00,Customer Support,Processed,,2023-12-11 16:47:00.000000000,Automated asset registery for new hardware,Dell OptiPlex 7050
Jimmie Kertzman,Assets,APZ-47613362,EXP00000232,1858,2023-11-05 02:44:00,Customer Support,Declined,,,Automated entry for newly procured asset,Dell Latitude 7490
Marcie Shulz,Services,EIN-50193644,EXP00000233,1283,2023-04-12 06:07:00,Customer Support,Processed,,2023-04-17 18:59:36.349716460,Service asset registration,Office365 Subscription
Misty Ericksen,Travel,,EXP00000234,5617,2023-06-26 07:50:00,Customer Support,Declined,,,Automatically generated expense line for travel related asset,Travel Services Processing Unit
Petra Mcnichol,Assets,CJR-04789261,EXP00000235,3587,2023-02-19 20:32:00,Customer Support,Submitted,,,Asset registration for new hardware device,Dell Latitude 7400 Laptop
Marianne Earman,Assets,MAX-10946549,EXP00000236,5922,2023-09-20 02:08:00,Customer Support,Processed,,2023-09-30 20:39:26.012062639,Management of IT Assets,Dell Latitude 7490
Cyril Behen,Miscellaneous,,EXP00000237,4578,2023-04-28 01:38:00,Development,Processed,,2023-05-02 04:50:59.090165941,Acquisition of new miscellaneous hardware unit,Dell XPS 15
Rob Woodbyrne,Assets,OGO-40402566,EXP00000238,5684,2023-08-05 21:34:00,Sales,Processed,,2023-08-06 21:34:00.000000000,Asset management for office computer setup,Dell OptiPlex 780
Luella Pliner,Assets,UAX-60123575,EXP00000239,8560,2023-11-05 22:48:00,Sales,Pending,,,Asset Hardware Addition: Dell Latitude Laptop,Dell Latitude Laptop 5410
Savannah Loffier,Assets,EAD-07415697,EXP00000240,3639,2024-01-09 08:30:00,Sales,Submitted,,,Automatically created record for new hardware asset,Dell Latitude 7490
Janice Twiet,Assets,HJB-06140695,EXP00000241,5128,2023-05-03 22:28:00,Customer Support,Pending,,,Automated entry for hardware asset acquisition,Dell Inspiron 3580
Jimmie Kertzman,Assets,MDJ-05318749,EXP00000242,5345,2023-08-30 14:40:00,Customer Support,Processed,,2023-09-05 17:44:06.537295440,Automated asset entry for company hardware,Dell Latitude 5520
Ramon Amaral,Travel,,EXP00000243,5244,2023-05-28 14:58:00,Development,Declined,,,Automatically generated expense line for creation of Travel Equipment,High-End Portable Projector
Janice Twiet,Assets,FBU-48606202,EXP00000244,3001,2023-06-15 12:16:00,Customer Support,Declined,,,Automatically Generated Record for Hardware Asset Acquisition,Dell Latitude 5420
Bertie Luby,Assets,UPV-35702363,EXP00000245,5730,2023-10-16 03:16:00,Sales,Processed,,2023-10-25 20:51:51.164734122,Generated asset line for configuration item,Dell Latitude 7410
Janice Twiet,Travel,,EXP00000246,3384,2023-02-13 01:48:00,Customer Support,Declined,,,Travel related hardware asset creation,HP EliteBook 840 G7
Savannah Loffier,Miscellaneous,,EXP00000247,2518,2024-01-13 20:10:00,Sales,Pending,,,Asset creation for Miscellaneous equipment,Miscellaneous Office Equipment
Mabel Weeden,Travel,,EXP00000248,6293,2023-10-12 05:49:00,Customer Support,Submitted,,,Travel related configuration item addition,Lenovo ThinkPad X1 Carbon
Nelly Jakuboski,Services,DDT-46965995,EXP00000249,571,2023-06-05 05:57:00,Customer Support,Processed,,2023-06-15 08:56:38.416906709,Automatically generated service line for creation of asset,AWS Cloud Server
Karen Zombo,Assets,IYU-15372710,EXP00000250,3865,2024-02-24 15:48:00,Sales,Submitted,,,"Dell Latitude 3500 Laptop, Asset#12345",Dell Latitude 3500 - Asset#12345
Valerie Pou,Travel,,EXP00000251,5950,2023-07-11 03:22:00,Customer Support,Processed,,2023-07-12 03:22:00.000000000,Travel equipment - GlobalSat BU-353-S4 USB GPS Receiver,GlobalSat BU-353-S4
Luella Pliner,Assets,ANF-87870635,EXP00000252,8377,2023-11-14 01:47:00,Sales,Declined,,,Dell Desktop Workstation Asset Acquisition,Dell Precision 7540
Luella Pliner,Assets,LQG-27444642,EXP00000253,5940,2023-09-16 06:26:00,Sales,Processed,,2023-09-17 06:26:00.000000000,Automatically deployed asset for a Workstation,Dell OptiPlex 7090
Fausto Marks,Travel,,EXP00000254,3668,2024-01-09 11:10:00,Finance,Processed,,2024-01-14 23:24:46.950393157,Travel equipment asset registration,Luggage Trolley 20
Howard Johnson,Assets,ZBW-40264046,EXP00000255,3558,2023-12-22 16:49:00,Sales,Processed,,2023-12-24 21:04:40.906198126,Management record for IT asset allocation,Dell Optiplex 780
Carolina Kinlaw,Travel,,EXP00000256,847,2023-12-12 13:47:00,Sales,Declined,,,Purchase of travel-friendly laptop for remote working,Dell XPS 13
Ramon Amaral,Assets,HLH-69424103,EXP00000257,6840,2023-05-21 06:15:00,Development,Declined,,,Procurement of new hardware asset,Dell Latitude 14
Sue Haakinson,Travel,,EXP00000258,2311,2023-11-23 10:19:00,Customer Support,Pending,,,Automatically generated expense line for Travel category asset,Travel Laptop Dell Latitude 7420
Felipe Mahone,Assets,GOG-09435269,EXP00000259,6531,2024-03-26 20:15:00,Customer Support,Declined,,,Automatic tracking of Dell Latitude E7450,Dell Latitude E7450
Howard Johnson,Travel,,EXP00000260,6737,2023-08-13 13:59:00,Sales,Declined,,,Automatically generated expense line for creation of Travel Kit asset,Travel Package Deluxe
Howard Johnson,Assets,COM-97804181,EXP00000261,1621,2023-04-20 17:42:00,Sales,Declined,,,Asset registration for new server,Dell PowerEdge R740
Cyril Behen,Services,PSQ-05825970,EXP00000262,574,2023-03-15 00:38:00,Development,Processed,,2023-03-29 14:24:02.004939579,Automatically generated service line for creation of asset,Cloud Storage Service
Bertie Luby,Assets,UWU-98346806,EXP00000263,3832,2023-08-14 15:48:00,Sales,Processed,,2023-08-15 15:48:00.000000000,Dell Latitude E7470 laptop added to assets,Dell Latitude E7470
Lacy Hyten,Services,KFA-78225213,EXP00000264,1330,2023-11-10 02:09:00,Sales,Submitted,,,Provision of Managed IT Services,Managed IT Services
Ofelia Sheffler,Travel,,EXP00000265,6836,2024-02-23 16:47:00,Customer Support,Declined,,,Travel expense for employee laptop upgrade,Dell Latitude 7400
Forest Orea,Travel,,EXP00000266,5790,2024-04-16 14:33:00,IT,Declined,,,Travel related asset creation,Company-provided suitcase
Savannah Loffier,Assets,WFM-79405096,EXP00000267,8447,2023-02-13 00:43:00,Sales,Submitted,,,New asset recorded: Dell XPS 15,Desktop PC Dell XPS 15
Vernon Engelman,Travel,,EXP00000268,4807,2024-03-09 17:41:00,IT,Processed,,2024-03-28 10:14:50.470755198,Travel equipment asset,Travel Case Pro
Lynda Caraway,Assets,PIS-60526636,EXP00000269,6728,2024-03-30 14:09:00,Customer Support,Pending,,,Newly procured Dell desktop workstation,Dell OptiPlex 3060
Melody Saddat,Assets,MUL-75532540,EXP00000270,2689,2023-05-08 01:27:00,Sales,Submitted,,,HP Envy Laptop Asset Record,HP Envy 13
Marcie Shulz,Assets,LWC-53636590,EXP00000271,4024,2024-04-11 08:31:00,Customer Support,Processed,,2024-04-14 04:00:14.692139266,Asset registration for company hardware,Dell Latitude 7490
Karen Zombo,Travel,,EXP00000272,3557,2023-03-03 21:28:00,Sales,Submitted,,,Expense for business travel equipment,Dell Latitude 7410 Travel Laptop
Vernon Engelman,Assets,ZEV-10090800,EXP00000273,5403,2023-07-04 16:48:00,IT,Processed,,2023-07-12 13:43:41.941581137,Newly purchased Dell server for IT department,Dell PowerEdge R740
Forest Orea,Assets,EED-29551767,EXP00000274,8638,2023-08-27 10:04:00,IT,Processed,,2023-08-28 10:04:00.000000000,Asset ingress for new hardware item,Dell Latitude 7490
Howard Johnson,Assets,TPB-89872186,EXP00000275,4173,2023-08-02 02:00:00,Sales,Processed,,2023-08-05 04:03:54.298365711,IT hardware asset registration,Dell Optiplex 7050 Desktop
Leif Bachta,Assets,ENX-01087276,EXP00000276,4616,2023-02-08 03:08:00,Sales,Pending,,,Acquisition of new servers,Dell PowerEdge R740
Carmel Overfelt,Assets,MSD-34467434,EXP00000277,6357,2023-09-28 06:13:00,Customer Support,Processed,,2023-10-11 11:40:58.001946436,Automated record for asset creation,Dell OptiPlex 7060
Jimmie Kertzman,Miscellaneous,,EXP00000278,3400,2023-07-14 04:49:00,Customer Support,Processed,,2023-08-03 05:23:38.918476537,Miscellaneous hardware asset item,"Random Access Memory, 16GB DDR4"
Howard Johnson,Miscellaneous,,EXP00000279,4318,2023-05-25 21:33:00,Sales,Processed,,2023-06-03 10:10:57.501683080,Ordering of miscellaneous hardware assets,Miscellaneous IT Equipment
Helene Iberg,Travel,,EXP00000280,2324,2023-12-22 05:44:00,IT,Processed,,2023-12-23 05:44:00.000000000,Expenses incurred during business travel,Travel Expense Management
Raphael Bickel,Travel,,EXP00000281,7016,2023-08-08 05:09:00,Sales,Declined,,,Travel related asset,GPS Device
Wilfredo Gidley,Services,ENK-84232865,EXP00000282,1369,2023-02-13 03:16:00,Customer Support,Processed,,2023-02-19 19:18:56.563208793,Automatically generated service line for creation of asset,Cloud Service Provider
Nadia Wilshire,Assets,NAF-92949300,EXP00000283,6141,2024-02-22 04:28:00,Sales,Processed,,2024-02-23 04:28:00.000000000,Asset entry: Dell Precision 5550 Laptop,Dell_Precision_5550
Essie Vaill,Travel,,EXP00000284,7638,2023-08-18 10:43:00,Sales,Processed,,2023-08-24 19:20:28.368050503,Travel Expense related to hardware purchase,Dell Laptop Model 3521
Mitzi Ihenyen,Assets,AXQ-23103294,EXP00000285,6044,2024-02-17 11:54:00,Customer Support,Declined,,,Automatically generated asset update for device change,Dell Latitude 7410
Viola Mcsorley,Assets,YZL-67520491,EXP00000286,3558,2024-04-25 05:01:00,Customer Support,Processed,,2024-04-26 05:01:00.000000000,Dell Latitude laptop added to hardware assets,Dell Latitude E7470
Germaine Bruski,Travel,,EXP00000287,5514,2023-08-16 12:48:00,Finance,Processed,,2023-08-24 22:07:58.643331449,Travel equipment asset registration,Travel Bag Pro 20
Helene Iberg,Assets,RMD-53047857,EXP00000288,3040,2023-10-31 18:16:00,IT,Processed,,2023-11-01 18:16:00.000000000,Asset Registration: Dell Optiplex Desktop,Dell Optiplex 5070
Felipe Mahone,Assets,TIA-53104075,EXP00000289,7417,2023-06-02 12:55:00,Customer Support,Processed,,2023-06-19 04:14:48.935285259,Addition of new hardware asset,Dell Latitude 7410
Helene Iberg,Assets,RQH-55795250,EXP00000290,8408,2023-03-18 04:27:00,IT,Submitted,,,Asset registration for Dell OptiPlex 9020,Dell OptiPlex 9020
Owen Sparacino,Assets,HFO-20133918,EXP00000291,4349,2023-06-05 00:34:00,Customer Support,Processed,,2023-06-21 03:49:33.794467792,Asset registration for company hardware,Dell Latitude 5400
Melody Saddat,Services,TDR-37082659,EXP00000292,935,2023-09-01 01:04:00,Sales,Pending,,,Provision of managed IT services,Enterprise Cloud Service
Cyril Behen,Travel,,EXP00000293,6094,2023-08-29 06:49:00,Development,Declined,,,Automatically generated expense line for acquisition of travel equipment,Travel Laptop Dell Precision 7550
Germaine Bruski,Assets,WOM-89266578,EXP00000294,4908,2024-01-14 13:24:00,Finance,Processed,,2024-01-30 14:09:11.496058900,New Hardware Asset Added - Dell Inspiron Desktop,Dell Inspiron 5675
Janice Twiet,Services,QEA-20174088,EXP00000295,158,2024-02-20 08:52:00,Customer Support,Submitted,,,Service-related hardware asset,Cloud Server Instance XJ12
Bertie Luby,Assets,DBJ-86394407,EXP00000296,5672,2023-09-12 07:52:00,Sales,Submitted,,,Purchase of high-end desktop unit,Dell OptiPlex 7080
Janice Twiet,Travel,,EXP00000297,2360,2023-03-06 07:12:00,Customer Support,Processed,,2023-03-09 23:41:18.591883328,Travel budget allocated for business trips,Flight Ticket
Zackary Mockus,Travel,,EXP00000298,1070,2023-09-03 10:35:00,Customer Support,Processed,,2023-09-04 13:30:41.895145471,Travel expense for new laptop purchase,Dell Latitude E7470
Shelley Groden,Assets,CDG-28378969,EXP00000299,2052,2023-08-23 01:44:00,Customer Support,Processed,,2023-09-02 08:46:25.853653539,Creation of new asset,Dell Latitude 7420
Shelley Groden,Assets,EEW-26928594,EXP00000300,1837,2024-04-16 19:52:00,Customer Support,Processed,,2024-04-17 21:27:15.925164856,Automatically generated hardware asset line for creation of asset,Dell Latitude 7410
Nelly Jakuboski,Assets,JDI-95313348,EXP00000301,3974,2024-03-22 12:59:00,Customer Support,Processed,,2024-03-25 17:46:05.866702268,Automatically generated entry for new asset addition,Dell XPS 13
Felipe Mahone,Travel,,EXP00000302,5731,2023-04-02 01:49:00,Customer Support,Processed,,2023-04-13 02:05:14.601802466,Travel related hardware acquisition,TravelMate P2 Laptop
Zackary Mockus,Travel,,EXP00000303,723,2024-03-04 20:16:00,Customer Support,Processed,,2024-03-05 20:16:00.000000000,Travel Equipment Purchase,Dell Latitude 3400
Carmel Overfelt,Assets,HOG-49962048,EXP00000304,6190,2024-02-07 05:39:00,Customer Support,Processed,,2024-02-08 05:39:00.000000000,Automatically generated entry for asset registration,HP Elitebook 850
Viola Mcsorley,Travel,,EXP00000305,3139,2023-05-14 06:35:00,Customer Support,Declined,,,Expense occurred during travel for purchasing of asset,Travel Suitcase
Janice Twiet,Travel,,EXP00000306,586,2023-10-05 14:19:00,Customer Support,Declined,,,Travel Equipment Reservation,Traveler's Laptop L340
Mamie Mcintee,Assets,GVX-76923902,EXP00000307,6102,2023-08-28 09:49:00,Product Management,Processed,,2023-08-30 16:31:27.377684156,Managed hardware asset: Dell Latitude 5490,Asset-DL5490-123456
Carmel Overfelt,Services,WCE-48796053,EXP00000308,1586,2023-05-04 12:44:00,Customer Support,Processed,,2023-05-05 12:44:00.000000000,Service related hardware asset configuration,MS Azure Cloud Service
Lacy Hyten,Travel,,EXP00000309,2668,2024-03-14 23:41:00,Sales,Processed,,2024-03-23 08:38:55.777278021,Travel related hardware asset,Dell Latitude 7410 Travel Laptop
Shelley Groden,Miscellaneous,,EXP00000310,4801,2023-08-09 16:53:00,Customer Support,Processed,,2023-08-10 16:53:00.000000000,Provision of Miscellaneous Hardware Asset,Epson WorkForce WF-100
Nadia Wilshire,Miscellaneous,,EXP00000311,141,2023-11-04 14:10:00,Sales,Processed,,2023-11-05 14:10:00.000000000,Miscellaneous hardware component registered,Wireless Mouse Model XZ13
Marianne Earman,Travel,,EXP00000312,5063,2023-04-05 09:18:00,Customer Support,Processed,,2023-04-18 12:55:55.044421360,Travel category asset generation,Business Travel Equipment
Nelly Jakuboski,Assets,EEE-12407077,EXP00000313,4809,2023-11-06 18:44:00,Customer Support,Processed,,2023-11-18 05:36:43.537120048,Automatically registered new server asset,Dell PowerEdge R740
Mamie Mcintee,Travel,,EXP00000314,3240,2023-08-14 00:17:00,Product Management,Processed,,2023-08-15 00:17:00.000000000,Travel related hardware asset,Portable GPS Navigator
Helga Windle,Assets,DMJ-86450293,EXP00000315,1910,2024-02-25 03:07:00,Customer Support,Pending,,,Asset allocation for new employee,Lenovo Thinkpad X1
Savannah Loffier,Assets,KJN-84660228,EXP00000316,1591,2023-09-22 19:55:00,Sales,Processed,,2023-10-12 02:03:30.353350059,Automated asset record for new hardware purchase,Dell Optiplex 780 Desktop PC
Rob Woodbyrne,Assets,WTY-43322268,EXP00000317,2355,2023-02-23 09:32:00,Sales,Declined,,,Managed hardware asset added to inventory,Dell Latitude 5501 Asset
