category,state,closed_at,opened_at,closed_by,number,sys_updated_by,location,assigned_to,caller_id,sys_updated_on,short_description,priority,assignement_group,amount,processed_time,department
Assets,Processed,2023-11-23 15:56:17.027339265,2023-04-11 11:50:00,Charlie Whitherspoon,INC0000000077,admin,Europe,Charlie Whitherspoon,ITIL User,2023-05-10 23:55:09.253391223,There was an issue,3 - Moderate,Network,78426,3,Customer Support
Travel,Resolved,2023-08-11 14:17:08.329647264,2023-04-12 09:52:00,Luke Wilson,INC0000000103,admin,Asia,Luke Wilson,ITIL User,2023-10-07 15:02:09.446606967,There was an issue,2 - High,Inquiry / Help,34013,60,Product Management
Miscellaneous,Processed,2023-03-29 18:40:47.611595618,2023-04-12 12:13:00,Howard Johnson,INC0000000055,employee,Asia,Beth Anglin,Don Goodliffe,2023-05-14 06:26:59.910015516,There was an issue,2 - High,Hardware,11683,18,Sales
Services,Closed,2023-12-15 17:24:42.185263024,2023-04-13 10:00:00,Luke Wilson,INC0000000141,admin,North America,Charlie Whitherspoon,Bud Richman,2023-04-25 00:40:17.584686390,There was an issue,2 - High,Network,90774,31,Product Management
Travel,Resolved,2023-09-30 03:37:15.453671612,2023-04-14 23:54:00,Beth Anglin,INC0000000479,employee,North America,Charlie Whitherspoon,Don Goodliffe,2023-11-02 21:31:23.289304071,There was an issue,1 - Critical,Network,59818,0,IT
Travel,Processed,2023-10-14 07:51:41.450443462,2023-04-15 11:57:00,Howard Johnson,INC0000000267,employee,Africa,Fred Luddy,Bud Richman,2023-03-31 07:59:26.909209525,There was an issue,3 - Moderate,Software,28258,98,Customer Support
Miscellaneous,Processed,2023-07-09 14:14:29.904659016,2023-04-18 16:48:00,Howard Johnson,INC0000000295,admin,Europe,Howard Johnson,Don Goodliffe,2023-12-15 17:24:42.185263024,There was an issue,1 - Critical,Network,70999,95,Product Management
Assets,Closed,2023-09-26 02:31:00.000000000,2023-04-18 19:22:00,Fred Luddy,INC0000000469,employee,North America,Beth Anglin,David Loo,2023-02-16 16:49:49.770102240,There was an issue,3 - Moderate,Inquiry / Help,66261,14,Sales
Assets,Processed,2023-10-14 10:07:06.909703281,2023-04-18 22:20:00,Beth Anglin,INC0000000393,system,North America,Charlie Whitherspoon,ITIL User,2023-03-18 07:40:00.000000000,There was an issue,3 - Moderate,Software,95565,30,Customer Support
Assets,Resolved,2023-12-22 14:45:04.366600219,2023-04-19 07:07:00,Charlie Whitherspoon,INC0000000385,employee,North America,Howard Johnson,ITIL User,2023-10-03 01:05:00.000000000,There was an issue,4 - Low,Software,64690,59,Sales
Services,Processed,2023-04-09 09:12:14.485573467,2023-04-19 14:41:00,Luke Wilson,INC0000000309,system,South America,Fred Luddy,Don Goodliffe,2023-02-19 01:46:00.000000000,There was an issue,1 - Critical,Software,39327,60,Finance
Miscellaneous,Resolved,2023-10-05 10:37:47.028545047,2023-04-20 22:34:00,Beth Anglin,INC0000000333,system,Europe,Howard Johnson,Don Goodliffe,2023-02-16 22:50:20.255626998,There was an issue,3 - Moderate,Network,45794,30,Finance
Assets,Resolved,2023-12-17 00:37:06.937192986,2023-04-21 03:46:00,Luke Wilson,INC0000000446,admin,South America,Beth Anglin,David Loo,2023-05-18 20:30:00.000000000,There was an issue,2 - High,Software,22306,61,HR
Assets,Resolved,2023-08-30 13:49:54.648995923,2023-04-21 08:13:00,Luke Wilson,INC0000000174,employee,Africa,Charlie Whitherspoon,David Loo,2023-12-05 02:10:03.357753705,There was an issue,3 - Moderate,Inquiry / Help,23753,16,Product Management
Services,Closed,2023-11-29 19:40:37.040547419,2023-04-21 17:22:00,Beth Anglin,INC0000000015,system,Asia,Charlie Whitherspoon,Bud Richman,2023-01-20 14:37:18.361510788,There was an issue,2 - High,Database,12092,69,Development
Services,Resolved,2023-02-25 02:41:07.264125204,2023-04-22 10:55:00,Charlie Whitherspoon,INC0000000382,system,Asia,Fred Luddy,Don Goodliffe,2023-02-18 06:02:38.010888088,There was an issue,2 - High,Network,23045,67,Product Management
Assets,Closed,2023-10-27 12:35:42.247430186,2023-04-23 21:20:00,Howard Johnson,INC0000000205,admin,North America,Fred Luddy,David Loo,2023-06-11 09:48:35.368342810,There was an issue,4 - Low,Hardware,48917,0,IT
Travel,Processed,2023-04-08 08:46:45.358954276,2023-04-27 03:25:00,Howard Johnson,INC0000000269,employee,Africa,Charlie Whitherspoon,Bud Richman,2023-09-30 03:37:15.453671612,There was an issue,2 - High,Network,16218,70,HR
Miscellaneous,Resolved,2023-04-04 09:15:27.409492338,2023-04-27 10:45:00,Fred Luddy,INC0000000298,employee,Asia,Fred Luddy,ITIL User,2023-05-12 02:21:34.844909705,There was an issue,1 - Critical,Inquiry / Help,13452,46,HR
Travel,Resolved,2023-06-28 14:05:28.538482547,2023-04-28 01:24:00,Charlie Whitherspoon,INC0000000130,admin,Europe,Beth Anglin,David Loo,2023-10-18 20:50:35.137819655,There was an issue,1 - Critical,Hardware,31701,14,Development
Services,Resolved,2023-08-13 06:41:18.526534971,2023-04-30 00:53:00,Fred Luddy,INC0000000160,system,Africa,Beth Anglin,Don Goodliffe,2024-01-13 07:11:07.585466982,There was an issue,4 - Low,Inquiry / Help,13849,81,Finance
Services,Resolved,2023-01-24 18:39:21.848415555,2023-05-02 14:34:00,Howard Johnson,INC0000000285,admin,Asia,Howard Johnson,ITIL User,2023-08-24 03:39:08.172397201,There was an issue,4 - Low,Network,18922,0,IT
Services,Processed,2024-01-21 17:52:21.410495977,2023-05-02 15:01:00,Beth Anglin,INC0000000137,system,South America,Beth Anglin,David Loo,2023-11-03 11:52:00.000000000,There was an issue,2 - High,Network,33347,0,IT
Services,Closed,2023-08-19 00:17:36.874122878,2023-05-03 04:24:00,Fred Luddy,INC0000000042,employee,Europe,Howard Johnson,ITIL User,2023-01-17 04:28:00.000000000,There was an issue,3 - Moderate,Inquiry / Help,77115,36,Product Management
Travel,Resolved,2023-06-07 15:04:30.359478777,2023-05-03 21:57:00,Charlie Whitherspoon,INC0000000056,system,South America,Fred Luddy,Don Goodliffe,2023-08-02 04:32:04.560171158,There was an issue,1 - Critical,Software,31018,0,IT
Services,Resolved,2023-11-07 11:30:00.000000000,2023-05-04 13:17:00,Luke Wilson,INC0000000175,system,North America,Fred Luddy,ITIL User,2023-10-02 04:18:49.766694358,There was an issue,1 - Critical,Inquiry / Help,72479,8,Sales
Assets,Closed,2024-01-03 16:45:19.710278908,2023-05-05 07:09:00,Beth Anglin,INC0000000000,admin,Europe,Fred Luddy,Don Goodliffe,2024-01-09 12:37:13.292569926,There was an issue,4 - Low,Database,51610,75,Finance
Services,Resolved,2023-02-19 01:46:00.000000000,2023-05-05 20:05:00,Fred Luddy,INC0000000184,admin,South America,Howard Johnson,Don Goodliffe,2023-06-30 06:01:54.007909417,There was an issue,3 - Moderate,Software,59420,40,Product Management
Miscellaneous,Resolved,2023-02-28 16:37:00.000000000,2023-05-05 20:26:00,Beth Anglin,INC0000000388,system,Africa,Howard Johnson,David Loo,2023-09-22 13:11:16.460337579,There was an issue,4 - Low,Network,26681,14,Product Management
Assets,Resolved,2023-03-11 09:09:00.000000000,2023-05-05 22:24:00,Luke Wilson,INC0000000149,employee,Asia,Beth Anglin,Don Goodliffe,2023-02-03 19:29:33.426983106,There was an issue,1 - Critical,Inquiry / Help,13017,47,Finance
Travel,Resolved,2023-10-03 01:05:00.000000000,2023-05-07 09:01:00,Luke Wilson,INC0000000250,admin,North America,Beth Anglin,Bud Richman,2023-12-06 21:57:38.764148014,There was an issue,3 - Moderate,Software,74246,42,Sales
Travel,Closed,2023-01-03 11:04:00.000000000,2023-05-07 11:12:00,Luke Wilson,INC0000000317,admin,Asia,Fred Luddy,Bud Richman,2023-09-13 00:09:56.020598186,There was an issue,1 - Critical,Hardware,27849,40,Finance
Travel,Resolved,2023-04-19 16:48:00.000000000,2023-05-07 12:05:00,Charlie Whitherspoon,INC0000000302,system,Europe,Luke Wilson,David Loo,2024-01-14 00:18:47.213476730,There was an issue,1 - Critical,Hardware,56424,94,Sales
Assets,Closed,2023-02-16 16:49:49.770102240,2023-05-12 06:51:00,Howard Johnson,INC0000000249,system,Europe,Beth Anglin,David Loo,2023-07-23 16:38:46.547163481,There was an issue,1 - Critical,Software,48573,0,IT
Travel,Resolved,2023-02-24 12:26:03.066179768,2023-05-12 11:38:00,Charlie Whitherspoon,INC0000000185,admin,South America,Howard Johnson,David Loo,2023-08-19 00:17:36.874122878,There was an issue,1 - Critical,Inquiry / Help,22314,61,HR
Assets,Resolved,2023-10-10 20:23:44.798714886,2023-05-13 02:54:00,Luke Wilson,INC0000000466,system,North America,Beth Anglin,Bud Richman,2023-05-30 02:59:49.369927031,There was an issue,2 - High,Software,66489,61,Finance
Miscellaneous,Closed,2023-08-18 23:36:22.191419882,2023-05-13 10:11:00,Howard Johnson,INC0000000404,system,Asia,Beth Anglin,David Loo,2023-06-04 09:17:41.184530679,There was an issue,4 - Low,Hardware,15989,0,IT
Assets,Resolved,2023-05-22 23:24:00.000000000,2023-05-14 11:45:00,Howard Johnson,INC0000000106,admin,North America,Luke Wilson,Bud Richman,2023-12-27 23:15:06.590296403,There was an issue,3 - Moderate,Hardware,85997,65,Product Management
Miscellaneous,Processed,2024-01-09 12:37:13.292569926,2023-05-17 20:30:00,Howard Johnson,INC0000000275,system,Africa,Fred Luddy,Bud Richman,2023-03-03 22:24:21.666904166,There was an issue,3 - Moderate,Database,15074,12,Finance
Miscellaneous,Closed,2023-01-13 03:44:31.383066130,2023-05-18 07:29:00,Fred Luddy,INC0000000274,employee,Asia,Charlie Whitherspoon,ITIL User,2023-04-22 08:16:59.883429480,There was an issue,3 - Moderate,Network,17128,82,HR
Services,Processed,2023-01-28 04:52:51.519667192,2023-05-18 17:29:00,Beth Anglin,INC0000000199,employee,Asia,Fred Luddy,Don Goodliffe,2023-03-29 09:27:22.091188363,There was an issue,4 - Low,Database,15185,56,Finance
Miscellaneous,Resolved,2023-10-12 19:50:00.000000000,2023-05-18 22:32:00,Howard Johnson,INC0000000370,employee,South America,Howard Johnson,Don Goodliffe,2023-01-18 08:42:15.759148193,There was an issue,3 - Moderate,Software,23158,42,HR
Services,Resolved,2023-05-03 23:18:07.556497402,2023-05-19 04:05:00,Charlie Whitherspoon,INC0000000397,admin,Africa,Fred Luddy,David Loo,2023-06-29 19:11:43.933822843,There was an issue,4 - Low,Network,14342,91,Sales
Travel,Processed,2023-07-25 23:13:55.734880101,2023-05-20 06:12:00,Howard Johnson,INC0000000488,admin,Africa,Luke Wilson,ITIL User,2023-06-15 22:13:18.416949743,There was an issue,2 - High,Network,30684,84,Product Management
Miscellaneous,Processed,2023-10-08 04:30:10.854895991,2023-05-21 05:49:00,Charlie Whitherspoon,INC0000000140,admin,Africa,Fred Luddy,Don Goodliffe,2023-06-12 02:12:20.844915289,There was an issue,1 - Critical,Software,29935,5,Sales
Services,Closed,2023-12-15 03:54:00.000000000,2023-05-21 23:24:00,Luke Wilson,INC0000000281,system,Europe,Howard Johnson,ITIL User,2023-02-25 02:41:07.264125204,There was an issue,3 - Moderate,Software,30335,13,Development
Services,Resolved,2023-05-24 07:52:48.690310999,2023-05-22 01:22:00,Luke Wilson,INC0000000448,employee,South America,Beth Anglin,David Loo,2023-11-19 08:35:26.721892000,There was an issue,4 - Low,Network,36847,54,Finance
Assets,Closed,2023-11-03 11:52:00.000000000,2023-05-24 02:06:00,Charlie Whitherspoon,INC0000000284,system,Africa,Fred Luddy,Bud Richman,2023-04-24 02:25:13.899200115,There was an issue,4 - Low,Database,18660,60,HR
Miscellaneous,Processed,2023-03-30 05:18:20.748165094,2023-05-24 03:55:00,Howard Johnson,INC0000000413,employee,South America,Fred Luddy,Bud Richman,2023-05-19 09:53:34.982040620,There was an issue,4 - Low,Hardware,35804,4,Sales
Assets,Closed,2023-09-01 14:19:29.165134519,2023-05-26 08:08:00,Howard Johnson,INC0000000008,system,Africa,Howard Johnson,Bud Richman,2023-02-18 11:04:04.387140839,There was an issue,1 - Critical,Inquiry / Help,17529,87,Development
Assets,Closed,2023-10-02 04:18:49.766694358,2023-05-26 13:20:00,Howard Johnson,INC0000000409,employee,Europe,Beth Anglin,Don Goodliffe,2023-08-18 23:36:22.191419882,There was an issue,4 - Low,Network,40506,60,Sales
Travel,Closed,2023-05-12 02:21:34.844909705,2023-05-27 08:38:00,Beth Anglin,INC0000000494,admin,North America,Luke Wilson,ITIL User,2023-10-12 19:50:00.000000000,There was an issue,3 - Moderate,Hardware,53330,0,IT
Miscellaneous,Processed,2024-01-14 00:18:47.213476730,2023-05-27 21:00:00,Luke Wilson,INC0000000116,employee,Asia,Luke Wilson,David Loo,2023-04-16 00:36:30.146701781,There was an issue,1 - Critical,Hardware,36727,64,Product Management
Miscellaneous,Processed,2023-03-05 04:00:53.829740603,2023-05-28 13:25:00,Luke Wilson,INC0000000147,admin,South America,Charlie Whitherspoon,Bud Richman,2023-11-07 22:41:41.858766805,There was an issue,2 - High,Database,52388,84,Customer Support
Miscellaneous,Resolved,2023-11-04 00:17:56.334785377,2023-05-29 04:20:00,Beth Anglin,INC0000000198,system,Africa,Charlie Whitherspoon,ITIL User,2023-10-29 06:16:49.729720000,There was an issue,2 - High,Inquiry / Help,10548,15,Sales
Miscellaneous,Closed,2023-06-19 06:59:02.120925069,2023-05-30 09:43:00,Beth Anglin,INC0000000112,employee,South America,Beth Anglin,ITIL User,2023-08-13 06:44:24.424288482,There was an issue,3 - Moderate,Software,40214,98,Product Management
Services,Closed,2023-07-31 00:33:13.437296119,2023-05-30 09:56:00,Howard Johnson,INC0000000054,employee,Asia,Luke Wilson,David Loo,2023-01-09 08:53:00.000000000,There was an issue,2 - High,Database,23262,93,Product Management
Travel,Resolved,2023-03-17 12:55:54.993590364,2023-06-01 00:47:00,Beth Anglin,INC0000000241,employee,South America,Howard Johnson,Bud Richman,2023-01-11 01:17:39.128189467,There was an issue,4 - Low,Network,23490,0,IT
Travel,Processed,2023-10-18 20:50:35.137819655,2023-06-01 13:13:00,Luke Wilson,INC0000000036,admin,Africa,Beth Anglin,David Loo,2023-05-31 03:23:19.484544434,There was an issue,3 - Moderate,Network,23964,31,Customer Support
Services,Resolved,2023-05-10 23:55:09.253391223,2023-06-02 12:28:00,Howard Johnson,INC0000000289,employee,Asia,Luke Wilson,David Loo,2024-01-10 15:38:48.582320090,There was an issue,4 - Low,Inquiry / Help,29297,82,Product Management
Services,Closed,2023-04-13 15:50:15.123078287,2023-06-02 22:47:00,Fred Luddy,INC0000000286,employee,Asia,Beth Anglin,Don Goodliffe,2023-06-07 21:23:00.000000000,There was an issue,2 - High,Hardware,16425,95,HR
Miscellaneous,Processed,2023-07-26 01:50:52.068385147,2023-06-03 10:45:00,Fred Luddy,INC0000000460,employee,Europe,Howard Johnson,Don Goodliffe,2023-09-23 18:17:16.716938240,There was an issue,4 - Low,Software,47827,33,HR
Travel,Resolved,2024-01-20 12:12:40.568716377,2023-06-03 12:39:00,Charlie Whitherspoon,INC0000000292,employee,Africa,Charlie Whitherspoon,Don Goodliffe,2023-09-16 11:23:21.172473709,There was an issue,1 - Critical,Inquiry / Help,10890,29,Finance
Travel,Processed,2023-09-20 20:58:46.751153395,2023-06-04 15:09:00,Beth Anglin,INC0000000125,system,North America,Fred Luddy,ITIL User,2023-09-27 06:11:00.000000000,There was an issue,3 - Moderate,Network,84551,26,Customer Support
Assets,Closed,2023-10-10 08:31:35.983826188,2023-06-04 21:23:00,Luke Wilson,INC0000000264,employee,North America,Luke Wilson,ITIL User,2023-09-03 18:58:33.803118210,There was an issue,1 - Critical,Hardware,45195,0,IT
Travel,Resolved,2023-10-27 01:49:16.402277796,2023-06-05 08:20:00,Howard Johnson,INC0000000225,admin,Asia,Luke Wilson,Bud Richman,2023-08-20 02:50:00.481014067,There was an issue,1 - Critical,Hardware,19079,46,HR
Miscellaneous,Processed,2023-04-30 20:00:34.805177671,2023-06-06 09:03:00,Howard Johnson,INC0000000144,system,North America,Howard Johnson,ITIL User,2023-02-03 19:14:44.970166482,There was an issue,2 - High,Hardware,59414,0,IT
Services,Processed,2023-12-14 20:37:19.388113353,2023-06-06 21:23:00,Beth Anglin,INC0000000268,system,South America,Fred Luddy,Bud Richman,2023-04-14 10:00:00.000000000,There was an issue,3 - Moderate,Database,43704,94,Customer Support
Services,Closed,2023-08-04 04:46:10.581661057,2023-06-07 02:47:00,Luke Wilson,INC0000000213,system,Africa,Fred Luddy,Bud Richman,2023-04-26 00:28:50.913657583,There was an issue,2 - High,Network,15456,77,Development
Travel,Processed,2023-03-26 11:10:50.949076210,2023-06-07 15:24:00,Fred Luddy,INC0000000496,employee,North America,Luke Wilson,Bud Richman,2023-11-04 00:17:56.334785377,There was an issue,4 - Low,Software,45039,0,IT
Services,Resolved,2023-10-14 14:32:43.560111853,2023-06-07 17:00:00,Fred Luddy,INC0000000347,system,North America,Luke Wilson,ITIL User,2023-08-22 19:11:00.000000000,There was an issue,3 - Moderate,Inquiry / Help,93767,8,Product Management
Travel,Resolved,2023-04-26 00:28:50.913657583,2023-06-08 18:44:00,Charlie Whitherspoon,INC0000000059,employee,Africa,Fred Luddy,Bud Richman,2023-08-10 06:30:11.927271898,There was an issue,4 - Low,Network,13599,34,Sales
Travel,Resolved,2023-07-10 23:00:15.709745176,2023-06-08 22:05:00,Fred Luddy,INC0000000301,admin,Europe,Luke Wilson,Don Goodliffe,2023-10-10 08:31:35.983826188,There was an issue,4 - Low,Network,43858,32,Development
Services,Closed,2023-08-07 09:44:00.000000000,2023-06-09 08:53:00,Charlie Whitherspoon,INC0000000330,employee,South America,Fred Luddy,ITIL User,2023-01-03 11:04:00.000000000,There was an issue,3 - Moderate,Inquiry / Help,29343,0,IT
Miscellaneous,Closed,2024-01-19 09:54:00.000000000,2023-06-10 17:52:00,Charlie Whitherspoon,INC0000000064,employee,Europe,Charlie Whitherspoon,Don Goodliffe,2023-03-17 15:33:56.380678280,There was an issue,2 - High,Network,51660,93,Sales
Miscellaneous,Resolved,2023-11-08 06:15:25.825398065,2023-06-10 20:44:00,Fred Luddy,INC0000000133,admin,South America,Luke Wilson,Bud Richman,2023-10-21 05:30:42.585855096,There was an issue,4 - Low,Database,30442,0,IT
Miscellaneous,Resolved,2023-11-24 06:22:46.772217434,2023-06-11 07:00:00,Beth Anglin,INC0000000344,employee,North America,Luke Wilson,Bud Richman,2023-07-26 17:51:52.767336231,There was an issue,4 - Low,Inquiry / Help,79636,99,Finance
Miscellaneous,Closed,2024-02-01 06:07:10.554650244,2023-06-14 04:06:00,Beth Anglin,INC0000000356,employee,Europe,Fred Luddy,Don Goodliffe,2023-05-06 22:24:00.000000000,There was an issue,4 - Low,Database,49364,97,Finance
Assets,Resolved,2023-11-20 14:15:29.239228781,2023-06-15 07:56:00,Charlie Whitherspoon,INC0000000121,system,South America,Charlie Whitherspoon,ITIL User,2024-02-01 12:40:26.195788814,There was an issue,2 - High,Software,47000,65,Product Management
Assets,Resolved,2023-10-24 10:20:11.744461099,2023-06-19 10:41:00,Luke Wilson,INC0000000398,admin,South America,Fred Luddy,Bud Richman,2023-05-24 09:29:18.509870284,There was an issue,4 - Low,Inquiry / Help,26710,48,HR
Travel,Closed,2023-03-01 04:41:50.658060449,2023-06-19 11:21:00,Charlie Whitherspoon,INC0000000062,system,Africa,Fred Luddy,Bud Richman,2023-11-19 13:31:44.558204717,There was an issue,4 - Low,Hardware,13548,66,Development
Assets,Resolved,2023-05-14 08:03:47.192602517,2023-06-19 12:22:00,Howard Johnson,INC0000000310,admin,Africa,Fred Luddy,David Loo,2024-01-31 02:23:56.445975993,There was an issue,3 - Moderate,Software,13985,15,Development
Services,Processed,2023-05-30 11:21:04.259433606,2023-06-19 13:59:00,Howard Johnson,INC0000000251,admin,Africa,Howard Johnson,Don Goodliffe,2023-07-22 05:03:13.822074451,There was an issue,2 - High,Network,34107,87,Product Management
Miscellaneous,Resolved,2023-02-17 00:34:25.927389861,2023-06-21 19:04:00,Luke Wilson,INC0000000145,system,Africa,Charlie Whitherspoon,Bud Richman,2023-10-08 05:16:54.012585598,There was an issue,2 - High,Inquiry / Help,14724,24,HR
Miscellaneous,Processed,2023-09-22 21:14:00.000000000,2023-06-22 17:34:00,Charlie Whitherspoon,INC0000000265,employee,North America,Charlie Whitherspoon,Bud Richman,2023-11-15 23:12:53.763111504,There was an issue,3 - Moderate,Inquiry / Help,96666,53,Customer Support
Services,Closed,2023-12-09 17:15:01.861232926,2023-06-23 12:47:00,Luke Wilson,INC0000000358,employee,South America,Fred Luddy,Bud Richman,2023-10-08 21:29:55.684306333,There was an issue,3 - Moderate,Software,32852,99,HR
Assets,Closed,2023-06-09 23:10:07.618999909,2023-06-23 20:11:00,Howard Johnson,INC0000000266,system,North America,Beth Anglin,Bud Richman,2023-12-06 22:33:01.700205220,There was an issue,3 - Moderate,Database,52221,0,IT
Assets,Processed,2023-06-24 09:17:21.801903137,2023-06-25 04:50:00,Howard Johnson,INC0000000045,employee,South America,Fred Luddy,Don Goodliffe,2023-10-06 07:39:16.761597562,There was an issue,4 - Low,Network,40245,81,Customer Support
Services,Processed,2023-08-17 04:45:43.185739101,2023-06-25 10:31:00,Beth Anglin,INC0000000468,admin,South America,Charlie Whitherspoon,ITIL User,2023-06-01 13:53:33.745863862,There was an issue,2 - High,Inquiry / Help,20576,97,HR
Miscellaneous,Resolved,2023-08-10 22:01:38.300764703,2023-06-25 22:45:00,Luke Wilson,INC0000000219,system,Africa,Luke Wilson,Bud Richman,2023-12-17 23:44:55.013288975,There was an issue,2 - High,Database,14582,23,HR
Assets,Processed,2024-02-07 21:56:58.515415708,2023-06-26 06:56:00,Charlie Whitherspoon,INC0000000294,admin,South America,Beth Anglin,ITIL User,2023-06-18 08:09:47.068608027,There was an issue,2 - High,Hardware,33839,40,Development
Services,Closed,2023-04-13 12:13:00.000000000,2023-06-26 08:23:00,Fred Luddy,INC0000000252,admin,Europe,Luke Wilson,ITIL User,2023-02-28 16:37:00.000000000,There was an issue,4 - Low,Database,34155,0,IT
Assets,Processed,2023-11-15 23:12:53.763111504,2023-06-26 17:38:00,Beth Anglin,INC0000000401,employee,Asia,Luke Wilson,Bud Richman,2023-10-03 08:14:22.675801438,There was an issue,3 - Moderate,Hardware,29776,59,Product Management
Travel,Resolved,2024-01-19 07:24:42.210493722,2023-06-27 10:20:00,Howard Johnson,INC0000000435,system,Africa,Beth Anglin,Don Goodliffe,2023-03-05 11:31:06.569025031,There was an issue,4 - Low,Database,26542,33,Sales
Travel,Processed,2024-02-09 04:30:29.586553971,2023-06-27 21:41:00,Beth Anglin,INC0000000408,admin,Europe,Beth Anglin,ITIL User,2023-10-30 18:57:00.000000000,There was an issue,1 - Critical,Hardware,41627,61,HR
Miscellaneous,Closed,2023-05-06 00:19:06.845921162,2023-06-28 11:02:00,Fred Luddy,INC0000000038,employee,North America,Beth Anglin,David Loo,2023-10-31 00:43:50.133149704,There was an issue,1 - Critical,Inquiry / Help,57907,37,HR
Miscellaneous,Resolved,2024-01-27 16:50:43.924769422,2023-06-28 14:35:00,Charlie Whitherspoon,INC0000000426,admin,Europe,Charlie Whitherspoon,ITIL User,2023-08-05 08:06:09.262346306,There was an issue,1 - Critical,Database,75113,42,Product Management
Miscellaneous,Resolved,2023-11-11 22:19:34.292012026,2023-06-29 19:01:00,Charlie Whitherspoon,INC0000000419,employee,Asia,Beth Anglin,Bud Richman,2023-07-13 16:19:33.649785697,There was an issue,4 - Low,Software,18843,11,HR
Travel,Processed,2024-01-08 21:09:04.022142416,2023-07-02 07:35:00,Fred Luddy,INC0000000171,system,Africa,Luke Wilson,Don Goodliffe,2023-08-13 06:41:18.526534971,There was an issue,3 - Moderate,Inquiry / Help,21140,45,Sales
Assets,Closed,2023-02-07 09:37:36.868992308,2023-07-03 06:45:00,Charlie Whitherspoon,INC0000000172,admin,Asia,Howard Johnson,ITIL User,2023-03-26 23:30:22.193990107,There was an issue,1 - Critical,Inquiry / Help,12182,34,Development
Travel,Resolved,2023-06-08 17:00:00.000000000,2023-07-04 04:13:00,Fred Luddy,INC0000000098,admin,Asia,Luke Wilson,Don Goodliffe,2023-05-28 08:38:00.000000000,There was an issue,2 - High,Software,28849,94,Finance
Travel,Processed,2023-06-11 09:48:35.368342810,2023-07-04 13:46:00,Beth Anglin,INC0000000183,employee,South America,Beth Anglin,David Loo,2023-06-02 00:47:00.000000000,There was an issue,3 - Moderate,Inquiry / Help,55136,60,Customer Support
Services,Resolved,2023-07-06 07:29:00.832219981,2023-07-07 04:36:00,Charlie Whitherspoon,INC0000000083,employee,Asia,Fred Luddy,ITIL User,2023-10-11 14:36:28.517445744,There was an issue,2 - High,Inquiry / Help,26947,42,Product Management
Travel,Processed,2023-06-30 23:29:55.851304419,2023-07-07 04:48:00,Howard Johnson,INC0000000315,system,South America,Fred Luddy,ITIL User,2023-05-03 23:18:07.556497402,There was an issue,4 - Low,Software,49627,3,Sales
Assets,Closed,2023-08-15 14:03:57.099952165,2023-07-07 05:58:00,Howard Johnson,INC0000000215,system,Africa,Howard Johnson,ITIL User,2023-04-13 15:50:15.123078287,There was an issue,3 - Moderate,Inquiry / Help,29913,14,Sales
Travel,Resolved,2023-04-05 05:58:43.770711476,2023-07-07 20:52:00,Howard Johnson,INC0000000123,system,Africa,Beth Anglin,ITIL User,2023-10-10 07:28:02.225169681,There was an issue,4 - Low,Hardware,16378,0,IT
Services,Processed,2023-03-23 14:56:55.026865443,2023-07-08 00:31:00,Fred Luddy,INC0000000386,employee,Africa,Howard Johnson,David Loo,2023-01-23 14:49:23.734002375,There was an issue,3 - Moderate,Software,16915,0,IT
Assets,Processed,2023-06-02 00:47:00.000000000,2023-07-09 03:39:00,Luke Wilson,INC0000000224,system,Africa,Luke Wilson,Don Goodliffe,2023-11-27 12:48:59.344411018,There was an issue,3 - Moderate,Database,14368,50,Finance
Services,Closed,2023-10-12 20:28:38.706928972,2023-07-11 16:02:00,Luke Wilson,INC0000000313,admin,Europe,Luke Wilson,David Loo,2023-05-24 07:52:48.690310999,There was an issue,3 - Moderate,Inquiry / Help,45632,34,HR
Miscellaneous,Closed,2023-06-07 06:19:03.182476115,2023-07-11 18:42:00,Beth Anglin,INC0000000150,employee,Africa,Howard Johnson,David Loo,2024-02-12 22:31:48.126196708,There was an issue,2 - High,Database,15237,17,Sales
Travel,Closed,2024-01-03 16:58:25.664592126,2023-07-12 00:27:00,Charlie Whitherspoon,INC0000000115,employee,North America,Beth Anglin,ITIL User,2023-03-26 17:14:15.209900642,There was an issue,3 - Moderate,Hardware,70644,93,Sales
Travel,Resolved,2023-03-31 22:32:42.024027147,2023-07-12 03:22:00,Charlie Whitherspoon,INC0000000245,system,Europe,Luke Wilson,David Loo,2023-05-19 01:48:03.565852983,There was an issue,1 - Critical,Software,46907,14,Sales
Services,Closed,2023-11-12 08:41:55.212270110,2023-07-12 05:50:00,Howard Johnson,INC0000000352,admin,North America,Howard Johnson,Bud Richman,2023-10-01 17:15:12.850603255,There was an issue,2 - High,Software,67893,35,Sales
Services,Processed,2024-02-07 23:14:21.894263712,2023-07-14 21:27:00,Howard Johnson,INC0000000428,admin,Europe,Charlie Whitherspoon,Don Goodliffe,2023-03-21 01:02:44.587646914,There was an issue,2 - High,Network,62366,59,Customer Support
Travel,Processed,2023-07-12 18:45:07.705046349,2023-07-15 12:17:00,Charlie Whitherspoon,INC0000000368,employee,North America,Howard Johnson,Don Goodliffe,2023-10-11 11:31:18.203048562,There was an issue,2 - High,Hardware,46510,0,IT
Services,Processed,2023-03-11 20:13:52.693225203,2023-07-15 14:09:00,Charlie Whitherspoon,INC0000000040,employee,North America,Luke Wilson,Don Goodliffe,2023-05-19 07:25:36.115649042,There was an issue,2 - High,Hardware,70488,61,Sales
