cost,warranty_expiration,model_category,serial_number,sys_updated_on,department,asset_tag,purchased_on,assigned_to,display_name,ci
2471,2025-03-06 15:56:00,Computer,EWW-19885194,2023-10-04 15:56:00,Customer Support,P1000141,2023-09-18 15:56:00,Rebeca Brumet,Dell Inspiron 15 7000 Gaming,Inspiron 15 7000
2940,2025-01-12 00:47:00,Computer,FSZ-92349845,2023-10-31 00:47:00,IT,P1000142,2023-10-28 00:47:00,Cherie Schronce,Dell OptiPlex 780 Desktop Computer,OptiPlex 780
2717,2025-03-18 17:52:00,Computer,BEU-14976319,2023-12-08 17:52:00,Customer Support,P1000143,2023-11-18 17:52:00,Doug Matrisciano,Dell Inspiron 7400 Laptop Computer,Inspiron 7400
4712,2024-06-03 17:13:00,Computer,VEL-33812285,2024-03-25 17:13:00,Development,P1000144,2024-03-05 17:13:00,Mandy Mcdonnell,Dell Inspiron 15 Computer,Inspiron 15
2174,2025-09-08 03:06:00,Computer,HAO-27466978,2024-02-10 03:06:00,Sales,P1000145,2024-01-22 03:06:00,Mary Cruse,Dell Inspiron 3793 17.3-inch Laptop,Dell Inspiron 3793
4014,2024-09-10 23:50:00,Computer,OGS-52486376,2024-02-27 23:50:00,Customer Support,P1000146,2024-01-27 23:50:00,Viola Mcsorley,Dell Inspiron 14 Computer,Inspiron 14
4673,2023-11-17 15:05:00,Computer,TLM-28166092,2023-09-02 15:05:00,Sales,P1000147,2023-08-14 15:05:00,Diana Temple,Dell Inspiron 3000 Desktop Computer,Inspiron 3000 Desktop
3104,2024-09-18 05:40:00,Computer,ZOS-70351535,2023-08-23 05:40:00,Development,P1000148,2023-08-06 05:40:00,Colin Altonen,Dell Inspiron Desktop Computer,Inspiron Desktop
4195,2024-02-13 06:22:00,Computer,WUV-49137556,2023-08-13 06:22:00,Development,P1000149,2023-08-06 06:22:00,David Loo,Dell Inspiron 15,Inspiron 15
2260,2025-03-11 20:24:00,Computer,QGO-09065846,2023-09-27 20:24:00,Sales,P1000150,2023-08-11 20:24:00,Jasmin Gum,Dell Optiplex 7050 Desktop Computer,Optiplex 7050
2173,2025-02-13 00:53:00,Computer,TVX-37298422,2023-07-27 00:53:00,Customer Support,P1000151,2023-06-29 00:53:00,Melinda Carleton,Dell Inspiron Desktop Computer,Inspiron Desktop
3779,2024-07-27 02:06:00,Computer,GZZ-87641471,2023-12-02 02:06:00,Customer Support,P1000152,2023-10-27 02:06:00,Darrell Amrich,HP EliteBook 840 G6,EliteBook 840 G6
3776,2024-05-06 07:19:00,Computer,OJK-94115352,2023-09-12 07:19:00,IT,P1000153,2023-08-06 07:19:00,Judy Gartenmayer,Dell OptiPlex 7070,OptiPlex 7070
3386,2024-04-20 23:17:00,Computer,POW-48464499,2023-06-24 23:17:00,Finance,P1000154,2023-05-04 23:17:00,Reva Lecates,Dell Inspiron Desktop Computer,Inspiron Desktop
3374,2025-02-15 18:44:00,Computer,KXO-00755706,2024-04-25 18:44:00,Customer Support,P1000155,2024-02-26 18:44:00,Denver Topete,Dell Inspiron Desktop Computer,Inspiron Desktop
1952,2025-12-08 15:33:00,Computer,PRA-52016649,2024-04-22 15:33:00,Customer Support,P1000156,2024-03-09 15:33:00,Merle Wyrosdick,Dell OptiPlex 7050,OptiPlex 7050
4179,2024-01-23 19:00:00,Computer,BLC-74696229,2023-07-26 19:00:00,Customer Support,P1000157,2023-07-13 19:00:00,Kasey Nguyen,Dell Inspiron 14 5000,Inspiron 14 5000
4742,2023-08-29 06:20:00,Computer,GGU-28924896,2023-06-03 06:20:00,Sales,P1000158,2023-05-31 06:20:00,Megan Burke,Dell Latitude 7490 Computer,Latitude 7490
3189,2025-02-11 22:36:00,Computer,GFL-24263807,2024-02-25 22:36:00,Sales,P1000159,2024-01-16 22:36:00,Bradly Hasselvander,Dell Inspiron 7000 Laptop,Inspiron 7000
1738,2026-01-21 04:32:00,Computer,IUX-25189270,2024-04-12 04:32:00,IT,P1000160,2024-03-10 04:32:00,Deshawn Inafuku,Dell Inspiron 15 Computer,Inspiron 15
3124,2024-11-20 20:23:00,Computer,IOV-16212578,2023-11-01 20:23:00,Sales,P1000161,2023-10-12 20:23:00,Sharlene Circelli,Dell Inspiron 3593 Computer,Inspiron 3593
4435,2023-12-17 14:59:00,Computer,GMX-42852881,2023-08-14 14:59:00,Customer Support,P1000162,2023-07-27 14:59:00,Ella Pahnke,Dell Inspiron 15,Inspiron 15
4118,2023-12-22 01:09:00,Computer,LMU-07311567,2023-07-15 01:09:00,IT,P1000163,2023-05-30 01:09:00,Lizzie Torregrossa,Dell Inspiron 15 3000 Series Laptop Computer,Dell Inspiron 15
1521,2025-07-04 18:52:00,Computer,AJL-56601495,2023-07-16 18:52:00,IT,P1000164,2023-07-10 18:52:00,Maurine Monroy,Dell Latitude 7480 Computer,Latitude 7480
2790,2024-11-01 15:49:00,Computer,UAL-71540700,2023-08-23 15:49:00,Sales,P1000165,2023-07-18 15:49:00,Mitchel Harnar,Dell Optiplex 3050 Desktop Computer,Optiplex 3050
2877,2025-01-03 00:05:00,Computer,IOY-34642355,2023-11-06 00:05:00,Sales,P1000166,2023-10-07 00:05:00,Paul Shafer,Dell Inspiron Laptop 5000,Inspiron Laptop 5000
2542,2024-10-27 03:57:00,Computer,SBU-09530862,2023-07-12 03:57:00,Sales,P1000167,2023-05-25 03:57:00,Carol Coughlin,Dell Inspiron 3501 Computer,Inspiron 3501
3673,2024-04-18 17:38:00,Computer,JSG-84789456,2023-07-06 17:38:00,Sales,P1000168,2023-06-28 17:38:00,Doreen Sakurai,Dell Inspiron 15 Computer,Inspiron 15
2748,2025-05-15 19:29:00,Computer,KUV-09761699,2024-01-29 19:29:00,Sales,P1000169,2024-01-21 19:29:00,Dennis Millar,Dell Optiplex 780,Optiplex 780
2976,2024-11-16 06:52:00,Computer,VPO-60339223,2023-11-07 06:52:00,Sales,P1000170,2023-09-09 06:52:00,Rosalind Krenzke,Dell OptiPlex 3070 Micro,OptiPlex 3070 Micro
1607,2025-07-15 13:28:00,Computer,NCK-53222697,2023-09-27 13:28:00,Sales,P1000171,2023-08-07 13:28:00,Chuck Farley,Dell Inspiron 15 3000 Series,Inspiron 15 3000 Series
4212,2024-07-16 12:52:00,Computer,IUV-91594838,2024-01-27 12:52:00,Customer Support,P1000172,2024-01-11 12:52:00,Sal Pindell,Dell Inspiron 14,Inspiron 14
3201,2024-08-05 23:54:00,Computer,TNU-32344807,2023-09-05 23:54:00,Sales,P1000173,2023-07-13 23:54:00,Martin Carley,Dell Inspiron 15 7000,Inspiron 15 7000
3059,2025-01-31 17:55:00,Computer,WNW-44372177,2024-01-12 17:55:00,Sales,P1000174,2023-12-10 17:55:00,Fabian Mcshaw,Dell Inspiron 3501 - Computer,Inspiron 3501
3367,2025-03-30 16:13:00,Computer,XHJ-59763780,2024-04-26 16:13:00,Product Management,P1000175,2024-04-08 16:13:00,Elisa Gracely,Dell Inspiron 15 Computer,Inspiron 15
3003,2025-04-20 04:52:00,Computer,EBK-29394316,2024-04-09 04:52:00,Finance,P1000176,2024-02-16 04:52:00,System Administrator,Dell Inspiron 15 i5593 Computer,Inspiron 15 i5593
2997,2025-05-15 05:12:00,Computer,AXF-51841550,2024-04-01 05:12:00,Finance,P1000177,2024-03-11 05:12:00,Kira Staffon,Dell Inspiron 15 Computer,Inspiron 15
4095,2024-05-19 04:20:00,Computer,FZR-86412308,2023-10-30 04:20:00,Customer Support,P1000178,2023-10-21 04:20:00,Shanna Numkena,Dell OptiPlex 3080,OptiPlex 3080
2743,2025-05-22 01:28:00,Computer,MHL-39880482,2024-03-24 01:28:00,Sales,P1000179,2024-01-27 01:28:00,Phil Hendrie,Dell Inspiron 15 Computer,Inspiron 15
4193,2024-03-10 18:20:00,Computer,RJT-82727502,2023-10-22 18:20:00,IT,P1000180,2023-09-01 18:20:00,Bertram Quertermous,Dell Latitude 7410 Computer,Latitude 7410
2220,2025-09-15 09:41:00,Computer,HNG-62425607,2024-03-21 09:41:00,HR,P1000181,2024-02-07 09:41:00,Terrance Nimmer,Dell Inspiron Desktop,Inspiron Desktop
2665,2024-12-13 06:33:00,Computer,HXI-42614743,2023-09-30 06:33:00,Customer Support,P1000182,2023-08-04 06:33:00,Deandre Resendiz,Dell Inspiron 5502 Laptop,Inspiron 5502
4742,2024-02-04 06:06:00,Computer,GAR-76822852,2023-12-17 06:06:00,Customer Support,P1000183,2023-11-06 06:06:00,Marta Horner,Dell Inspiron 15 3000 Series Computer,Inspiron 15 3000 Series
256,2025-07-10 23:10:00,Storage Device,,2023-07-23 23:10:00,IT,P1000184,2023-07-10 23:10:00,Garfield Lijewski,Western Digital Hard Drive 1TB,WD Hard Drive 1TB
118,2027-04-17 02:36:00,Storage Device,,2024-04-26 02:36:00,Development,P1000185,2024-04-17 02:36:00,Allyson Gillispie,Western Digital 1TB Storage Device,WD 1TB
294,2027-01-12 16:00:00,Storage Device,,2024-03-09 16:00:00,Customer Support,P1000186,2024-01-12 16:00:00,Ross Spurger,Dell EMC PowerVault NX3240 Storage Device,PowerVault NX3240
329,2026-07-04 10:52:00,Storage Device,,2023-07-19 10:52:00,Customer Support,P1000187,2023-07-04 10:52:00,Emilia Oxley,Western Digital My Passport 1TB,My Passport 1TB
8000,2025-07-10 01:12:00,Web Server,,2023-08-10 01:12:00,Customer Support,P1000188,2023-07-10 01:12:00,Felipe Mahone,Dell PowerEdge R740 Web Server,PowerEdge R740
8736,2025-01-29 00:58:00,Server,PAI-18910228,2024-03-04 00:58:00,Sales,P1000189,2024-01-29 00:58:00,Phil Hendrie,Dell PowerEdge R630 Server,PowerEdge R630 Server
796,2025-08-13 19:48:00,Printer,EVT-94229007,2023-10-11 19:48:00,Customer Support,P1000190,2023-08-13 19:48:00,Doug Matrisciano,HP LaserJet 1100 Printer,LaserJet 1100
4165,2023-12-01 21:31:00,Computer,CAF-51975113,2023-07-04 21:31:00,Sales,P1000191,2023-05-18 21:31:00,Roman Simone,Dell Inspiron 7000 - Computer,Inspiron 7000
2064,2026-11-15 11:45:00,Printer,PGS-68840602,2023-12-01 11:45:00,Product Management,P1000192,2023-11-15 11:45:00,Bart Hachey,HP LaserJet Pro M148 Printer,LaserJet Pro M148
5027,2025-09-08 12:44:00,Server,ODP-87937244,2023-10-31 12:44:00,Development,P1000193,2023-09-08 12:44:00,Fred Luddy,Dell PowerEdge R740 Server,PowerEdge R740
400,2026-08-27 02:34:00,Rack,,2023-10-16 02:34:00,Sales,P1000194,2023-08-27 02:34:00,Joe Employee,Dell PowerEdge Rack Server,PowerEdge Server
400,2025-11-11 07:37:00,Rack,,2023-12-04 07:37:00,Finance,P1000195,2023-11-11 07:37:00,Corinne Cowan,Dell PowerEdge R740 Rack Server,PowerEdge R740
1877,2026-01-25 00:42:00,Printer,ZWD-07256451,2024-02-07 00:42:00,Sales,P1000196,2024-01-25 00:42:00,Roman Simone,HP LaserJet Pro 400 Printer,LaserJet Pro 400
4096,2024-05-25 17:04:00,Computer,TZM-31206611,2023-12-11 17:04:00,IT,P1000197,2023-10-28 17:04:00,Judy Gartenmayer,Dell Latitude 7420,Latitude 7420
195,2025-10-05 20:09:00,Storage Device,,2023-11-17 20:09:00,Customer Support,P1000198,2023-10-05 20:09:00,Rebeca Brumet,Samsung SSD 860 EVO 1TB,SSD 860 EVO 1TB
475,2026-02-06 21:24:00,Storage Device,,2024-03-17 21:24:00,IT,P1000199,2024-02-06 21:24:00,Miranda Hammitt,Dell EMC PowerVault ME4 Series Storage Device,PowerVault ME4
3602,2024-06-21 21:17:00,Computer,TNB-44568610,2023-09-29 21:17:00,Customer Support,P1000200,2023-08-17 21:17:00,Lynda Caraway,Dell Inspiron Desktop,Inspiron Desktop
433,2027-02-05 03:36:00,Storage Device,,2024-04-03 03:36:00,Customer Support,P1000201,2024-02-05 03:36:00,Kira Papen,Samsung SSD 860 EVO 1TB,SSD 860 EVO 1TB
316,2024-09-11 01:36:00,Computer Peripheral,,2023-09-21 01:36:00,Sales,P1000202,2023-09-11 01:36:00,Howard Johnson,Logitech Keyboard K120,Keyboard K120
400,2027-01-30 01:14:00,Rack,,2024-03-02 01:14:00,Customer Support,P1000203,2024-01-30 01:14:00,Jewel Agresta,Dell PowerEdge R740 Rack,PowerEdge R740
386,2025-12-11 05:30:00,Storage Device,,2024-01-01 05:30:00,Customer Support,P1000204,2023-12-11 05:30:00,Jimmie Barninger,Western Digital Black 1TB HDD,WD Black 1TB
240,2025-06-13 18:14:00,Computer Peripheral,,2023-08-10 18:14:00,Customer Support,P1000205,2023-06-13 18:14:00,Ross Spurger,Dell Computer Peripheral USB Mouse,USB Mouse
2176,2025-12-08 11:43:00,Printer,MCL-86157253,2024-01-26 11:43:00,Product Management,P1000206,2023-12-08 11:43:00,Bart Hachey,HP LaserJet P4015n Printer,LaserJet P4015n
405,2025-10-19 17:27:00,Computer Peripheral,,2023-12-09 17:27:00,Sales,P1000207,2023-10-19 17:27:00,Haley Rocheford,Dell Wireless Mouse WM126 - Computer Peripheral,Wireless Mouse WM126
2687,2025-07-22 06:07:00,Computer,YHR-25023932,2024-04-11 06:07:00,Sales,P1000208,2024-03-17 06:07:00,Reginald Humes,Dell Inspiron 14 Computer,Inspiron 14
166,2025-08-18 20:55:00,Computer Peripheral,,2023-09-07 20:55:00,Customer Support,P1000209,2023-08-18 20:55:00,Ross Spurger,Dell UltraSharp 27 Monitor,UltraSharp 27
3161,2024-11-25 13:15:00,Computer,OPV-67334053,2023-12-23 13:15:00,Sales,P1000210,2023-10-25 13:15:00,Tia Lino,Dell Optiplex 780 Desktop Computer,Optiplex 780
8000,2025-01-20 02:01:00,Web Server,,2024-02-05 02:01:00,Development,P1000211,2024-01-20 02:01:00,Colin Altonen,Dell PowerEdge R740 Web Server,PowerEdge R740
400,2026-10-03 07:20:00,Rack,,2023-10-14 07:20:00,Customer Support,P1000212,2023-10-03 07:20:00,Kasey Nguyen,Hewlett Packard Enterprise 42U Rack,HPE 42U Rack
5560,2025-09-13 21:52:00,Server,NAX-44629069,2023-11-09 21:52:00,Customer Support,P1000213,2023-09-13 21:52:00,Mitch Schattner,Dell PowerEdge R740 Server,PowerEdge R740
400,2025-01-23 05:01:00,Rack,,2024-03-13 05:01:00,Customer Support,P1000214,2024-01-23 05:01:00,Nanette Turansky,Dell PowerEdge R730 Rack Server,PowerEdge R730
1293,2024-12-12 08:09:00,Printer,LER-73137740,2023-12-13 08:09:00,Sales,P1000215,2023-12-12 08:09:00,Robt Braithwaite,HP LaserJet Pro Printer,LaserJet Pro
400,2024-06-06 15:20:00,Rack,,2023-07-10 15:20:00,Customer Support,P1000216,2023-06-06 15:20:00,Rebeca Brumet,Dell PowerEdge 2U Rack,PowerEdge 2U
459,2026-10-26 06:18:00,Storage Device,,2023-11-27 06:18:00,Development,P1000217,2023-10-26 06:18:00,Alva Pennigton,SanDisk SSD 512GB Ultra 3D,SSD 512GB Ultra 3D
4098,2024-04-29 13:36:00,Computer,QNF-44434271,2023-10-13 13:36:00,Sales,P1000218,2023-10-02 13:36:00,Lee Javens,Dell Inspirion i7 Computer,Inspirion i7
140,2025-11-25 17:37:00,Computer Peripheral,,2023-11-29 17:37:00,Customer Support,P1000219,2023-11-25 17:37:00,Rebeca Brumet,Dell OptiPlex 3070 Micro Computer Peripheral,OptiPlex 3070 Micro
5270,2025-10-19 14:36:00,Server,JLW-36551634,2023-12-01 14:36:00,Customer Support,P1000220,2023-10-19 14:36:00,Emilia Oxley,Dell PowerEdge R740 Server,PowerEdge R740
5209,2024-12-23 14:12:00,Server,AEX-77627254,2023-12-28 14:12:00,IT,P1000221,2023-12-23 14:12:00,Wes Fontanella,Dell PowerEdge R740xd Server,PowerEdge R740xd
218,2026-01-11 07:17:00,Storage Device,,2024-01-20 07:17:00,IT,P1000222,2024-01-11 07:17:00,Karyn Jinks,Western Digital Blue 1TB,WD Blue 1TB
2531,2024-11-18 11:11:00,Computer,YCB-36277927,2023-07-29 11:11:00,Sales,P1000223,2023-06-14 11:11:00,Rolando Baumann,Dell Inspiron Desktop Computer,Inspiron Desktop
4033,2024-02-07 17:18:00,Computer,UBR-29922940,2023-08-02 17:18:00,Sales,P1000224,2023-06-29 17:18:00,Berta Karczewski,Dell Inspiron Desktop Computer,Inspiron Desktop
8000,2026-04-20 21:04:00,Web Server,,2023-06-13 21:04:00,Customer Support,P1000225,2023-04-20 21:04:00,Peggy Hohlstein,IBM WebSphere Application Server,WebSphere Server
400,2025-12-29 09:56:00,Rack,,2024-02-23 09:56:00,Customer Support,P1000226,2023-12-29 09:56:00,Marta Horner,Dell PowerEdge Rack - R940,PowerEdge R940
8000,2026-06-19 04:36:00,Web Server,,2023-07-31 04:36:00,HR,P1000227,2023-06-19 04:36:00,Reginald Lunan,Dell PowerEdge R740 Web Server,PowerEdge R740
11516,2024-09-26 21:22:00,Server,EAR-03860123,2023-11-03 21:22:00,IT,P1000228,2023-09-26 21:22:00,Wes Fontanella,Dell PowerEdge R740 Server,PowerEdge R740
92,2026-06-13 03:56:00,Computer Peripheral,,2023-07-16 03:56:00,IT,P1000229,2023-06-13 03:56:00,Van Leanen,Dell UltraSharp 27 4K Monitor,UltraSharp 27 4K Monitor
400,2026-07-13 08:36:00,Rack,,2023-08-12 08:36:00,Sales,P1000230,2023-07-13 08:36:00,Haley Rocheford,HP ProLiant DL380 Gen10 Rack Server,ProLiant DL380 Gen10
10756,2025-11-22 22:12:00,Server,JBX-96964544,2023-12-23 22:12:00,IT,P1000231,2023-11-22 22:12:00,Ron Kettering,Dell PowerEdge R740xd Server,PowerEdge R740xd
419,2026-03-24 05:20:00,Computer Peripheral,,2024-03-30 05:20:00,Customer Support,P1000232,2024-03-24 05:20:00,Lynda Caraway,Dell V525W All-in-One Wireless Inkjet Printer,Dell V525W Printer
163,2026-10-27 05:12:00,Storage Device,,2023-11-01 05:12:00,Customer Support,P1000233,2023-10-27 05:12:00,Jacklyn Emayo,Seagate External Hard Drive 2TB,External Hard Drive 2TB
1654,2026-06-12 07:51:00,Printer,NTV-19094569,2023-07-06 07:51:00,Customer Support,P1000234,2023-06-12 07:51:00,George Tukis,HP LaserJet Pro M203dw Printer,LaserJet Pro M203dw
8000,2024-11-19 03:27:00,Web Server,,2024-01-05 03:27:00,Customer Support,P1000235,2023-11-19 03:27:00,Naomi Mcraven,Dell PowerEdge R640 Web Server,PowerEdge R640
2390,2025-01-16 12:26:00,Computer,LBE-46163759,2023-08-25 12:26:00,Sales,P1000236,2023-07-14 12:26:00,Efren Baucher,Dell Inspiron 15 3000 Series,Inspiron 15 3000 Series
332,2025-01-27 16:43:00,Storage Device,,2024-02-16 16:43:00,Sales,P1000237,2024-01-27 16:43:00,Sharlene Circelli,Western Digital Hard Drive 1TB,WD Hard Drive 1TB
322,2025-06-15 19:51:00,Storage Device,,2023-07-03 19:51:00,IT,P1000238,2023-06-15 19:51:00,Cruz Roudabush,Samsung SSD 850 EVO,SSD 850 EVO
1328,2026-02-14 15:35:00,Printer,SUB-05150935,2024-02-23 15:35:00,Customer Support,P1000239,2024-02-14 15:35:00,Lynda Caraway,HP LaserJet 4000 Series,LaserJet 4000
1695,2025-12-25 17:59:00,Printer,IQH-22917450,2024-01-24 17:59:00,HR,P1000240,2023-12-25 17:59:00,Reginald Lunan,HP LaserJet 600 M602,LaserJet 600 M602
8980,2026-10-04 18:50:00,Server,FUZ-23261018,2023-10-23 18:50:00,Sales,P1000241,2023-10-04 18:50:00,Reginald Humes,Dell PowerEdge R740 Server,PowerEdge R740
167,2026-12-21 11:49:00,Computer Peripheral,,2024-01-10 11:49:00,Sales,P1000242,2023-12-21 11:49:00,Fabian Mcshaw,HP LaserJet 1020 Printer,LaserJet 1020
400,2025-11-08 20:29:00,Rack,,2023-12-13 20:29:00,Sales,P1000243,2023-11-08 20:29:00,Martin Carley,Data Center Rack 42U Dell,Dell Rack 42U
1350,2026-08-10 02:05:00,Printer,ZKO-03199495,2023-09-13 02:05:00,Customer Support,P1000244,2023-08-10 02:05:00,Jacklyn Emayo,HP LaserJet Pro MFP,LaserJet Pro MFP
453,2024-05-02 03:06:00,Computer Peripheral,,2023-06-10 03:06:00,Customer Support,P1000245,2023-05-02 03:06:00,George Tukis,Logitech Wireless Mouse M510,Wireless Mouse M510
430,2026-03-05 22:40:00,Computer Peripheral,,2024-03-27 22:40:00,Customer Support,P1000246,2024-03-05 22:40:00,Doug Matrisciano,Dell Alienware Gaming Mouse,Alienware Gaming Mouse
10582,2025-08-23 10:33:00,Server,CLT-25112897,2023-10-02 10:33:00,Finance,P1000247,2023-08-23 10:33:00,Brendan Qin,Dell PowerEdge R840 Server,PowerEdge R840
8000,2025-06-03 03:38:00,Web Server,,2023-06-16 03:38:00,Sales,P1000248,2023-06-03 03:38:00,Bud Richman,Dell PowerEdge R640 Web Server,PowerEdge R640
1716,2025-08-27 09:08:00,Computer,YIW-73426672,2023-12-02 09:08:00,Customer Support,P1000249,2023-10-11 09:08:00,Kasey Nguyen,Dell Latitude E7470 Computer,Latitude E7470
8000,2026-12-09 09:24:00,Web Server,,2024-01-02 09:24:00,Sales,P1000250,2023-12-09 09:24:00,Valeria Lingbeek,IBM Web Server X3300 M4,X3300 M4
232,2024-08-11 18:33:00,Computer Peripheral,,2023-09-26 18:33:00,Customer Support,P1000251,2023-08-11 18:33:00,Mabel Weeden,Logitech Mouse M235,M235
217,2025-06-20 08:29:00,Computer Peripheral,,2023-08-12 08:29:00,Finance,P1000252,2023-06-20 08:29:00,Kira Staffon,Dell Wireless Keyboard and Mouse,Wireless Keyboard and Mouse
4915,2024-01-24 17:51:00,Computer,GVJ-81054287,2023-11-02 17:51:00,Sales,P1000253,2023-10-26 17:51:00,Davin Czukowski,Dell Inspiron 5400 Laptop,Inspiron 5400
402,2025-09-21 21:13:00,Computer Peripheral,,2023-10-31 21:13:00,Sales,P1000254,2023-09-21 21:13:00,Margaret Grey,Dell Laser Printer 2330dn,Laser Printer 2330dn
400,2025-10-30 05:12:00,Rack,,2023-11-06 05:12:00,IT,P1000255,2023-10-30 05:12:00,Pierre Salera,Dell Rack Mounted Server R740,Server R740
400,2026-07-31 21:23:00,Rack,,2023-09-02 21:23:00,Sales,P1000256,2023-07-31 21:23:00,Mitchel Harnar,Dell PowerEdge Rack Server,PowerEdge Rack
4454,2023-10-29 00:49:00,Computer,MFZ-33473622,2023-07-29 00:49:00,Sales,P1000257,2023-06-12 00:49:00,Renae Eldrige,Dell Inspiron N5110 Computer,Inspiron N5110
400,2025-07-18 11:46:00,Rack,,2023-08-11 11:46:00,Customer Support,P1000258,2023-07-18 11:46:00,Deandre Resendiz,Dell PowerEdge Rack Server,PowerEdge Rack Server
3410,2024-09-22 17:21:00,Computer,KHU-37151458,2023-12-08 17:21:00,Sales,P1000259,2023-10-10 17:21:00,Margaret Grey,Dell Inspiron 15 (7567) Gaming Laptop,Inspiron 15
398,2026-08-28 12:35:00,Computer Peripheral,,2023-09-26 12:35:00,Customer Support,P1000260,2023-08-28 12:35:00,Marquita Bousman,Dell Wireless Keyboard and Mouse - KM714,KM714
888,2025-09-29 10:27:00,Printer,SAZ-94705354,2023-11-17 10:27:00,IT,P1000261,2023-09-29 10:27:00,Karyn Jinks,HP LaserJet Printer 2320,LaserJet 2320
8000,2027-01-07 00:22:00,Web Server,,2024-01-30 00:22:00,Sales,P1000262,2024-01-07 00:22:00,Sheila Holloran,Web Server Model X128,Model X128
8000,2025-07-13 00:33:00,Web Server,,2023-09-03 00:33:00,Finance,P1000263,2023-07-13 00:33:00,Kira Staffon,Dell PowerEdge R940 Web Server,PowerEdge R940
3313,2024-04-28 01:26:00,Computer,YGO-66806808,2023-06-19 01:26:00,IT,P1000264,2023-04-27 01:26:00,Wayne Webb,Dell Inspiron Laptop Computer,Inspiron Laptop
1697,2025-07-03 08:42:00,Computer,YCE-84776387,2023-08-16 08:42:00,Sales,P1000265,2023-08-13 08:42:00,Carolina Kinlaw,Dell Inspiron 15-3567,Inspiron 15-3567
7134,2025-12-28 12:45:00,Server,NNL-46113927,2024-01-02 12:45:00,Sales,P1000266,2023-12-28 12:45:00,Reginald Humes,Dell PowerEdge R640 Server,PowerEdge R640
400,2026-03-16 18:24:00,Rack,,2024-03-25 18:24:00,Customer Support,P1000267,2024-03-16 18:24:00,Ella Pahnke,Dell PowerEdge R720 Rack Server,PowerEdge R720
6084,2027-03-06 05:42:00,Server,VXU-88298548,2024-03-30 05:42:00,Customer Support,P1000268,2024-03-06 05:42:00,Emilia Oxley,Dell PowerEdge R740 Server,PowerEdge R740
195,2026-08-20 21:52:00,Storage Device,,2023-10-16 21:52:00,Customer Support,P1000269,2023-08-20 21:52:00,Kira Papen,WD Blue 1TB Desktop Hard Disk Drive,Blue 1TB HDD
191,2024-12-25 13:00:00,Storage Device,,2024-01-23 13:00:00,Customer Support,P1000270,2023-12-25 13:00:00,Tiffany Knust,Samsung SSD 1TB,SSD 1TB
1075,2025-11-20 22:27:00,Printer,HQE-27260295,2023-12-08 22:27:00,Product Management,P1000271,2023-11-20 22:27:00,Nickolas Khosravi,Canon ImageClass D1620 Printer,ImageClass D1620
279,2025-12-01 00:48:00,Computer Peripheral,,2024-01-14 00:48:00,Finance,P1000272,2023-12-01 00:48:00,Delphine Helmich,Logitech MX Master 3,MX Master 3
288,2025-09-24 09:04:00,Storage Device,,2023-11-01 09:04:00,Finance,P1000273,2023-09-24 09:04:00,Brendan Qin,Seagate Expansion External Hard Drive,Expansion External HD
8722,2025-10-12 08:13:00,Server,ZEE-11630213,2023-12-11 08:13:00,Customer Support,P1000274,2023-10-12 08:13:00,Denver Topete,Dell PowerEdge R740 Server,PowerEdge R740
4463,2023-11-29 17:09:00,Computer,CPC-85945144,2023-08-05 17:09:00,Customer Support,P1000275,2023-07-15 17:09:00,Merle Wyrosdick,Dell Inspiron Desktop 5000,Inspiron Desktop 5000
320,2026-11-22 03:28:00,Storage Device,,2024-01-02 03:28:00,Development,P1000276,2023-11-22 03:28:00,Mandy Mcdonnell,Seagate External Hard Drive 1TB,External Hard Drive 1TB
124,2026-02-15 11:57:00,Computer Peripheral,,2024-04-03 11:57:00,Finance,P1000277,2024-02-15 11:57:00,Danette Fostervold,Dell Laser Printer 5000,Laser Printer 5000
2054,2025-04-06 00:17:00,Computer,ZUU-72084113,2023-09-04 00:17:00,Development,P1000278,2023-07-27 00:17:00,Kerry Evertt,Dell Inspiron Desktop,Inspiron Desktop
400,2026-07-23 06:33:00,Rack,,2023-08-21 06:33:00,Development,P1000279,2023-07-23 06:33:00,Dorthy Alexy,Dell PowerEdge Rack Server,PowerEdge Server
8000,2025-10-02 18:14:00,Web Server,,2023-11-07 18:14:00,Finance,P1000280,2023-10-02 18:14:00,System Administrator,Dell PowerEdge R740 Web Server,PowerEdge R740
7775,2026-11-20 23:51:00,Server,GOD-63415252,2023-12-21 23:51:00,Sales,P1000281,2023-11-20 23:51:00,Reginald Humes,Dell PowerEdge R940 Server,PowerEdge R940
152,2024-11-18 05:14:00,Storage Device,,2024-01-16 05:14:00,Customer Support,P1000282,2023-11-18 05:14:00,Kasey Nguyen,Seagate Storage Device 1TB,Seagate 1TB
3554,2024-11-05 11:57:00,Computer,MLT-53298452,2024-01-06 11:57:00,Finance,P1000283,2023-12-22 11:57:00,Jimmy Hrobsky,Dell Inspiron 15 Computer,Inspiron 15
7200,2026-03-05 13:34:00,Server,WAH-36673255,2024-03-07 13:34:00,Sales,P1000284,2024-03-05 13:34:00,Rosalind Krenzke,Dell PowerEdge R730 Server,PowerEdge R730
400,2026-07-06 22:43:00,Rack,,2023-08-18 22:43:00,IT,P1000285,2023-07-06 22:43:00,Bertram Quertermous,Dell PowerEdge Rack Server R940,PowerEdge R940
