assigned_to,purchased_on,cost,serial_number,sys_updated_on,warranty_expiration,model_category,department,asset_tag,display_name,ci
Rolando Baumann,2023-11-02 18:42:00,3124,RFY-62332200,2023-11-23 18:42:00,2026-12-31 18:42:00,Computer,Sales,P1000142,Dell Inspiron 14 3000 Series,Inspiron 14 3000 Series
Merle Wyrosdick,2023-07-08 08:48:00,1728,ORT-79576614,2023-07-21 08:48:00,2024-10-25 08:48:00,Computer,Customer Support,P1000143,Dell Inspiron 15 5000,Inspiron 15 5000
Elmo Gabouer,2023-11-27 13:01:00,3207,VFO-63296632,2023-12-13 13:01:00,2027-03-06 13:01:00,Computer,Sales,P1000144,Dell Inspiron 14,Inspiron 14
Eduardo Bellendir,2024-04-05 22:28:00,4367,UUJ-41367966,2024-04-16 22:28:00,2029-01-29 22:28:00,Computer,IT,P1000145,Dell OptiPlex 3070,OptiPlex 3070
Bertram Quertermous,2024-01-10 07:14:00,3154,IWU-95924777,2024-03-01 07:14:00,2027-03-24 07:14:00,Computer,IT,P1000146,Dell Inspiron 15 Gaming Computer,Inspiron 15
Peggy Hohlstein,2023-06-10 23:23:00,3587,HSA-04353025,2023-07-28 23:23:00,2027-03-21 23:23:00,Computer,Customer Support,P1000147,Dell Inspiron 15 Computer,Inspiron 15
Carla Sirbaugh,2023-09-24 20:02:00,4394,UQY-47622341,2023-11-11 20:02:00,2028-08-01 20:02:00,Computer,Product Management,P1000148,Dell Inspiron 3593 Laptop,Inspiron 3593
Kurtis Mcbay,2024-01-01 22:30:00,4278,HBU-27571103,2024-01-27 22:30:00,2028-09-12 22:30:00,Computer,Sales,P1000149,Dell OptiPlex 780,OptiPlex 780
System Administrator,2023-12-01 21:54:00,3851,FKM-74252995,2023-12-31 21:54:00,2028-01-18 21:54:00,Computer,Finance,P1000150,Dell Optiplex 790 Desktop Computer,Optiplex 790
Alene Rabeck,2024-03-04 10:44:00,4718,RIN-56219692,2024-03-18 10:44:00,2029-06-17 10:44:00,Computer,Sales,P1000151,Dell Inspiron 5000 Series,Inspiron 5000 Series
Judy Gartenmayer,2023-06-03 06:08:00,1714,EHS-88008360,2023-06-19 06:08:00,2024-09-14 06:08:00,Computer,IT,P1000152,Microsoft Surface Pro,Surface Pro
Naomi Caetano,2024-02-06 14:02:00,2481,BUW-35727314,2024-02-08 14:02:00,2026-05-28 14:02:00,Computer,Customer Support,P1000153,Dell XPS 13 Laptop,XPS 13
Robt Braithwaite,2023-10-23 06:47:00,2816,BXD-22784156,2023-12-20 06:47:00,2026-07-24 06:47:00,Computer,Sales,P1000154,Dell OptiPlex 3090 Desktop Computer,OptiPlex 3090
Marquita Bousman,2024-03-26 14:58:00,3987,MFL-91269242,2024-04-14 14:58:00,2028-07-18 14:58:00,Computer,Customer Support,P1000155,Dell Inspiron 15 3000,Inspiron 15 3000
Roman Simone,2024-02-29 23:57:00,2581,YQR-03304579,2024-03-24 23:57:00,2026-08-08 23:57:00,Computer,Sales,P1000156,Dell Inspiron 15 3000 Series,Inspiron 15 3000
Rosalind Krenzke,2023-08-26 19:06:00,4678,FSP-30120927,2023-10-20 19:06:00,2028-11-18 19:06:00,Computer,Sales,P1000157,Dell Inspiron 15 Computer,Inspiron 15
Carol Coughlin,2023-11-17 22:57:00,1564,DIX-52279509,2023-12-07 22:57:00,2024-12-17 22:57:00,Computer,Sales,P1000158,Dell Inspiron 15 Computer,Inspiron 15
Sue Haakinson,2023-09-12 16:37:00,2349,LEV-18332748,2023-10-03 16:37:00,2025-10-29 16:37:00,Computer,Customer Support,P1000159,Microsoft Surface Pro 7,Surface Pro 7
Sharlene Circelli,2023-09-05 13:39:00,4187,PHI-27802560,2023-10-02 13:39:00,2028-04-03 13:39:00,Computer,Sales,P1000160,Dell Inspiron 5559 Computer,Inspiron 5559
Reginald Lunan,2023-10-20 07:50:00,4818,QYD-59961437,2023-10-25 07:50:00,2029-03-21 07:50:00,Computer,HR,P1000161,Dell Inspiron 15,Inspiron 15
Doug Matrisciano,2023-12-14 04:28:00,3345,MRU-38154550,2023-12-28 04:28:00,2027-05-29 04:28:00,Computer,Customer Support,P1000162,Dell Optiplex 7070 Desktop Computer,Optiplex 7070
Reginald Humes,2023-10-02 10:34:00,3973,HVL-04269302,2023-10-15 10:34:00,2028-01-17 10:34:00,Computer,Sales,P1000163,Dell Inspiron 15,Inspiron 15
Jacinto Gawron,2023-07-02 15:58:00,2125,BLF-48563330,2023-08-20 15:58:00,2025-05-01 15:58:00,Computer,Customer Support,P1000164,Dell XPS 13,XPS 13
Ella Pahnke,2023-11-16 10:48:00,3733,XJY-46988149,2024-01-13 10:48:00,2027-11-06 10:48:00,Computer,Customer Support,P1000165,Dell Inspiron 15 Computer,Inspiron 15
Danette Fostervold,2023-07-02 08:12:00,3651,NHA-04157758,2023-07-10 08:12:00,2027-05-13 08:12:00,Computer,Finance,P1000166,Dell XPS 13 Computer,XPS 13
Naomi Mcraven,2023-11-15 16:39:00,2131,PCE-61209430,2023-12-22 16:39:00,2025-09-17 16:39:00,Computer,Customer Support,P1000167,Dell Inspiron 5501 Laptop,Inspiron 5501
Pamala Brodtmann,2024-01-02 17:26:00,2440,XFB-91018526,2024-02-22 17:26:00,2026-04-03 17:26:00,Computer,IT,P1000168,Dell Latitude E6430,Latitude E6430
Megan Burke,2024-04-02 20:35:00,1622,CRL-55451256,2024-04-19 20:35:00,2025-05-31 20:35:00,Computer,Sales,P1000169,Dell Latitude 5510 Laptop Computer,Latitude 5510
Lacy Hyten,2023-11-12 02:31:00,4668,XFW-17831826,2024-01-05 02:31:00,2029-01-30 02:31:00,Computer,Sales,P1000170,Dell Latitude E7470 Laptop,Latitude E7470
Renae Eldrige,2023-12-26 04:22:00,2833,XIC-47893729,2023-12-30 04:22:00,2026-10-04 04:22:00,Computer,Sales,P1000171,Dell Inspiron 13 5301 Laptop,Inspiron 13 5301
Edgardo Prudente,2023-09-18 10:28:00,4323,FVC-36630488,2023-10-21 10:28:00,2028-06-21 10:28:00,Computer,Sales,P1000172,Dell Inspiron Desktop Computer,Inspiron Desktop
Alva Pennigton,2023-10-08 00:51:00,3515,MGW-52229634,2023-10-25 00:51:00,2027-06-14 00:51:00,Computer,Development,P1000173,Dell Inspiron Desktop Computer,Inspiron Desktop
Delphine Helmich,2023-05-23 17:41:00,3229,JSC-51104493,2023-06-06 17:41:00,2026-09-10 17:41:00,Computer,Finance,P1000174,Dell Inspiron Desktop - 5488,Inspiron Desktop - 5488
David Loo,2024-02-14 20:45:00,4404,KXX-97508729,2024-04-03 20:45:00,2028-12-27 20:45:00,Computer,Development,P1000175,Dell Optiplex 7060 Desktop Computer,Optiplex 7060
Mellissa Sule,2023-09-19 14:23:00,3617,YEW-71481916,2023-10-02 14:23:00,2027-07-15 14:23:00,Computer,IT,P1000176,Dell OptiPlex 780 Desktop Computer,OptiPlex 780
Davin Czukowski,2023-11-29 10:15:00,2534,PKF-51518678,2023-12-25 10:15:00,2026-04-15 10:15:00,Computer,Sales,P1000177,Dell Inspiron 15 - 7577 Computer,Inspiron 15 - 7577
Miranda Hammitt,2023-12-11 14:08:00,3991,VVX-05483667,2023-12-27 14:08:00,2028-04-05 14:08:00,Computer,IT,P1000178,Dell Inspiron 15 Computer,Inspiron 15
Rebeca Brumet,2024-02-04 14:29:00,1769,IYX-09561475,2024-03-04 14:29:00,2025-06-13 14:29:00,Computer,Customer Support,P1000179,Dell Optiplex 7040 Desktop Computer,Optiplex 7040
Cristopher Wiget,2023-06-18 01:42:00,3614,USU-25054097,2023-07-08 01:42:00,2027-04-11 01:42:00,Computer,Customer Support,P1000180,Dell Precision Workstation 5820,Precision Workstation 5820
Nelly Jakuboski,2023-09-09 16:39:00,2973,TFA-30594403,2023-09-19 16:39:00,2026-08-25 16:39:00,Computer,Customer Support,P1000181,Dell Inspiron 15 3000 Series - Computer,Inspiron 15 3000 Series
Elisa Gracely,2024-01-30 04:16:00,1729,XLV-08065112,2024-02-01 04:16:00,2025-05-20 04:16:00,Computer,Product Management,P1000182,Dell Latitude 5490,Latitude 5490
Rita Center,2023-12-07 19:44:00,212,,2024-01-15 19:44:00,2025-12-07 19:44:00,Storage Device,Customer Support,P1000183,Samsung SSD 860 EVO 1TB,SSD 860 EVO 1TB
Haley Rocheford,2024-01-25 03:58:00,400,,2024-02-19 03:58:00,2027-01-25 03:58:00,Rack,Sales,P1000184,Rack Server Model 24x7,Server Model 24x7
Danny Dales,2023-09-18 03:53:00,5569,EFV-30493724,2023-11-13 03:53:00,2024-09-18 03:53:00,Server,Customer Support,P1000185,Dell PowerEdge R740 Server,PowerEdge R740
Ella Pahnke,2024-02-05 15:57:00,7410,SHA-78857445,2024-03-15 15:57:00,2027-02-05 15:57:00,Server,Customer Support,P1000186,Dell PowerEdge R940 Server,PowerEdge R940
Ross Spurger,2024-02-16 21:35:00,163,,2024-03-22 21:35:00,2025-02-16 21:35:00,Computer Peripheral,Customer Support,P1000187,Dell Alienware Advanced Gaming Mouse,Alienware Advanced Gaming Mouse
George Tukis,2023-12-26 09:39:00,134,,2024-02-15 09:39:00,2026-12-26 09:39:00,Storage Device,Customer Support,P1000188,Seagate Barracuda 1TB,Barracuda 1TB
Byron Fortuna,2024-03-12 13:06:00,262,,2024-03-18 13:06:00,2027-03-12 13:06:00,Storage Device,IT,P1000189,Seagate External Hard Drive 2TB,External Hard Drive 2TB
Mamie Mcintee,2024-02-20 07:37:00,221,,2024-03-15 07:37:00,2027-02-20 07:37:00,Computer Peripheral,Product Management,P1000190,Dell Monitor UltraSharp 27,UltraSharp 27
Valeria Lingbeek,2023-12-03 12:25:00,121,,2024-01-01 12:25:00,2026-12-03 12:25:00,Storage Device,Sales,P1000191,Dell EMC PowerEdge Server,PowerEdge Server
Valeria Lingbeek,2024-01-17 20:17:00,8000,,2024-03-13 20:17:00,2025-01-17 20:17:00,Web Server,Sales,P1000192,Dell PowerEdge R740 Web Server,PowerEdge R740
Mitchel Harnar,2024-03-03 21:22:00,400,,2024-04-25 21:22:00,2026-03-03 21:22:00,Rack,Sales,P1000193,HP ProLiant DL380 Rack,ProLiant DL380
Martin Carley,2023-05-27 11:13:00,8000,,2023-06-05 11:13:00,2026-05-27 11:13:00,Web Server,Sales,P1000194,Microsoft IIS Web Server,IIS Web Server
Delphine Helmich,2023-10-02 07:31:00,400,,2023-11-04 07:31:00,2025-10-02 07:31:00,Rack,Finance,P1000195,Dell PowerEdge Rack,Dell PowerEdge
Tia Lino,2024-02-07 23:43:00,224,,2024-02-19 23:43:00,2027-02-07 23:43:00,Storage Device,Sales,P1000196,Seagate Barracuda 1TB Storage Device,Barracuda 1TB
Kasey Nguyen,2024-01-06 10:18:00,479,,2024-03-03 10:18:00,2026-01-06 10:18:00,Computer Peripheral,Customer Support,P1000197,Dell Computer Peripheral Keyboard,Dell Keyboard
Bradly Hasselvander,2024-01-24 23:11:00,8000,,2024-02-12 23:11:00,2025-01-24 23:11:00,Web Server,Sales,P1000198,HP ProLiant DL380 Web Server,ProLiant DL380
Brendan Qin,2023-12-02 09:07:00,2572,FPL-47769291,2024-01-23 09:07:00,2026-05-06 09:07:00,Computer,Finance,P1000199,Dell Inspiron 5000 Series Computer,Inspiron 5000 Series
Pierre Salera,2023-08-03 05:33:00,4912,BEB-75866639,2023-09-24 05:33:00,2029-02-17 05:33:00,Computer,IT,P1000200,Dell Inspiron 5502 Laptop,Inspiron 5502
Diana Temple,2023-11-18 20:12:00,2001,BSQ-95832735,2023-11-27 20:12:00,2024-11-18 20:12:00,Printer,Sales,P1000201,Brother HL-L2370DW Compact Monochrome Laser Printer,HL-L2370DW Monochrome Laser Printer
Reginald Humes,2023-08-26 17:24:00,8000,,2023-09-03 17:24:00,2024-08-26 17:24:00,Web Server,Sales,P1000202,Dell PowerEdge 6400 Web Server,PowerEdge 6400
Roseann Jerko,2023-11-06 10:34:00,422,,2023-11-23 10:34:00,2026-11-06 10:34:00,Storage Device,Sales,P1000203,Samsung SSD 850 EVO 500GB,SSD 850 EVO 500GB
Kathie Argenti,2023-12-16 23:24:00,400,,2024-01-03 23:24:00,2024-12-16 23:24:00,Rack,Customer Support,P1000204,Dell PowerEdge Rack Server,PowerEdge Rack
Mara Rineheart,2024-01-09 05:30:00,8000,,2024-02-11 05:30:00,2026-01-09 05:30:00,Web Server,Customer Support,P1000205,Dell Web Server R740,Dell R740
Haley Rocheford,2023-07-20 06:45:00,299,,2023-09-01 06:45:00,2024-07-20 06:45:00,Computer Peripheral,Sales,P1000206,HP LaserJet Printer 3050,LaserJet 3050
Jimmie Barninger,2024-01-12 00:16:00,3734,TMV-85650445,2024-02-26 00:16:00,2028-01-03 00:16:00,Computer,Customer Support,P1000207,Dell XPS 13 9380,XPS 13 9380
Jimmy Hrobsky,2023-09-08 02:56:00,411,,2023-09-24 02:56:00,2025-09-08 02:56:00,Storage Device,Finance,P1000208,Seagate External Hard Drive 2TB,External Hard Drive 2TB
Jess Assad,2023-07-16 22:11:00,400,,2023-09-02 22:11:00,2024-07-16 22:11:00,Rack,Customer Support,P1000209,Dell PowerEdge R240 Rack,PowerEdge R240
System Administrator,2024-02-09 10:00:00,8000,,2024-03-26 10:00:00,2026-02-09 10:00:00,Web Server,Finance,P1000210,Dell PowerEdge R740 Web Server,PowerEdge R740
Megan Burke,2023-05-27 11:39:00,280,,2023-07-20 11:39:00,2026-05-27 11:39:00,Computer Peripheral,Sales,P1000211,Dell Ultrasharp Monitor,Ultrasharp Monitor
Lucien Iurato,2023-06-19 10:50:00,284,,2023-08-04 10:50:00,2026-06-19 10:50:00,Computer Peripheral,Development,P1000212,Dell USB Keyboard SK-8121,USB Keyboard SK-8121
Marta Horner,2023-05-07 11:45:00,8000,,2023-06-21 11:45:00,2025-05-07 11:45:00,Web Server,Customer Support,P1000213,Dell PowerEdge R740 Web Server,PowerEdge R740
Olga Yarovenko,2023-05-24 21:25:00,8000,,2023-06-26 21:25:00,2025-05-24 21:25:00,Web Server,Sales,P1000214,IBM Web Server X3650 M4,X3650 M4
Emery Reek,2023-06-18 12:39:00,8000,,2023-07-30 12:39:00,2025-06-18 12:39:00,Web Server,Customer Support,P1000215,Dell PowerEdge R740 Web Server,PowerEdge R740
Karyn Jinks,2023-09-15 04:47:00,6687,ZMD-63647080,2023-10-12 04:47:00,2026-09-15 04:47:00,Server,IT,P1000216,Dell PowerEdge R940 Server,PowerEdge R940
Efren Baucher,2023-07-19 22:32:00,8000,,2023-08-28 22:32:00,2025-07-19 22:32:00,Web Server,Sales,P1000217,Dell PowerEdge R730 Web Server,PowerEdge R730
Mitchel Harnar,2023-06-23 10:25:00,179,,2023-07-11 10:25:00,2026-06-23 10:25:00,Storage Device,Sales,P1000218,Seagate Backup Plus 5TB External Hard Drive,Backup Plus 5TB
Bart Hachey,2023-07-08 04:00:00,10227,LTW-98182494,2023-07-16 04:00:00,2024-07-08 04:00:00,Server,Product Management,P1000219,Dell PowerEdge R740xd Server,PowerEdge R740xd
Elmo Dagenais,2023-05-11 21:40:00,4474,MQH-72279228,2023-06-08 21:40:00,2028-04-26 21:40:00,Computer,Sales,P1000220,Dell Inspiron 3580 Computer,Inspiron 3580
Martin Carley,2023-09-22 06:06:00,497,,2023-10-24 06:06:00,2024-09-22 06:06:00,Computer Peripheral,Sales,P1000221,Dell Monitor 27 inches,Monitor 27 inches
Lacy Hyten,2023-10-02 10:48:00,344,,2023-11-13 10:48:00,2025-10-02 10:48:00,Storage Device,Sales,P1000222,Dell EMC PowerVault NX400,PowerVault NX400
Nathanial Phoenix,2023-09-30 21:28:00,9845,LTJ-93088235,2023-11-08 21:28:00,2025-09-30 21:28:00,Server,Customer Support,P1000223,Dell PowerEdge R340 Server,PowerEdge R340
Elisa Gracely,2023-09-03 14:59:00,1773,GCL-25720127,2023-10-13 14:59:00,2026-09-03 14:59:00,Printer,Product Management,P1000224,HP LaserJet Pro Printer,LaserJet Pro
Isaac Davensizer,2023-07-22 17:15:00,400,,2023-08-06 17:15:00,2024-07-22 17:15:00,Rack,Customer Support,P1000225,Datacenter Rack SR42UB,Rack SR42UB
Jimmie Barninger,2023-12-31 17:08:00,8000,,2024-01-09 17:08:00,2026-12-31 17:08:00,Web Server,Customer Support,P1000226,Dell PowerEdge Web Server,PowerEdge Server
Lee Javens,2023-06-22 07:24:00,4591,VSJ-69739070,2023-08-20 07:24:00,2028-08-03 07:24:00,Computer,Sales,P1000227,Dell OptiPlex 7070 Desktop Computer,OptiPlex 7070
Zackary Mockus,2023-07-27 19:13:00,3310,OYX-21430507,2023-08-11 19:13:00,2026-12-23 19:13:00,Computer,Customer Support,P1000228,Lenovo ThinkPad T480,ThinkPad T480
Deshawn Inafuku,2023-12-22 08:59:00,8000,,2024-02-17 08:59:00,2024-12-22 08:59:00,Web Server,IT,P1000229,Microsoft Azure Virtual Web Server,Azure Virtual Server
Fred Luddy,2023-07-14 09:49:00,1555,QMU-07934176,2023-08-15 09:49:00,2026-07-14 09:49:00,Printer,Development,P1000230,HP LaserJet Pro 500,LaserJet Pro 500
Mitch Schattner,2023-10-19 08:52:00,184,,2023-11-03 08:52:00,2024-10-19 08:52:00,Storage Device,Customer Support,P1000231,Seagate Barracuda 2TB HDD,Barracuda 2TB
Fabian Mcshaw,2023-08-14 06:06:00,400,,2023-09-01 06:06:00,2025-08-14 06:06:00,Rack,Sales,P1000232,Dell PowerEdge Rack Server,PowerEdge Server
George Tukis,2023-12-05 04:24:00,3939,OSM-15279303,2024-01-09 04:24:00,2028-03-04 04:24:00,Computer,Customer Support,P1000233,Dell Inspiron 15 5000 Series,Inspiron 15 5000
Allie Pumphrey,2023-12-26 13:02:00,4879,ZUI-43530519,2024-01-27 13:02:00,2029-06-26 13:02:00,Computer,Product Management,P1000234,Dell Inspiron 15 Gaming Computer,Inspiron 15
Kurtis Asberry,2023-12-12 04:41:00,400,,2023-12-16 04:41:00,2025-12-12 04:41:00,Rack,Sales,P1000235,Dell PowerEdge R240 Rack Server,PowerEdge R240
Robt Braithwaite,2023-10-09 23:14:00,443,,2023-11-19 23:14:00,2026-10-09 23:14:00,Computer Peripheral,Sales,P1000236,Dell Computer Peripheral,Computer Peripheral
Phil Hendrie,2023-08-30 15:06:00,400,,2023-09-20 15:06:00,2026-08-30 15:06:00,Rack,Sales,P1000237,Dell PowerEdge Rack Server R930,PowerEdge R930
Kyle Lindauer,2023-07-06 00:02:00,486,,2023-07-22 00:02:00,2026-07-06 00:02:00,Computer Peripheral,IT,P1000238,Dell Monitor UltraSharp 27,UltraSharp 27
Alva Pennigton,2023-08-07 21:13:00,2232,MZZ-68123910,2023-09-26 21:13:00,2026-08-07 21:13:00,Printer,Development,P1000239,HP LaserJet Pro M501,LaserJet Pro M501
Lane Brantz,2023-11-12 16:45:00,451,,2023-11-17 16:45:00,2026-11-12 16:45:00,Storage Device,Sales,P1000240,Kingston A2000 NVMe SSD 1TB,A2000 NVMe SSD 1TB
Danny Dales,2023-06-30 09:17:00,1311,SYB-62287228,2023-07-05 09:17:00,2025-06-30 09:17:00,Printer,Customer Support,P1000241,HP LaserJet Pro M452dn Printer,LaserJet Pro M452
Wayne Webb,2023-08-23 13:50:00,400,,2023-08-29 13:50:00,2025-08-23 13:50:00,Rack,IT,P1000242,Dell Server Rack R530,Server Rack R530
Jess Assad,2024-03-24 16:48:00,400,,2024-04-13 16:48:00,2025-03-24 16:48:00,Rack,Customer Support,P1000243,Dell PowerEdge R740 Rack,PowerEdge R740
Jewel Agresta,2024-01-31 18:36:00,1014,XPZ-88917727,2024-02-25 18:36:00,2026-01-31 18:36:00,Printer,Customer Support,P1000244,HP OfficeJet Pro 6978,OfficeJet Pro 6978
Rebeca Brumet,2023-11-11 08:30:00,10413,WEX-50782771,2023-12-30 08:30:00,2025-11-11 08:30:00,Server,Customer Support,P1000245,Dell PowerEdge R740 Server,PowerEdge R740
Fabian Mcshaw,2023-06-09 22:50:00,8000,,2023-06-12 22:50:00,2024-06-09 22:50:00,Web Server,Sales,P1000246,Google Cloud Web Server,Cloud Web Server
Mandy Mcdonnell,2023-07-19 19:21:00,8000,,2023-08-04 19:21:00,2026-07-19 19:21:00,Web Server,Development,P1000247,IBM WebSphere Application Web Server,WebSphere Application Server
Emery Reek,2023-07-26 12:44:00,8000,,2023-09-05 12:44:00,2025-07-26 12:44:00,Web Server,Customer Support,P1000248,Dell PowerEdge R640 Web Server,PowerEdge R640
Margaret Grey,2023-12-24 09:58:00,232,,2024-01-21 09:58:00,2026-12-24 09:58:00,Storage Device,Sales,P1000249,Western Digital Black 1TB,WD Black 1TB
Reginald Humes,2023-09-07 00:26:00,1257,VFP-31840054,2023-10-16 00:26:00,2025-09-07 00:26:00,Printer,Sales,P1000250,HP LaserJet 4000 Series Printer,LaserJet 4000
Ted Keppel,2023-11-28 18:08:00,8000,,2023-12-27 18:08:00,2024-11-28 18:08:00,Web Server,IT,P1000251,Dell PowerEdge R740 Web Server,PowerEdge R740
Howard Johnson,2024-03-25 14:28:00,1886,RCU-59075485,2024-04-20 14:28:00,2025-03-25 14:28:00,Printer,Sales,P1000252,Brother HL-L2380DW Printer,HL-L2380DW
Bart Hachey,2024-01-06 23:11:00,263,,2024-02-17 23:11:00,2027-01-06 23:11:00,Storage Device,Product Management,P1000253,Seagate Exos 7E8 1TB Hard Drive,Exos 7E8 1TB
Naomi Caetano,2024-02-04 19:23:00,8000,,2024-03-18 19:23:00,2026-02-04 19:23:00,Web Server,Customer Support,P1000254,Dell PowerEdge R740 Web Server,PowerEdge R740
Mandy Mcdonnell,2023-05-12 15:44:00,2130,WJK-04347125,2023-07-06 15:44:00,2025-03-13 15:44:00,Computer,Development,P1000255,Dell Inspiron Computer,Inspiron Computer
Carol Coughlin,2023-10-17 02:16:00,11770,NZS-42153651,2023-12-01 02:16:00,2026-10-17 02:16:00,Server,Sales,P1000256,Dell PowerEdge R940 Server,PowerEdge R940
Roman Simone,2023-12-15 06:12:00,2993,WSQ-33014162,2024-02-05 06:12:00,2026-12-10 06:12:00,Computer,Sales,P1000257,Dell Inspiron 5593 Laptop,Inspiron 5593
Denver Topete,2023-11-30 22:19:00,157,,2024-01-23 22:19:00,2026-11-30 22:19:00,Computer Peripheral,Customer Support,P1000258,HP DeskJet 1100,DeskJet 1100
Kerry Evertt,2023-05-16 18:56:00,203,,2023-06-09 18:56:00,2024-05-16 18:56:00,Storage Device,Development,P1000259,Western Digital Black 1TB HDD,WD Black 1TB HDD
Kira Papen,2023-08-05 03:32:00,365,,2023-09-09 03:32:00,2026-08-05 03:32:00,Storage Device,Customer Support,P1000260,Samsung SSD 870 EVO,SSD 870 EVO
Valentine Granberry,2023-06-07 19:53:00,226,,2023-08-01 19:53:00,2024-06-07 19:53:00,Storage Device,Customer Support,P1000261,Seagate External Storage Device 1TB,External Storage Device 1TB
Rosalind Krenzke,2023-09-22 10:44:00,400,,2023-10-02 10:44:00,2024-09-22 10:44:00,Rack,Sales,P1000262,Dell PowerEdge Server Rack,PowerEdge Server Rack
Efren Baucher,2023-07-29 17:52:00,1424,IQD-69248801,2023-09-24 17:52:00,2024-07-29 17:52:00,Printer,Sales,P1000263,HP LaserJet Pro M281fdw Printer,LaserJet Pro M281fdw
Bridgett Retort,2023-08-15 22:54:00,4777,OIZ-77728320,2023-09-14 22:54:00,2028-12-25 22:54:00,Computer,Finance,P1000264,Dell Inspiron 5481,Inspiron 5481
Stephen Seiters,2023-09-27 05:41:00,408,,2023-11-09 05:41:00,2024-09-27 05:41:00,Computer Peripheral,HR,P1000265,Logitech Wireless Mouse M510,Wireless Mouse M510
Jasmin Gum,2023-11-13 06:33:00,3635,JRN-58283740,2024-01-03 06:33:00,2027-09-17 06:33:00,Computer,Sales,P1000266,Dell Inspiron 7506 2-in-1 Computer,Inspiron 7506 2-in-1
Felipe Mahone,2023-04-24 08:02:00,234,,2023-06-14 08:02:00,2025-04-24 08:02:00,Storage Device,Customer Support,P1000267,Western Digital My Passport 1TB,My Passport 1TB
Nathanial Phoenix,2023-07-29 17:01:00,108,,2023-08-29 17:01:00,2026-07-29 17:01:00,Computer Peripheral,Customer Support,P1000268,Dell Monitor UltraSharp U2719D,UltraSharp U2719D
Ella Pahnke,2023-10-16 04:50:00,3734,VZZ-02825015,2023-12-10 04:50:00,2027-10-07 04:50:00,Computer,Customer Support,P1000269,Dell Inspiron Desktop,Inspiron Desktop
Denver Topete,2024-02-02 12:06:00,183,,2024-02-21 12:06:00,2027-02-02 12:06:00,Storage Device,Customer Support,P1000270,Samsung Evo SSD 1TB,Evo SSD 1TB
Kira Staffon,2023-11-01 12:16:00,130,,2023-12-18 12:16:00,2026-11-01 12:16:00,Storage Device,Finance,P1000271,Seagate 1TB External Hard Drive,1TB External Hard Drive
Bertram Quertermous,2023-06-28 07:42:00,5380,NRM-01821722,2023-07-04 07:42:00,2025-06-28 07:42:00,Server,IT,P1000272,Dell PowerEdge R940 Server,PowerEdge R940
Genevieve Kekiwi,2023-06-21 12:11:00,8000,,2023-06-29 12:11:00,2026-06-21 12:11:00,Web Server,Customer Support,P1000273,IBM WebSphere Web Server,WebSphere
Marquita Bousman,2024-01-20 05:19:00,8000,,2024-03-07 05:19:00,2027-01-20 05:19:00,Web Server,Customer Support,P1000274,Dell PowerEdge R740 Web Server,PowerEdge R740
Lynette Setlock,2023-11-15 18:41:00,497,,2023-12-12 18:41:00,2026-11-15 18:41:00,Computer Peripheral,Customer Support,P1000275,Logitech Wireless Mouse,Wireless Mouse
Jimmie Barninger,2024-01-14 05:43:00,107,,2024-01-16 05:43:00,2026-01-14 05:43:00,Computer Peripheral,Customer Support,P1000276,Logitech Wireless Mouse M510,Wireless Mouse M510
Zackary Mockus,2023-11-11 06:33:00,414,,2024-01-07 06:33:00,2024-11-11 06:33:00,Computer Peripheral,Customer Support,P1000277,Dell USB Keyboard SK-8120,SK-8120
Devon Samrah,2024-03-09 16:55:00,492,,2024-03-22 16:55:00,2026-03-09 16:55:00,Storage Device,IT,P1000278,Samsung SSD 860 EVO 1TB,SSD 860 EVO 1TB
Reginald Lunan,2023-10-01 12:02:00,4362,LMX-94324136,2023-11-07 12:02:00,2028-07-23 12:02:00,Computer,HR,P1000279,Dell Inspiron 5501 Laptop,Inspiron 5501
Elmo Dagenais,2023-11-05 23:46:00,400,,2023-12-26 23:46:00,2025-11-05 23:46:00,Rack,Sales,P1000280,Server Rack 42U,42U Rack
Garfield Lijewski,2023-12-23 18:48:00,417,,2024-01-31 18:48:00,2025-12-23 18:48:00,Storage Device,IT,P1000281,Dell PowerVault MD3820i Storage Device,PowerVault MD3820i
Corinne Cowan,2024-02-24 03:19:00,4959,JMH-96874491,2024-03-19 03:19:00,2029-10-03 03:19:00,Computer,Finance,P1000282,Dell Inspiron 3593 Computer,Inspiron 3593
Mara Rineheart,2024-02-11 13:03:00,8000,,2024-03-19 13:03:00,2026-02-11 13:03:00,Web Server,Customer Support,P1000283,Dell PowerEdge R440 Web Server,PowerEdge R440
Elisa Gracely,2023-08-21 03:40:00,144,,2023-09-01 03:40:00,2026-08-21 03:40:00,Storage Device,Product Management,P1000284,Seagate External Hard Drive 2TB,External Hard Drive 2TB
Danny Dales,2023-06-24 21:19:00,454,,2023-08-15 21:19:00,2024-06-24 21:19:00,Computer Peripheral,Customer Support,P1000285,Dell External Keyboard SK-8121,SK-8121
Melinda Carleton,2023-10-24 16:16:00,10470,YNO-35735224,2023-11-28 16:16:00,2025-10-24 16:16:00,Server,Customer Support,P1000286,IBM Power System S922 Server,Power System S922
Vince Ettel,2023-08-31 16:50:00,9678,ZUM-55952890,2023-10-22 16:50:00,2025-08-31 16:50:00,Server,Customer Support,P1000287,Dell PowerEdge R940 Server,PowerEdge R940
