target_percentage,sys_updated_by,priority,metric,percent_complete,sys_id,state,start_date,end_date,department,category,owner,description
85,admin,Critical,Survey Score,87,G000123,Completed,2022-03-22,2022-10-25,IT,Employee Satisfaction,Henrietta Cintora,Implement weekly team-building activities and provide professional development opportunities to improve employee satisfaction score by 20% on the annual survey.
63,admin,Medium,Survey Score,42,G000124,In Progress,2022-08-19,2023-05-09,Finance,Employee Satisfaction,Savannah Kesich,Develop and execute a comprehensive employee engagement program to increase satisfaction scores by 20% in the annual survey compared to previous year.
61,admin,Medium,Employee Turnover Rate,37,G000125,Planned,2022-08-16,2023-02-28,HR,Revenue Growth,Christa Bodenschatz,"Aim for a 20% increase in third-quarter revenue, compared to previous year by amplifying sales and marketing efforts in the key channels."
86,admin,Low,Employee Turnover Rate,18,G000126,In Progress,2022-09-08,2022-11-06,HR,Revenue Growth,SOAP Guest,Expand our customer base in the APAC region by 20% by end of Q4 2022 to drive revenue growth in our Software Solutions division.
96,admin,Critical,Employee Turnover Rate,69,G000127,Completed,2022-09-27,2022-10-12,IT,Revenue Growth,Jimmie Barninger,Increase sales in the northern region by 25% through strategic marketing campaigns aimed at driving new customer acquisitions and improving customer retention.
92,admin,Medium,Sales Increase,54,G000128,In Progress,2022-07-17,2022-12-28,HR,Efficiency,Cyril Behen,"Increase workflow automation to improve operational efficiency by 25% compared to the previous quarter, thereby reducing human labor time and streamlining tasks."
60,admin,Medium,Employee Turnover Rate,38,G000129,Planned,2022-09-01,2022-11-08,Marketing,Revenue Growth,Jess Assad,Invest in strategic digital marketing initiatives aimed at increasing online sales by 25% over the next fiscal year resulting in revenue growth.
51,admin,Low,Sales Increase,23,G000130,Cancelled,2022-05-19,2023-03-30,HR,Customer Satisfaction,Security Center Data Collection User,"Improve customer service rating by maintaining a response time below 1 hour, and resolve minimum 90% of cases within 24 hours, which should increase our customer satisfaction index by 20%."
87,admin,High,Expense Ratio,56,G000131,In Progress,2022-04-06,2023-02-03,Marketing,Efficiency,Karyn Jinks,"Develop and enforce efficient digital workflows to cut down manual processing time by 30%, aiming at an increase in organizational productivity."
75,admin,Critical,Employee Turnover Rate,69,G000132,In Progress,2022-07-10,2022-12-08,Finance,Cost Reduction,Sandra Graen,Optimize supplier relationships by negotiating cost-effective deals leading to a 10% cost reduction. This includes decreasing overhead costs from $500K to $450K compared to last fiscal year.
80,admin,High,Survey Score,89,G000133,Completed,2022-01-10,2023-01-04,IT,Employee Satisfaction,Cyril Behen,Develop a comprehensive employee engagement program to boost job satisfaction and reduce turnover rate by 10% compared to last year's figures.
91,admin,Medium,Employee Turnover Rate,80,G000134,Planned,2022-06-09,2022-07-05,Finance,Cost Reduction,Cary Mccamey,"Introduce automation in various operational processes to cut down expenses by 20% over the next fiscal year, effectively bringing down the costs from $500K to $400K."
94,admin,Low,Sales Increase,5,G000135,Planned,2022-05-04,2022-10-20,Finance,Cost Reduction,SOAP Guest,Consolidate suppliers and renegotiate contracts to achieve a 20% reduction in monthly expenses related to supplier services; expected savings from $600k to $480k annually.
97,admin,Low,Expense Ratio,47,G000136,Planned,2022-05-20,2022-10-11,HR,Efficiency,Kennith Peto,"Propose improvements in internal workflows to increase team efficiency by 20%, reducing the average time spent on manual tasks from 3 hours to 2.4 hours daily."
64,admin,Low,Sales Increase,21,G000137,In Progress,2022-11-14,2022-10-30,Marketing,Efficiency,Ramon Amaral,"Optimize processes in manufacturing workflow to increase overall efficiency by at least 20% within next financial quarter, from 50% working time efficiency to 70%."
57,admin,High,Employee Turnover Rate,58,G000138,Completed,2022-11-27,2022-07-05,HR,Efficiency,Bridget Knightly,Improve workflow automation and streamline operations to increase overall efficiency by 20% compared to the previous quarter.
67,admin,Medium,Sales Increase,78,G000139,Completed,2022-09-26,2022-06-11,Marketing,Employee Satisfaction,Krystle Stika,Develop and implement an effective employee feedback system to improve overall employee satisfaction rate by 20% compared to the previous quarter.
63,admin,Medium,Survey Score,13,G000140,Completed,2022-04-27,2023-01-28,Finance,Revenue Growth,Alfonso Griglen,Launch new customer acquisition strategies coupled with an improved customer retention program to increase total revenue by 20% compared to the previous fiscal year i.e. from $1M to $1.2M.
50,admin,High,Employee Turnover Rate,64,G000141,Completed,2022-09-30,2023-06-28,IT,Employee Satisfaction,Eva Seahorn,Conduct quarterly team-building events and implement open feedback system to improve employee satisfaction score by 20% in the upcoming year.
75,admin,Critical,Survey Score,69,G000142,In Progress,2022-11-30,2022-08-19,Marketing,Efficiency,Kathleen Beresnyak,"Improve server capacity utilization by 20% through more efficient allocation methods, thereby reducing associated energy costs and improving overall systems efficiency."
51,admin,Low,Expense Ratio,65,G000143,Completed,2022-07-12,2023-02-02,HR,Employee Satisfaction,SOAP Guest,"Increase employee engagement and satisfaction by introducing flexible work options and regular team-building activities, with a goal to improve the employee satisfaction survey scores by at least 20% compared to last year."
72,admin,High,Survey Score,58,G000144,In Progress,2022-09-16,2022-11-09,HR,Customer Satisfaction,Mabel Weeden,Enhance customer support services to increase overall customer satisfaction by 20% based on feedback scores compared to the previous quarter.
97,admin,Low,Sales Increase,67,G000145,In Progress,2022-05-10,2023-09-18,Finance,Efficiency,Lora Lendor,"Increase process automation in the customer service department to improve efficiency by 20%, reducing manual tasks and saving employee time."
55,admin,Low,Survey Score,43,G000146,Completed,2022-10-19,2023-01-01,Finance,Cost Reduction,Naomi Greenly,Optimize the use of existing assets and eliminate unnecessary expenses within the company to achieve a cost reduction of 20% over the next fiscal year.
62,admin,Low,Employee Turnover Rate,43,G000147,In Progress,2022-12-13,2022-08-19,HR,Customer Satisfaction,Jimmie Barninger,Improve our customer service response times by 20% by training employees in efficient communication and implementing a new ticketing system. Expected to increase customer satisfaction ratings by 20%.
70,admin,High,Employee Turnover Rate,86,G000148,Completed,2022-09-13,2022-10-13,IT,Customer Satisfaction,User 1,Enhance customer service response time to improve overall customer satisfaction rates by 20% compared to previous quarter evaluations.
99,admin,Critical,Sales Increase,81,G000149,In Progress,2022-07-07,2023-05-11,IT,Revenue Growth,Tammie Schwartzwalde,Expand market presence in Europe and Asia to increase overall company revenues by 25% compared to previous fiscal year i.e. from $1M to $1.25M.
85,admin,Medium,Employee Turnover Rate,17,G000150,Planned,2022-05-13,2022-12-30,Finance,Revenue Growth,Lucas Santellana,Develop and execute a new sales strategy aimed at increasing annual revenues by 20% through penetration of untapped markets.
88,admin,High,Sales Increase,69,G000151,Cancelled,2022-04-09,2022-08-22,IT,Revenue Growth,Zane Sulikowski,Expand sales channels and optimize marketing strategies to increase overall revenue by 20% compared to the same period last year.
97,admin,Medium,Sales Increase,15,G000152,Planned,2022-08-17,2022-08-03,Marketing,Customer Satisfaction,Timothy Janski,"Increase customer satisfaction by 20% through improving product quality, reducing response times and providing superior after-sales services, thereby enhancing our company's brand reputation."
95,admin,Medium,Survey Score,39,G000153,Completed,2022-09-01,2023-03-05,HR,Efficiency,Sean Bonnet,"Reevaluate and optimize internal workflows to increase overall productivity by 20%, saving the company approximately 10 man-hours per week."
56,admin,Critical,Employee Turnover Rate,89,G000154,Completed,2022-02-06,2023-04-04,Finance,Customer Satisfaction,Beverley Bunche,"Improve chatbot response accuracy to customer queries by 20%, resulting in increased customer satisfaction."
64,admin,Critical,Survey Score,67,G000155,Completed,2022-12-03,2022-09-04,Finance,Customer Satisfaction,Misty Ericksen,Improve support response times and boost first-time resolution rates by 20% compared with the previous quarter to enhance customer satisfaction.
91,admin,Critical,Survey Score,93,G000156,Completed,2022-11-27,2022-07-03,IT,Revenue Growth,Zane Sulikowski,Develop and execute strategic marketing campaigns tailored towards our target audience to increase sales revenue by 20% over the next quarter.
93,admin,High,Employee Turnover Rate,80,G000157,Cancelled,2022-07-09,2023-01-08,IT,Employee Satisfaction,Mildred Gallegas,"Strategize and execute plans to increase overall Employee Satisfaction Index by 20% this year through various initiatives like recognizing employee achievements, conducting regular feedback sessions and surveys, launching skill development programs, etc."
82,admin,High,Survey Score,73,G000158,Completed,2022-02-16,2023-06-27,IT,Efficiency,Vanessa Lewallen,Optimize operational workflows to increase overall efficiency by 20% compared to previous quarter. This should result in higher productivity and lower time wastage.
62,admin,Medium,Employee Turnover Rate,0,G000159,In Progress,2022-08-24,2022-09-14,HR,Customer Satisfaction,Jimmie Barninger,Revamp the after-sales services to ensure 95% customer satisfaction based on the customer feedback. Detect and swiftly address any common customer complaints.
74,admin,Low,Survey Score,32,G000160,In Progress,2022-03-30,2023-07-27,Finance,Cost Reduction,Travis Brockert,Optimize the use of IT infrastructure and software licenses to cut down expenses by 20% within the next quarter as compared to the same quarter last year.
56,admin,Low,Expense Ratio,61,G000161,Completed,2022-04-07,2023-05-23,Marketing,Customer Satisfaction,Pierre Salera,"Improve our return policy and after-sales service to achieve a 20% increase in overall customer satisfaction ratings, moving from a 3-star to a 4-star average rating."
86,admin,Low,Sales Increase,37,G000162,Completed,2022-02-28,2023-07-11,Marketing,Customer Satisfaction,Joey Sedore,Implement new customer support programs with a same-day response system to increase customer satisfaction rate by 20% in comparison to last quarter's reports.
79,admin,High,Employee Turnover Rate,54,G000163,In Progress,2022-06-17,2023-03-26,Finance,Revenue Growth,Geri Forness,"Expand into new markets with our latest product launch, with minimum profit target of 20% increased revenue as compared to the previous fiscal year."
95,admin,Low,Survey Score,32,G000164,In Progress,2022-11-09,2022-08-25,Marketing,Efficiency,SLA Admin,"Improve software deployment process by automating routine tasks, aiming to reduce time consumption by 25% compared to previous quarter."
78,admin,Low,Survey Score,12,G000165,Completed,2022-06-10,2023-02-26,HR,Employee Satisfaction,Dwayne Maddalena,"Develop and implement a comprehensive employee feedback system, aiming to increase overall employee satisfaction scores by 25% over the next financial year."
95,admin,High,Expense Ratio,86,G000166,Planned,2022-11-10,2022-11-05,IT,Revenue Growth,Tammie Schwartzwalde,"Achieve a 10% increase in overall revenue by acquiring new premium software contracts that net an additional $500,000 per quarter over the current revenue rate."
77,admin,Medium,Employee Turnover Rate,56,G000167,In Progress,2022-10-13,2023-07-25,Finance,Customer Satisfaction,Jewel Agresta,"Improve our after-sales service response times by 20% within the next quarter to ensure customer complaints are handled more quickly and efficiently, thereby enhancing customer satisfaction."
91,admin,Medium,Expense Ratio,6,G000168,Planned,2022-09-04,2023-04-01,Marketing,Efficiency,Rachel Larrison,Optimize workflow processes to improve operational efficiency by 20% compared to the current rate of work.
89,admin,High,Expense Ratio,70,G000169,In Progress,2022-07-02,2022-10-15,IT,Efficiency,Ramon Amaral,"Improve system automation to increase overall operational efficiency by 25% compared to the previous quarter, thus reducing the processing time for customer queries from an average of 10 minutes to 7.5 minutes."
94,admin,Critical,Expense Ratio,79,G000170,In Progress,2022-04-29,2022-09-21,Finance,Efficiency,Veronica Radman,Automate routine tasks to increase productivity by 20% and reduce overall operation time from 8 hours to 6 hours on average per day.
95,admin,High,Survey Score,78,G000171,Completed,2022-02-26,2022-06-28,IT,Customer Satisfaction,Jewel Agresta,Revamp our customer service model to improve our Net Promoter Score by 20% in the next two quarters by increasing training and development for customer service personnel.
63,admin,Low,Employee Turnover Rate,4,G000172,Completed,2022-10-13,2022-10-10,Finance,Efficiency,Kathleen Beresnyak,"Automate repetitive tasks, potentially freeing up 20% of employee time currently spent on manual activities, therefore increasing overall operational efficiency."
57,admin,Medium,Employee Turnover Rate,72,G000173,Completed,2022-11-21,2022-05-13,Marketing,Efficiency,Justina Dragaj,"Optimize business operations to improve worker efficiency by 20% over the next quarter, through the reduction of redundant tasks and implementation of automation technologies."
58,admin,Critical,Sales Increase,72,G000174,Completed,2022-12-01,2022-08-18,IT,Employee Satisfaction,Password Admin,Establish quarterly feedback systems and improve workplace conditions to increase overall employee satisfaction by 20% compared to the previous financial year.
51,admin,High,Employee Turnover Rate,67,G000175,Completed,2022-05-10,2023-01-27,IT,Cost Reduction,Karen Flierl,"Propose actionable strategies to cut down operational costs by 20% in the next financial year, starting with optimizing energy usage in office spaces."
96,admin,Medium,Employee Turnover Rate,65,G000176,In Progress,2022-12-21,2023-06-02,Marketing,Employee Satisfaction,Derek Kreutzbender,Initiate bi-monthly team building events and regular employee performance reviews to increase employee satisfaction ratings by 20% by the end of the fiscal year.
96,admin,Critical,Employee Turnover Rate,96,G000177,Completed,2022-08-05,2022-12-25,Marketing,Employee Satisfaction,Christian Marnell,Conduct bi-annual employee satisfaction surveys and implement identified improvements to increase employee satisfaction rate by 20% compared to last year.
50,admin,Medium,Employee Turnover Rate,44,G000178,Completed,2022-11-03,2023-04-27,Marketing,Efficiency,Sophie Langner,Implement digital solutions in work procedures to increase efficiency and reduce time spent on routine tasks by 20% compared to last year.
86,admin,Critical,Sales Increase,54,G000179,In Progress,2022-03-06,2022-12-27,Marketing,Cost Reduction,SLA Admin,"Develop and execute a plan to utilize existing resources more efficiently, aiming for a 20% reduction in operational costs by the end of Q3 compared to previous year."
67,admin,High,Employee Turnover Rate,65,G000180,In Progress,2022-10-12,2022-07-09,IT,Efficiency,Gisela Kosicki,"Enhance productivity by automating repetitive tasks using advanced AI technology, aiming to improve overall efficiency by 30% within the next quarter."
65,admin,Medium,Sales Increase,0,G000181,In Progress,2022-05-20,2022-11-21,Marketing,Efficiency,Derek Kreutzbender,"Develop and execute a plan to automate routine tasks resulting in a time saving of 20% versus current manual processes, thereby enhancing overall productivity and efficiency."
62,admin,Low,Survey Score,9,G000182,In Progress,2022-01-23,2023-02-01,Finance,Cost Reduction,Adela Cervantsz,Reduce overall operational expenses by at least 20% through the optimization of resource utilization and the introduction of energy-efficient systems.
79,admin,Medium,Sales Increase,16,G000183,Completed,2022-05-24,2023-06-08,Marketing,Employee Satisfaction,Valerie Pou,"Initiate bi-weekly team building activities and improve work facilities to boost employee satisfaction by 20% in the next quarter, improving from a rating of 7 to 9 on the satisfaction scale."
72,admin,Critical,Employee Turnover Rate,90,G000184,Completed,2022-08-09,2023-01-29,HR,Cost Reduction,Allyson Gillispie,Employ energy-efficient appliances and equipment across the organization to decrease energy costs by 20% compared to last year's spend of $150K.
100,admin,Medium,Survey Score,23,G000185,Completed,2022-11-10,2023-04-26,Finance,Cost Reduction,Nelly Jakuboski,"Develop and utilize automation tools in the IT department to reduce operational costs by 20% compared to the previous fiscal year, transforming from $500K to $400K."
57,admin,Medium,Survey Score,6,G000186,In Progress,2022-09-14,2023-08-04,Marketing,Employee Satisfaction,Pierre Salera,Develop and implement a comprehensive employee engagement program aimed at increasing overall employee satisfaction ratings by 20% in the next fiscal year.
55,admin,High,Expense Ratio,81,G000187,Completed,2022-06-06,2023-04-21,HR,Cost Reduction,Cary Mccamey,Optimize technology resources usage to reduce company's IT department cost by 20% by end of Q4 compared to the previous fiscal year.
67,admin,Medium,Sales Increase,40,G000188,In Progress,2022-04-18,2022-09-03,Finance,Employee Satisfaction,Adela Cervantsz,Conduct quarterly employee satisfaction surveys and engagement workshops to increase the employee satisfaction index by at least 20% over the next fiscal year.
88,admin,Medium,Expense Ratio,32,G000189,Completed,2022-05-05,2023-07-19,Marketing,Employee Satisfaction,Veronica Radman,"Boost overall employee satisfaction by introducing flexible work hours, providing continuous feedback and arranging team building activities aimed at increasing job satisfaction rate by 25% compared to the previous year."
93,admin,Low,Sales Increase,63,G000190,Planned,2022-07-17,2023-05-05,Marketing,Revenue Growth,Valerie Pou,Increase product line sales by 20% over the next fiscal year through targeted marketing campaigns and strategic partnerships i.e. from $500K to $600K.
83,admin,Medium,Employee Turnover Rate,49,G000191,Planned,2022-09-05,2022-08-30,Finance,Efficiency,Lora Lendor,"Upgrade the company's old software systems to more efficient and advanced ones, aiming to increase the work speed by 25% compared to the previous quarter."
65,admin,Low,Employee Turnover Rate,48,G000192,In Progress,2022-04-05,2022-11-24,Finance,Cost Reduction,Eva Seahorn,"Implement automation in IT dept to decrease operational expenses by 20% compared to the previous fiscal year i.e., from $500K to $400K."
91,admin,Low,Employee Turnover Rate,49,G000193,In Progress,2022-05-04,2023-01-01,Marketing,Customer Satisfaction,Zane Sulikowski,Improve the after-sales service experience by reducing customer complaints by 25% compared to the previous quarter through the use of an efficient tracking tool and response system.
92,admin,Medium,Employee Turnover Rate,30,G000194,Completed,2022-03-10,2023-02-19,HR,Revenue Growth,Bridget Knightly,"Expand company market reach by 10% to increase sales volume, resulting in a projected revenue growth of approximately 20% as compared to the previous financial year."
69,admin,Medium,Expense Ratio,16,G000195,Completed,2022-01-27,2022-07-23,Finance,Cost Reduction,Krystle Stika,"Revise supplier contracts and eliminate non-essential expenses to achieve a 20% cost reduction compared to the previous fiscal year, reducing our expenditure from $500K to $400K."
97,admin,Medium,Expense Ratio,61,G000196,In Progress,2022-07-25,2023-01-08,HR,Revenue Growth,Peggy Hohlstein,"Increase global sales by 20% through the introduction of new online marketing campaigns targeting untapped overseas markets, aiming to boost revenue from $500K to $600K."
86,admin,Low,Survey Score,17,G000197,Completed,2022-07-30,2023-01-29,Marketing,Customer Satisfaction,Mildred Gallegas,"Enhance the feedback system to improve overall customer satisfaction rates by 20% relative to the previous quarter, focusing on reducing order delivery times and increasing product quality."
82,admin,Critical,Expense Ratio,56,G000198,Completed,2022-06-25,2022-12-23,IT,Employee Satisfaction,Eva Seahorn,"Develop a comprehensive employee wellness program aiming to boost overall satisfaction by 20% through perks such as flexible working hours, healthcare benefits, and gym memberships."
58,admin,Medium,Employee Turnover Rate,38,G000199,Completed,2022-05-09,2022-04-24,HR,Employee Satisfaction,Alfonso Griglen,Launch a company-wide initiative to improve work-life balance and create an open communication channel to raise employee satisfaction levels by 20% in the upcoming year compared to feedback received this year.
78,admin,Low,Employee Turnover Rate,4,G000200,Completed,2022-11-08,2022-09-28,HR,Employee Satisfaction,Cherie Fuhri,Enrich workplace environment by launching weekly team-building events to improve employee satisfaction index by 10% in the next quarter.
86,admin,Medium,Sales Increase,41,G000201,In Progress,2022-05-01,2022-09-19,Finance,Efficiency,Pierre Salera,"Improve task automation to enhance team efficiency by 20% over the next six months, which should reduce time spent on repetitive tasks and increase productivity."
81,admin,Low,Employee Turnover Rate,54,G000202,In Progress,2022-09-29,2022-10-06,HR,Revenue Growth,Problem Administrator,"Expand sales territories and launch new product lines to drive a 20% increase in overall revenue compared to the prior fiscal year, i.e. from $500K to $600K."
85,admin,Medium,Employee Turnover Rate,2,G000203,In Progress,2022-12-26,2022-09-18,HR,Efficiency,Maurine Monroy,Introduce automation to repetitive tasks across the company to improve work efficiency by 20% in comparison to the previous quarter.
58,admin,Medium,Sales Increase,10,G000204,In Progress,2022-11-12,2023-01-14,Finance,Customer Satisfaction,Beverley Bunche,Develop and deploy new customer service training to increase customer satisfaction scores by 20% over the next quarter based on customer feedback surveys.
85,admin,Critical,Survey Score,83,G000205,Completed,2022-09-07,2022-06-18,HR,Revenue Growth,survey user,"Expand digital marketing strategies to increase online sales by 20% compared to the previous quarter i.e., from $500K to $600K."
95,admin,Low,Employee Turnover Rate,57,G000206,In Progress,2022-08-30,2023-04-22,Marketing,Employee Satisfaction,Rosalia Kennemur,Launch a bi-annual employee satisfaction survey to identify areas for improvement and increase overall employee satisfaction rating by 20%
77,admin,High,Survey Score,70,G000207,In Progress,2022-05-18,2023-07-27,IT,Efficiency,Allyson Gillispie,Improve system automation to enhance workflow efficiency by 20% in the next fiscal year through the reduction of manual processes and task redundancies.
68,admin,Low,Employee Turnover Rate,47,G000208,In Progress,2022-04-30,2022-10-29,IT,Cost Reduction,Elaine Renzi,Automate invoice processing to cut down operational cost by 20% compared to last financial year with the target to bringing down expenditure from $500K to $400K.
52,admin,Medium,Sales Increase,31,G000209,Completed,2022-03-10,2023-04-09,Finance,Cost Reduction,Nelly Jakuboski,Optimize the use of company resources and implement energy saving strategies to achieve a cost reduction of 20% within the next fiscal year.
66,admin,Medium,Employee Turnover Rate,56,G000210,In Progress,2022-12-04,2023-07-08,Marketing,Employee Satisfaction,Password Admin,"Conduct monthly employee satisfaction surveys, feedback sessions and implement suggested improvements to increase overall employee satisfaction rate by 20% compared to the previous year."
65,admin,Medium,Employee Turnover Rate,60,G000211,In Progress,2022-05-20,2023-01-05,Finance,Cost Reduction,Geri Forness,Review and optimize vendor contracts to achieve an overall cost reduction of 20%. This includes negotiations and re-evaluating contracts to ensure an annual saving rate of $300K.
69,admin,Medium,Survey Score,53,G000212,In Progress,2022-12-02,2023-07-07,Finance,Employee Satisfaction,Savannah Kesich,Develop a comprehensive employee satisfaction survey and act on feedback to increase overall employee happiness by 20% compared to last year's survey.
66,admin,Low,Expense Ratio,46,G000213,Completed,2022-09-26,2022-12-08,Marketing,Customer Satisfaction,Melinda Carleton,"Increase customer satisfaction rate by 20% in the next quarter through improvement in after-sales support, comprehensive product training, and expedited problem resolution."
94,admin,Medium,Expense Ratio,72,G000214,In Progress,2022-11-15,2023-04-07,HR,Revenue Growth,Derek Kreutzbender,"Launch new bundled products to increase annual revenue by 30% compared to previous fiscal year, targeting an increase from $1M to $1.3M."
74,admin,High,Expense Ratio,77,G000215,Completed,2022-12-20,2023-01-07,HR,Efficiency,Gisela Kosicki,Improve operational workflows through automation which is expected to enhance overall efficiency by 20% within the next fiscal year.
72,admin,Low,Survey Score,1,G000216,In Progress,2022-02-17,2023-06-29,Finance,Employee Satisfaction,Alejandra Prenatt,Implement bi-annual employee satisfaction surveys followed by actionable change management initiatives aiming to improve overall employee satisfaction by 20%.
86,admin,Medium,Survey Score,50,G000217,Planned,2022-11-10,2022-11-01,Marketing,Customer Satisfaction,Henrietta Cintora,"Improve FAQ section and implement an AI-driven chatbot to enhance user experience, aiming to increase customer satisfaction rates by 20% over the next quarter."
52,admin,Medium,Sales Increase,65,G000218,Completed,2022-11-12,2022-09-19,HR,Cost Reduction,Peggy Hohlstein,Introduce automated software tools to minimize manual tasks and reduce overall operational costs by 20% i.e. from $500K to $400K.
64,admin,Low,Expense Ratio,52,G000219,Completed,2022-10-08,2023-01-15,Finance,Revenue Growth,Adela Cervantsz,Launch new subscription-based products to increase the quarterly income by 20% i.e. from $500K to $600K.
57,admin,Medium,Sales Increase,54,G000220,In Progress,2022-11-26,2022-09-24,HR,Customer Satisfaction,Bridget Knightly,Improve customer service training and follow-up procedures to increase customer satisfaction ratings by 20% in the next financial quarter.
59,admin,Low,Sales Increase,50,G000221,Completed,2022-05-15,2023-02-16,Marketing,Employee Satisfaction,Savannah Kesich,Develop and implement a quarterly engagement program to increase overall employee satisfaction levels by at least 10% over the next year.
79,admin,Medium,Sales Increase,6,G000222,In Progress,2022-10-04,2023-03-16,Finance,Cost Reduction,Lora Lendor,"Introduce automation in routine tasks to reduce manpower cost by 20% over the next two quarters, which would translate to savings of approximately $300K."
82,admin,Medium,Sales Increase,58,G000223,In Progress,2022-02-13,2023-03-29,Finance,Revenue Growth,Elisa Gracely,"Increase sales in the North America region by 20% by Q4 2022 compared to Q4 2021, contributing to an overall company revenue growth target of 15%."
71,admin,Low,Employee Turnover Rate,51,G000224,Completed,2022-05-22,2022-08-15,HR,Customer Satisfaction,Veronica Radman,Initiate a regular customer feedback system and enhance after-sales service in order to improve the overall customer satisfaction score by 20% by the end of this fiscal year.
53,admin,Medium,Employee Turnover Rate,70,G000225,Completed,2022-04-11,2023-01-07,Marketing,Employee Satisfaction,Sean Bonnet,Launch a survey to gauge employee satisfaction levels and initiate a quarterly team-building event. Improve work conditions and resources to increase employee satisfaction scores by 20% compared to last survey's results.
56,admin,Low,Expense Ratio,15,G000226,In Progress,2022-11-17,2022-10-28,Marketing,Revenue Growth,Billie Cowley,Increase revenue by expanding our online sales channels and optimizing pricing strategies to achieve a 20% increment in comparison to the previous fiscal year.
79,admin,Low,Employee Turnover Rate,8,G000227,Planned,2022-08-10,2022-10-23,HR,Employee Satisfaction,Jimmie Barninger,"Monitor and increase the employee contentment rate by implementing annual wellness and satisfaction surveys, aim for a 20% improvement in overall job satisfaction compared to previous year."
55,admin,Critical,Expense Ratio,83,G000228,Completed,2022-10-11,2022-10-02,IT,Revenue Growth,Frankie Morein,Develop new marketing strategies targeting untapped markets to increase overall revenue by 10% by the end of next quarter. This translates to an increase from $5M to $5.5M.
81,admin,Medium,Employee Turnover Rate,8,G000229,In Progress,2022-05-17,2023-01-09,Finance,Customer Satisfaction,Manifah Masood,Improve customer support response time by 20% to enhance customer satisfaction. This involves reducing average response time from 10 hours to 8 hours.
83,admin,Low,Survey Score,69,G000230,In Progress,2022-06-01,2023-03-08,Finance,Revenue Growth,Lora Lendor,Expand into new markets to boost company's overall sales volumes by 10% in the next fiscal year compared to the previous year's $1M revenue.
85,admin,Low,Employee Turnover Rate,66,G000231,In Progress,2022-07-04,2023-02-19,HR,Efficiency,Mildred Gallegas,"Increase overall efficiency through automated workflows, aiming to cut process time by 20% within the next financial year."
97,admin,Medium,Employee Turnover Rate,32,G000232,In Progress,2022-05-31,2023-03-28,HR,Employee Satisfaction,survey user,"Improve the remote work environment by providing high-quality hardware and software tools, intending to increase overall employee satisfaction rating by 20% based on this year's employee survey."
66,admin,Low,Expense Ratio,39,G000233,Cancelled,2022-12-26,2022-05-29,Finance,Customer Satisfaction,Vanessa Lewallen,"Increase customer satisfaction rate by 25% by implementing improved customer service training, optimizing support ticket response and resolution times, and enhancing user interface for better user experience."
60,admin,Critical,Survey Score,60,G000234,Completed,2022-11-09,2024-01-10,IT,Efficiency,Vernon Engelman,"Incorporate advanced automation tools in workflow processes to enhance work efficiency, with the goal of increasing productivity by 20% compared to the previous quarter."
70,admin,Critical,Sales Increase,98,G000235,Completed,2022-02-17,2022-11-25,IT,Revenue Growth,survey user,Increase market penetration in the Southeast region by 20% over the next fiscal year thereby helping the company to achieve a revenue growth of 10%.
66,admin,Critical,Employee Turnover Rate,73,G000236,Completed,2022-10-15,2022-10-28,Marketing,Efficiency,Dwayne Maddalena,Increase the team's efficiency by implementing new automation tools that aim to reduce manual workload by 20% compared to the current queue process.
53,admin,Critical,Expense Ratio,53,G000237,Completed,2022-11-26,2022-12-26,IT,Efficiency,Ross Spurger,"Focus on reducing the manual tasks through adoption of automation, aiming for 20% decrease in time spent on repeatable operations, thus improving overall efficiency."
80,admin,Low,Survey Score,40,G000238,In Progress,2022-04-06,2023-07-22,HR,Revenue Growth,Nirali Patel,"Expand customer base by 20% through targeted marketing campaigns and new sales initiatives, aiming to increase annual revenue from $1M to $1.2M."
100,admin,Critical,Employee Turnover Rate,79,G000239,Completed,2022-09-23,2023-01-23,IT,Employee Satisfaction,Allyson Gillispie,Launch a comprehensive Employee Assistance Program to improve workplace condition and enhance employee satisfaction by 30% as per the annual employee survey.
68,admin,Critical,Survey Score,77,G000240,Completed,2022-11-12,2023-02-19,IT,Revenue Growth,survey user,"Increase sales in the North region by 25% compared to the previous financial year, contributing an additional $1M to overall company revenue."
72,admin,High,Survey Score,96,G000241,Completed,2022-12-07,2022-09-11,IT,Customer Satisfaction,Krystle Stika,"Develop and deploy an improved feedback system to increase customer satisfaction ratings by 20% over the next quarter, compared to the previous one."
51,admin,Low,Sales Increase,11,G000242,In Progress,2022-08-19,2023-02-21,Marketing,Efficiency,Darren Merlin,Enhance the current workflows and eliminate redundant processes in our operations department to increase overall efficiency by 20% against the previous quarter.
67,admin,Medium,Survey Score,47,G000243,Completed,2022-07-31,2022-08-11,Marketing,Employee Satisfaction,Logan Muhl,Implement an improved feedback system and work-life balance benefits to increase overall employee satisfaction by 30% in comparison to last year's survey results.
67,admin,Critical,Employee Turnover Rate,93,G000244,Completed,2022-08-03,2022-11-02,IT,Revenue Growth,Corinne Cowan,"Expand market presence by launching advertising campaign targeting new demographic, aiming to increase sales revenue by 10% compared to previous quarter i.e. from $150K to $165K."
78,admin,Critical,Expense Ratio,74,G000245,Completed,2022-06-14,2022-11-29,IT,Employee Satisfaction,Frankie Morein,Initiate a quarterly feedback process and implement strategies to increase overall employee satisfaction rating by 20% till the end of the financial year.
